S.No,Date,Market,Strategy,Symbol,Signal_Type,Direction,Strike,Lot_Size,Entry_Timestamp,Exit_Timestamp,Entry_Price,Exit_Price,Total_PnL,Status
1,2026-02-16,EQUITY,Survivor,BANKNIFTY,SELL_PE,SELL,60352.78571428571,15,2026-02-16T15:32:20.830519,2026-02-16T15:32:25.149565,220.06,124.72,1331.03,CLOSED - TARGET_HIT
2,2026-02-16,EQUITY,CPR,NIFTY,BUY_CE_CPR,BUY,25550.0,25,2026-02-16T12:24:06.372888,-- OPEN --,204.99,235.97,724.65,OPEN
3,2026-02-16,EQUITY,Ghost Zone,NIFTY,BUY_CE_GTZ,BUY,25550.0,25,2026-02-16T12:24:06.372888,-- OPEN --,204.99,235.97,724.65,OPEN
4,2026-02-16,EQUITY,CPR,BANKNIFTY,BUY_CE_CPR,BUY,60550.0,15,2026-02-16T12:24:06.372888,-- OPEN --,466.98,616.12,2186.42,OPEN
5,2026-02-16,EQUITY,Ghost Zone,BANKNIFTY,BUY_CE_GTZ,BUY,60550.0,15,2026-02-16T12:24:06.372888,-- OPEN --,466.98,616.12,2186.42,OPEN
6,2026-02-16,EQUITY,CPR,SENSEX,BUY_CE_CPR,BUY,82900.0,10,2026-02-16T12:24:06.372888,-- OPEN --,630.74,730.89,951.16,OPEN
7,2026-02-16,EQUITY,Ghost Zone,SENSEX,BUY_CE_GTZ,BUY,82900.0,10,2026-02-16T12:24:06.372888,-- OPEN --,630.74,730.89,951.16,OPEN
8,2026-02-16,EQUITY,CPR,NIFTY,BUY_CE_CPR,BUY,25700.0,25,2026-02-16T15:32:20.827518,-- OPEN --,196.7,149.88,-1220.09,OPEN
9,2026-02-16,EQUITY,Ghost Zone,NIFTY,BUY_CE_GTZ,BUY,25700.0,25,2026-02-16T15:32:20.828519,-- OPEN --,196.7,149.88,-1220.09,OPEN
10,2026-02-16,EQUITY,CPR,BANKNIFTY,BUY_CE_CPR,BUY,60950.0,15,2026-02-16T15:32:20.829518,-- OPEN --,496.38,375.89,-1858.3,OPEN
11,2026-02-16,EQUITY,Ghost Zone,BANKNIFTY,BUY_CE_GTZ,BUY,60950.0,15,2026-02-16T15:32:20.829518,-- OPEN --,496.38,375.89,-1858.3,OPEN
12,2026-02-16,EQUITY,CPR,SENSEX,BUY_CE_CPR,BUY,83300.0,10,2026-02-16T15:32:20.830519,-- OPEN --,642.74,642.74,0.0,OPEN
13,2026-02-16,EQUITY,Ghost Zone,SENSEX,BUY_CE_GTZ,BUY,83300.0,10,2026-02-16T15:32:20.831519,-- OPEN --,642.74,642.74,0.0,OPEN
14,2026-02-16,COMMODITY,CPR,SILVERM,BUY_PE_CPR,BUY,244500.0,5x5,2026-02-16T15:32:28.537839,-- OPEN --,9217.18,9217.18,0.0,OPEN
15,2026-02-16,COMMODITY,CPR,CRUDEOILM,BUY_PE_CPR,BUY,5700.0,10x10,2026-02-16T15:32:28.537839,-- OPEN --,182.11,182.11,0.0,OPEN
