Instrument,Strategy,Num_Trades,Wins,Losses,Win_Rate_%,Total_PnL,Total_Return_%,CAGR_%,Sharpe,Max_Drawdown_%,Calmar,Profit_Factor,Gross_Profit,Gross_Loss,Avg_Win,Avg_Loss,Avg_Win_%,Avg_Loss_%,Best_Trade,Worst_Trade,Best_Trade_%,Worst_Trade_%,Max_Win_Streak,Max_Loss_Streak,Expectancy,Final_Equity,BH_CAGR_%,Beats_BH
BTCUSDT,1. EMA Momentum (5d),219,111,108,50.7,100015927.07,33338.64,247.59,4.69,6.63,37.37,20.22,110315548.96,5456623.2,993833.77,50524.29,3.4,2.69,10678209.8,-1045505.0,41.92,-9.29,10,8,478807.88,100315927.07,14.82,YES
ETHUSDT,1. EMA Momentum (5d),235,118,117,50.2,370753690.52,123584.56,360.08,4.62,8.09,44.49,21.56,403295257.48,18706214.82,3417756.42,159882.18,3.48,3.47,63228058.09,-2818765.19,52.64,-14.66,7,9,1636549.12,371053690.52,-2.44,YES
SOLUSDT,1. EMA Momentum (5d),218,115,103,52.8,43426539433.29,14475513.14,1176.95,4.78,11.81,99.67,28.74,46464298559.76,1616835993.0,404037378.78,15697436.83,7.8,4.61,6283567725.86,-438548803.07,132.63,-20.45,7,8,205722305.35,43426839433.29,20.78,YES
BTCUSDT,2. Golden Cross (20/100),10,5,5,50.0,342180.08,114.06,17.72,0.63,43.96,0.4,2.24,626535.99,280165.3,125307.2,56033.06,43.32,13.04,287912.66,-75448.11,123.15,-16.7,2,2,34637.07,642180.08,14.82,YES
ETHUSDT,2. Golden Cross (20/100),10,5,5,50.0,248247.1,82.75,13.8,0.51,56.57,0.24,2.06,488057.88,236796.65,97611.58,47359.33,30.91,18.08,188747.21,-85490.8,65.06,-28.35,2,2,25126.12,548247.1,-2.44,YES
SOLUSDT,2. Golden Cross (20/100),14,5,9,35.7,823859.3,274.62,32.72,0.75,81.14,0.4,1.4,2915660.55,2078509.22,583132.11,230945.47,166.37,21.49,1705274.32,-431853.55,507.18,-30.38,2,5,59796.52,1123859.3,20.78,YES
BTCUSDT,3. Filtered Trend (Vol),11,8,3,72.7,76146.28,25.38,4.97,0.41,16.82,0.3,2.13,150851.09,70678.25,18856.39,23559.42,3.98,6.01,37788.4,-43926.15,10.37,-7.69,5,1,7288.44,376146.28,14.82,NO
ETHUSDT,3. Filtered Trend (Vol),13,2,11,15.4,-93384.13,-31.13,-7.68,-0.38,34.46,-0.22,0.11,10876.54,100931.16,5438.27,9175.56,2.96,3.97,10723.06,-36866.15,5.13,-14.22,1,7,-6927.28,206615.87,-2.44,NO
SOLUSDT,3. Filtered Trend (Vol),11,8,3,72.7,3835307.91,1278.44,75.48,1.36,34.93,2.16,8.81,4351291.05,494015.58,543911.38,164671.86,48.56,8.61,1294311.76,-241969.51,116.97,-12.04,4,1,350661.41,4135307.91,20.78,YES
BTCUSDT,4. MACD + RSI Combo,162,70,92,43.2,13172673.48,4390.89,126.03,2.13,19.21,6.56,4.16,18193169.47,4376330.78,259902.42,47568.81,5.7,3.09,2273726.64,-377269.34,35.46,-11.01,5,8,85289.13,13472673.48,14.82,YES
