S.No,Date,Strategy,Symbol,Signal_Type,Direction,Strike,Lot_Size,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Capital_Used,PnL,PnL_Pct,Exit_Reason,Delta,IV,Status
1,2026-02-20,CPR,NIFTY,BUY_CE_CPR,BUY,25500,65,2026-02-20T10:02:54.321050,2026-02-23T09:21:58.153450,100.66,227.11,6542.9,8105.11,123.88,TARGET_HIT,0.5182,15.0,CLOSED
2,2026-02-20,Ghost Zone,NIFTY,BUY_CE_GTZ,BUY,25500,65,2026-02-20T10:02:56.497245,2026-02-23T09:22:02.184482,100.66,227.29,6542.9,8116.81,124.06,TARGET_HIT,0.5182,15.0,CLOSED
3,2026-02-20,Ghost Zone,SENSEX,BUY_CE_GTZ,BUY,82600,20,2026-02-20T10:03:02.907171,2026-02-23T09:22:06.217340,319.39,734.84,6387.8,8194.95,128.29,TARGET_HIT,0.5177,15.0,CLOSED
4,2026-02-20,CPR,NIFTY,BUY_PE_CPR,BUY,25450,65,2026-02-20T12:37:47.367429,2026-02-23T09:22:17.816418,83.2,4.55,5408.0,-5209.58,-96.33,SL_HIT,-0.4555,15.0,CLOSED
5,2026-02-20,Ghost Zone,NIFTY,BUY_CE_GTZ,BUY,25450,65,2026-02-20T12:37:47.453486,2026-02-23T09:22:22.610957,108.83,271.05,7073.95,10426.64,147.39,TARGET_HIT,0.5445,15.0,CLOSED
6,2026-02-20,CPR,BANKNIFTY,BUY_PE_CPR,BUY,60200,30,2026-02-20T12:37:47.485344,2026-02-23T09:22:25.564196,226.08,0.26,6782.4,-6872.52,-101.33,SL_HIT,-0.5,15.0,CLOSED
7,2026-02-20,Ghost Zone,BANKNIFTY,BUY_CE_GTZ,BUY,60200,30,2026-02-20T12:37:47.535398,2026-02-23T09:22:28.163152,223.45,1154.31,6703.5,27789.13,414.55,TARGET_HIT,0.5,15.0,CLOSED
8,2026-02-20,CPR,SENSEX,BUY_PE_CPR,BUY,82600,20,2026-02-20T12:37:47.564666,2026-02-23T09:22:30.572251,283.7,24.44,5674.0,-5282.89,-93.11,SL_HIT,-0.4765,15.0,CLOSED
9,2026-02-20,CPR,NIFTY,BUY_CE_CPR,BUY,25550,65,2026-02-20T10:21:51.892824,2026-02-23T09:28:06.028317,91.65,223.22,5957.25,8438.62,141.65,TARGET_HIT,0.4874,15.0,CLOSED
10,2026-02-20,Ghost Zone,NIFTY,BUY_CE_GTZ,BUY,25550,65,2026-02-20T10:21:54.230744,2026-02-23T09:28:08.513782,91.65,222.73,5957.25,8406.65,141.12,TARGET_HIT,0.4874,15.0,CLOSED
11,2026-02-20,CPR,SENSEX,BUY_CE_CPR,BUY,82700,20,2026-02-20T10:21:58.274972,2026-02-23T09:28:10.973020,324.21,784.35,6484.2,9087.53,140.15,TARGET_HIT,0.522,15.0,CLOSED
12,2026-02-20,Ghost Zone,SENSEX,BUY_CE_GTZ,BUY,82700,20,2026-02-20T10:22:00.324989,2026-02-23T09:28:13.544140,324.21,789.35,6484.2,9187.3,141.69,TARGET_HIT,0.522,15.0,CLOSED
13,2026-02-20,CPR,SENSEX,BUY_CE_CPR,BUY,82800,20,2026-02-20T10:27:52.230790,2026-02-23T09:28:16.127926,327.33,694.17,6546.6,7223.6,110.34,TARGET_HIT,0.5242,15.0,CLOSED
14,2026-02-20,Ghost Zone,SENSEX,BUY_CE_GTZ,BUY,82800,20,2026-02-20T10:27:54.429693,2026-02-23T09:28:18.798778,327.33,694.86,6546.6,7237.29,110.55,TARGET_HIT,0.5242,15.0,CLOSED
15,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60831.711428571434,30,2026-02-23T09:21:48.776848,2026-02-23T09:28:24.014012,261.75,170.86,7852.5,2620.85,33.38,TARGET_HIT,-0.3188,15.0,CLOSED
16,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60934.461428571434,30,2026-02-23T09:27:59.955408,2026-02-23T09:34:01.838069,269.52,247.27,8085.6,560.44,6.93,TARGET_HIT,-0.3216,15.0,CLOSED
