S.No,Date,Market,Strategy,Symbol,Signal_Type,Direction,Strike,Lot_Size,Multiplier,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Capital_Used,PnL,Exit_Reason,Delta,IV,Status
1,2026-02-23,MCX,CPR,SILVERM,BUY_CE_CPR,BUY,266000,5,5,2026-02-23T11:54:08.618915,2026-02-23T14:05:19.476719,9924.25,1626.12,248106.25,-207626.86,SL,0.5182,,CLOSED
2,2026-02-23,MCX,CPR,SILVERM,BUY_CE_CPR,BUY,242000,5,5,2026-02-23T14:18:31.453526,2026-02-23T14:23:36.315431,8928.15,25463.57,223203.75,413004.01,TARGET,0.5148,,CLOSED
3,2026-02-23,MCX,CPR,SILVERM,BUY_CE_CPR,BUY,262000,5,5,2026-02-23T13:08:15.725878,2026-02-23T14:26:24.427444,9787.98,2230.12,244699.5,-189124.57,SL,0.5186,,CLOSED
4,2026-02-23,MCX,CPR,SILVERM,BUY_CE_CPR,BUY,265000,5,5,2026-02-23T12:50:39.587739,2026-02-23T14:41:17.369553,9887.98,1762.4,247199.5,-203314.09,SL,0.5183,,CLOSED
5,2026-02-23,MCX,CPR,SILVERM,BUY_CE_CPR,BUY,266500,5,5,2026-02-23T11:58:18.178996,2026-02-23T14:46:37.534035,9994.8,1561.39,249870.0,-211008.6,SL,0.5198,,CLOSED
6,2026-02-23,MCX,CPR,SILVERM,BUY_CE_CPR,BUY,267500,5,5,2026-02-23T11:50:59.198350,2026-02-23T17:02:57.357998,9889.25,1438.49,247231.25,-211440.66,SL,0.5154,,CLOSED
7,2026-02-23,MCX,CPR,CRUDEOILM,BUY_CE_CPR,BUY,5950,10,10,2026-02-23T11:51:00.630148,2026-02-23T17:02:57.491986,193.76,74.12,19376.0,-12066.19,SL,0.5263,,CLOSED
8,2026-02-23,MCX,CPR,SILVERM,BUY_CE_CPR,BUY,267000,5,5,2026-02-23T11:56:32.567670,2026-02-23T17:02:57.547983,10056.66,1498.87,251416.5,-214118.03,SL,0.5211,,CLOSED
9,2026-02-23,MCX,CPR,SILVERM,BUY_CE_CPR,BUY,265500,5,5,2026-02-23T12:51:33.723514,2026-02-23T17:02:57.627985,9822.37,1693.1,245559.25,-203405.25,SL,0.5156,,CLOSED
10,2026-02-23,MCX,CPR,SILVERM,BUY_CE_CPR,BUY,263000,5,5,2026-02-23T12:56:52.244899,2026-02-23T17:02:57.749993,9912.12,2063.92,247803.0,-196382.34,SL,0.5213,,CLOSED
11,2026-02-23,MCX,CPR,SILVERM,BUY_CE_CPR,BUY,264000,5,5,2026-02-23T12:58:41.632239,2026-02-23T17:02:57.776987,9902.06,1908.17,247551.5,-200023.06,SL,0.5199,,CLOSED
12,2026-02-23,MCX,CPR,SILVERM,BUY_CE_CPR,BUY,264500,5,5,2026-02-23T12:59:36.353369,2026-02-23T17:02:57.902599,9798.47,1834.07,244961.75,-199284.61,SL,0.5161,,CLOSED
13,2026-02-23,MCX,CPR,SILVERM,BUY_CE_CPR,BUY,263500,5,5,2026-02-23T13:02:26.564390,2026-02-23T17:02:57.998168,9865.22,1984.77,246630.5,-197187.57,SL,0.5193,,CLOSED
14,2026-02-23,MCX,CPR,SILVERM,BUY_CE_CPR,BUY,262500,5,5,2026-02-23T13:09:16.957015,2026-02-23T17:02:58.028171,9793.15,2145.69,244828.75,-191363.99,SL,0.5182,,CLOSED
15,2026-02-23,MCX,CPR,SILVERM,BUY_CE_CPR,BUY,266000,5,5,2026-02-23T14:07:09.149103,2026-02-23T17:02:58.049167,9820.41,1626.12,245510.25,-205030.18,SL,0.515,,CLOSED
16,2026-02-23,MCX,CPR,SILVERM,BUY_CE_CPR,BUY,266500,5,5,2026-02-23T14:47:24.199583,2026-02-23T17:02:58.099296,10036.96,1561.39,250924.0,-212062.87,SL,0.5211,,CLOSED
17,2026-02-23,MCX,CPR,SILVERM,BUY_CE_CPR,BUY,268000,5,5,2026-02-23T16:08:23.702761,2026-02-23T17:02:58.119298,9966.76,1380.2,249169.0,-214835.7,SL,0.5172,,CLOSED
