symbol,signal_type,direction,entry_price,exit_price,sl,target,pnl,pnl_pct,exit_type,entry_time,exit_time,hold_bars,zone_quality,reason
BTCUSDT,GHST_BE,SHORT,88864.52,87453.63,89605.68142857144,87453.63,1785.22,1.59,TARGET,2025-12-31 11:10:00,2025-12-31 16:40:00,66,6,GHST_BE: Supply zone retest [88347-89568] Q=4 RSI=64
BTCUSDT,GHST_SE,LONG,87544.21,87993.21,85271.26392857142,87993.21,498.21,0.51,TARGET,2025-12-31 20:10:00,2026-01-01 01:10:00,60,5,GHST_SE: Demand zone retest [85314-87454] Q=3 RSI=27
BTCUSDT,GHST_BE,SHORT,87990.52,88623.78928571429,88623.78928571429,87453.63,-990.34,-0.72,SL,2026-01-01 02:10:00,2026-01-01 22:50:00,248,2,GHST_BE: Supply zone retest [87993-88593] Q=1 RSI=61
BTCUSDT,GHST_BE,SHORT,88720.0,89622.19035714286,89622.19035714286,87453.63,-1344.44,-1.02,SL,2026-01-02 00:00:00,2026-01-02 10:05:00,121,5,GHST_BE: Supply zone retest [88347-89568] Q=4 RSI=53
BTCUSDT,GHST_BE,SHORT,89527.91,90649.93107142857,90649.93107142857,87453.63,-1621.03,-1.25,SL,2026-01-02 11:05:00,2026-01-02 16:30:00,65,3,GHST_BE: Supply zone retest [89196-90588] Q=3 RSI=53
BTCUSDT,GHST_BE,SHORT,90447.94,89819.64928571432,90762.08535714285,89819.64928571432,708.16,0.69,TARGET,2026-01-02 17:30:00,2026-01-02 18:45:00,15,4,GHST_BE: Supply zone retest [89196-90588] Q=3 RSI=58
BTCUSDT,GHST_BE,SHORT,90046.16,90046.16,90620.2325,88898.01500000001,-119.33,0.0,SL,2026-01-03 00:10:00,2026-01-03 13:20:00,158,3,GHST_BE: Supply zone retest [89196-90588] Q=3 RSI=39
BTCUSDT,GHST_BE,SHORT,91195.13,93234.11285714286,93234.11285714286,87453.63,-2785.04,-2.24,SL,2026-01-04 00:15:00,2026-01-05 01:35:00,304,4,GHST_BE: Supply zone retest [91185-93160] Q=2 RSI=78
BTCUSDT,GHST_BE,SHORT,92916.61,92916.61,93656.84785714286,91436.13428571429,-118.07,0.0,SL,2026-01-05 02:35:00,2026-01-05 10:10:00,91,4,GHST_BE: Supply zone retest [91448-93555] Q=4 RSI=48
BTCUSDT,GHST_BE,SHORT,92892.47,93611.71214285714,93611.71214285714,91453.98571428572,-1031.42,-0.77,SL,2026-01-05 11:10:00,2026-01-05 14:55:00,45,6,GHST_BE: Supply zone retest [91448-93555] Q=4 RSI=60
BTCUSDT,GHST_SE,LONG,94336.97,94336.97,93926.07607142857,94849.37,-117.51,0.0,SL,2026-01-05 19:05:00,2026-01-05 20:30:00,17,2,GHST_SE: Demand zone retest [94012-97554] Q=2 RSI=51
BTCUSDT,GHST_BE,SHORT,93302.81,93605.67714285714,93605.67714285714,92697.07571428572,-498.58,-0.32,SL,2026-01-06 08:30:00,2026-01-06 10:10:00,20,4,GHST_BE: Supply zone retest [91448-93555] Q=4 RSI=43
BTCUSDT,GHST_BE,SHORT,92034.09,93271.26392857142,93271.26392857142,89559.74214285714,-1692.3,-1.34,SL,2026-01-06 18:55:00,2026-01-06 21:15:00,28,3,GHST_BE: Supply zone retest [91185-93160] Q=2 RSI=57
BTCUSDT,GHST_BE,SHORT,92984.11,93315.73607142858,93315.73607142858,92320.85785714285,-531.77,-0.36,SL,2026-01-06 22:15:00,2026-01-06 22:50:00,7,4,GHST_BE: Supply zone retest [91185-93160] Q=2 RSI=60
BTCUSDT,GHST_SE,LONG,94325.75,94849.37,93934.39821428571,94849.37,528.81,0.56,TARGET,2026-01-13 20:50:00,2026-01-13 22:10:00,16,3,GHST_SE: Demand zone retest [94012-97554] Q=2 RSI=65
BTCUSDT,GHST_BE,SHORT,95594.72,95594.72,96223.76785714287,94336.62428571426,-116.36,0.0,SL,2026-01-13 23:15:00,2026-01-14 14:15:00,180,5,GHST_BE: Supply zone retest [94849-96027] Q=4 RSI=68
BTCUSDT,GHST_SE,LONG,96672.48,95500.08,93833.1425,102351.15499999998,-779.48,-1.21,TIME,2026-01-14 15:45:00,2026-01-16 01:05:00,400,2,GHST_SE: Demand zone retest [94012-97554] Q=2 RSI=64
BTCUSDT,GHST_BE,SHORT,95473.28,95473.28,96077.5667857143,94264.7064285714,-115.93,0.0,SL,2026-01-16 02:10:00,2026-01-16 20:55:00,225,4,GHST_BE: Supply zone retest [94849-96027] Q=4 RSI=43
BTCUSDT,GHST_BE,SHORT,95448.17,95101.99,96070.49678571429,94203.51642857141,304.29,0.36,TIME,2026-01-16 22:05:00,2026-01-18 07:25:00,400,4,GHST_BE: Supply zone retest [94849-96027] Q=4 RSI=39
BTCUSDT,GHST_BE,SHORT,88369.18,89683.36714285714,89683.36714285714,87453.63,-1839.68,-1.49,SL,2026-01-20 23:45:00,2026-01-21 05:30:00,69,4,GHST_BE: Supply zone retest [88347-89568] Q=4 RSI=44
BTCUSDT,GHST_SE,LONG,87773.0,87993.21,85081.71535714285,87993.21,173.71,0.25,TARGET,2026-01-21 17:15:00,2026-01-21 17:40:00,5,5,GHST_SE: Demand zone retest [85314-87454] Q=3 RSI=30
BTCUSDT,GHST_BE,SHORT,88124.56,88710.77071428573,88710.77071428573,87453.63,-881.15,-0.67,SL,2026-01-21 18:40:00,2026-01-21 19:25:00,9,3,GHST_BE: Supply zone retest [87993-88593] Q=1 RSI=68
BTCUSDT,GHST_BE,SHORT,87971.73,87453.63,88709.06785714286,87453.63,561.07,0.59,TARGET,2026-01-25 17:00:00,2026-01-25 18:25:00,17,1,GHST_BE: Supply zone retest [87993-88593] Q=1 RSI=39
BTCUSDT,GHST_SE,LONG,86446.95,87993.21,85180.6475,87993.21,1940.82,1.79,TARGET,2026-01-25 19:30:00,2026-01-26 06:25:00,131,5,GHST_SE: Demand zone retest [85314-87454] Q=3 RSI=22
BTCUSDT,GHST_BE,SHORT,89928.86,89928.86,90680.27357142857,88426.03285714287,-115.66,0.0,SL,2026-01-28 12:10:00,2026-01-28 17:40:00,66,4,GHST_BE: Supply zone retest [88878-90600] Q=2 RSI=69
BTCUSDT,GHST_BE,SHORT,89579.59,87453.63,90723.95535714286,87453.63,2627.19,2.37,TARGET,2026-01-28 18:45:00,2026-01-29 14:50:00,241,2,GHST_BE: Supply zone retest [88878-90600] Q=2 RSI=48
BTCUSDT,GHST_SE,LONG,84813.01,83588.15178571428,83588.15178571428,87262.72642857143,-1800.12,-1.44,SL,2026-01-29 15:50:00,2026-01-29 18:50:00,36,4,GHST_SE: Demand zone retest [83823-85555] Q=2 RSI=16
BTCUSDT,GHST_SE,LONG,84100.01,84100.01,83741.6725,84816.68499999998,-115.81,0.0,SL,2026-01-29 20:40:00,2026-01-30 00:50:00,50,3,GHST_SE: Demand zone retest [83823-85555] Q=2 RSI=50
BTCUSDT,GHST_SE,LONG,83009.54,81588.0,81045.37214285714,86937.87571428569,-2097.33,-1.71,TIME,2026-01-30 05:05:00,2026-01-31 14:25:00,400,4,GHST_SE: Demand zone retest [81118-83798] Q=4 RSI=64
BTCUSDT,GHST_SE,LONG,81315.28,80933.2825,80933.2825,82079.275,-654.27,-0.47,SL,2026-01-31 15:25:00,2026-01-31 16:05:00,8,5,GHST_SE: Demand zone retest [81118-83798] Q=4 RSI=31
BTCUSDT,GHST_SE,LONG,69114.06,70884.88785714286,68228.64607142856,70884.88785714286,2819.73,2.56,TARGET,2026-02-09 12:35:00,2026-02-09 17:40:00,61,1,GHST_SE: Demand zone retest [68308-69885] Q=1 RSI=64
BTCUSDT,GHST_SE,LONG,70049.7,68212.02821428572,68212.02821428572,73725.04357142856,-3000.26,-2.62,SL,2026-02-09 21:45:00,2026-02-10 14:40:00,203,3,GHST_SE: Demand zone retest [68308-69885] Q=1 RSI=21
BTCUSDT,GHST_SE,LONG,69389.09,68155.81464285715,68155.81464285715,71855.64071428569,-1811.91,-1.78,SL,2026-02-10 16:30:00,2026-02-11 03:15:00,129,1,GHST_SE: Demand zone retest [68308-69885] Q=1 RSI=60
BTCUSDT,GHST_BE,SHORT,70741.82,70091.49071428573,71066.98464285715,70091.49071428573,930.69,0.92,TARGET,2026-02-15 08:10:00,2026-02-15 12:15:00,49,3,GHST_BE: Supply zone retest [70182-70983] Q=2 RSI=63
BTCUSDT,GHST_SE,LONG,67730.06,68823.76499999998,67183.2075,68823.76499999998,1725.71,1.61,TARGET,2026-02-16 16:05:00,2026-02-16 21:55:00,70,3,GHST_SE: Demand zone retest [67294-68245] Q=1 RSI=30
BTCUSDT,GHST_SE,LONG,68027.2,67229.29821428572,67229.29821428572,69623.00357142855,-1458.35,-1.17,SL,2026-02-17 05:30:00,2026-02-17 14:40:00,110,3,GHST_SE: Demand zone retest [67294-68245] Q=1 RSI=20
BTCUSDT,GHST_SE,LONG,67392.05,67858.77214285715,67158.68892857143,67858.77214285715,675.14,0.69,TARGET,2026-02-17 15:55:00,2026-02-17 16:05:00,2,1,GHST_SE: Demand zone retest [67294-68245] Q=1 RSI=57
BTCUSDT,GHST_SE,LONG,63628.1,65086.61928571428,62898.84035714286,65086.61928571428,2502.75,2.29,TARGET,2026-02-28 08:25:00,2026-02-28 13:55:00,66,1,GHST_SE: Demand zone retest [63030-64307] Q=1 RSI=47
BTCUSDT,GHST_SE,LONG,64435.61,67578.96857142857,62863.930714285714,67578.96857142857,3382.76,4.88,TARGET,2026-02-28 14:55:00,2026-02-28 22:35:00,92,1,GHST_SE: Demand zone retest [63030-64307] Q=1 RSI=48
ETHUSDT,GHST_BE,SHORT,2978.94,2995.421428571429,2995.421428571429,2945.9771428571426,-783.92,-0.55,SL,2025-12-31 10:50:00,2025-12-31 11:40:00,10,5,GHST_BE: Supply zone retest [2953-2994] Q=3 RSI=60
ETHUSDT,GHST_BE,SHORT,2989.49,2971.0599999999995,2998.705,2971.0599999999995,617.92,0.62,TARGET,2025-12-31 14:45:00,2025-12-31 15:10:00,5,4,GHST_BE: Supply zone retest [2953-2994] Q=3 RSI=50
ETHUSDT,GHST_BE,SHORT,2984.52,2984.52,2998.534285714286,2956.491428571428,-119.84,0.0,SL,2025-12-31 16:20:00,2025-12-31 18:05:00,21,4,GHST_BE: Supply zone retest [2953-2994] Q=3 RSI=55
