symbol,signal_type,direction,entry_price,exit_price,sl,target,pnl,pnl_pct,exit_type,entry_time,exit_time,hold_bars,zone_quality,trigger_type,fake_breakout,reason
BTCUSDT,GHST_SE,LONG,88538.89,90472.90142857142,86522.71435714288,91966.38859285711,2501.24,2.18,SL,2025-12-31 07:25:00,2026-01-02 16:40:00,687,4,bat,False,GHST_SE: BAT demand [86531-90404] V=2.1x Q=3
BTCUSDT,GHST_BE,SHORT,90258.57,92328.13528571428,92328.13528571428,86740.30901428574,-2894.31,-2.29,SL,2026-01-02 17:45:00,2026-01-05 00:45:00,660,1,bat,False,GHST_BE: BAT supply [89660-92269] V=2.1x Q=1
BTCUSDT,GHST_TRP,LONG,93254.16500000001,92491.31435714285,92491.31435714285,96853.87,-1099.31,-0.82,SL,2026-01-05 01:45:00,2026-01-05 04:25:00,32,3,bat,True,GHST_TRP: BAT demand [92544-93965] V=2.8x Q=1 +FakeBO
BTCUSDT,GHST_BE,SHORT,92620.55,94324.4232142857,94324.4232142857,89723.9655357143,-2313.18,-1.84,SL,2026-01-05 05:30:00,2026-01-05 17:55:00,149,3,bat,False,GHST_BE: BAT supply [91337-94302] V=2.5x Q=3
BTCUSDT,GHST_SE,LONG,93976.49,92522.67964285714,92522.67964285714,96853.87,-1948.16,-1.55,SL,2026-01-06 00:00:00,2026-01-06 16:40:00,200,1,bat,False,GHST_SE: BAT demand [92544-93965] V=2.8x Q=1
BTCUSDT,GHST_BE,SHORT,92236.06,90424.30314285714,94348.4072142857,88645.06973571429,2189.75,1.96,SL,2026-01-06 17:40:00,2026-01-08 06:20:00,440,4,bat,False,GHST_BE: BAT supply [91337-94302] V=2.5x Q=3
BTCUSDT,GHST_SE,LONG,90266.66,93001.94,86494.71235714287,96678.97099285714,2073.69,3.03,EXHAUST,2026-01-08 07:25:00,2026-01-13 15:35:00,1538,3,bat,False,GHST_SE: BAT demand [86531-90404] V=2.1x Q=3
BTCUSDT,GHST_BE,SHORT,92876.75,93938.10842857143,93938.10842857143,91372.17349999999,-1479.99,-1.14,SL,2026-01-13 16:35:00,2026-01-13 19:30:00,35,3,bat,False,GHST_BE: BAT supply [91873-93881] V=2.5x Q=2
BTCUSDT,GHST_SE,LONG,94299.99,95401.88057142858,93302.63664285715,96853.87,1265.63,1.17,SL,2026-01-13 20:40:00,2026-01-13 22:15:00,19,1,bat,False,GHST_SE: BAT demand [93333-94343] V=2.5x Q=1
BTCUSDT,GHST_SE,LONG,95941.41500000001,97137.49342857143,94525.65657142857,98348.20432857146,1363.5,1.25,SL,2026-01-14 00:35:00,2026-01-14 16:20:00,189,3,injection,False,GHST_SE: INJECTION demand [94560-97322] V=2.6x Q=3
BTCUSDT,GHST_BE,SHORT,97590.27,96047.02857142857,99487.05742857144,94365.73137142857,1768.82,1.58,SL,2026-01-14 17:20:00,2026-01-15 03:30:00,122,1,bat,False,GHST_BE: BAT supply [96854-99437] V=2.3x Q=1
BTCUSDT,GHST_SE,LONG,96259.03,94525.23885714286,94525.23885714286,99206.47494285714,-2282.66,-1.8,SL,2026-01-15 04:30:00,2026-01-16 15:30:00,420,3,injection,False,GHST_SE: INJECTION demand [94560-97322] V=2.6x Q=3
BTCUSDT,GHST_SE,LONG,95778.785,94465.50035714287,94465.50035714287,98011.36889285714,-1752.23,-1.37,SL,2026-01-16 16:55:00,2026-01-18 23:40:00,657,1,bat,False,GHST_SE: BAT demand [94497-97060] V=2.1x Q=1
BTCUSDT,GHST_SE,LONG,92977.88,91226.15785714287,91226.15785714287,95332.85549999999,-2348.22,-1.88,SL,2026-01-19 00:40:00,2026-01-20 06:15:00,355,2,bat,False,GHST_SE: BAT demand [91327-93080] V=2.7x Q=2
BTCUSDT,GHST_TRP,LONG,92203.98000000001,91278.68757142859,91278.68757142859,93776.97712857144,-1295.21,-1.0,SL,2026-01-20 07:15:00,2026-01-20 07:20:00,1,4,bat,True,GHST_TRP: BAT demand [91327-93080] V=2.7x Q=2 +FakeBO
BTCUSDT,GHST_SE,LONG,91188.0,86821.05864285714,86821.05864285714,98611.80030714287,-2981.1,-4.79,SL,2026-01-20 08:20:00,2026-01-25 19:20:00,1572,2,bat,False,GHST_SE: BAT demand [86847-91372] V=2.8x Q=2
BTCUSDT,GHST_BE,SHORT,86363.7,90362.45985714287,90362.45985714287,79565.80824285712,-2952.11,-4.63,SL,2026-01-25 20:20:00,2026-01-28 13:10:00,778,3,bat,False,GHST_BE: BAT supply [86479-90312] V=2.6x Q=3
BTCUSDT,GHST_BE,SHORT,90149.73,87944.51571428572,92298.428,86496.94339999999,2683.6,2.45,SL,2026-01-28 14:10:00,2026-01-29 03:00:00,154,1,bat,False,GHST_BE: BAT supply [89660-92269] V=2.1x Q=1
BTCUSDT,GHST_SE,LONG,88856.765,87235.44214285714,87235.44214285714,91613.01385714287,-2221.23,-1.82,SL,2026-01-29 04:00:00,2026-01-29 14:55:00,131,3,injection,False,GHST_SE: INJECTION demand [87264-90450] V=2.2x Q=3
BTCUSDT,GHST_TRP,SHORT,83048.0,85591.327,85591.327,78724.34409999999,-2955.33,-3.06,SL,2026-01-29 15:55:00,2026-01-29 17:15:00,16,4,injection,True,GHST_TRP: INJECTION supply [80600-85496] V=3.0x Q=2 +FakeBO
BTCUSDT,GHST_BE,SHORT,84228.43,81459.71,89174.89514285713,75819.43925714286,1536.62,3.29,EXHAUST,2026-01-29 18:15:00,2026-01-30 02:20:00,97,2,bat,False,GHST_BE: BAT supply [83879-89118] V=2.5x Q=2
BTCUSDT,GHST_BE,SHORT,82498.04,84344.50314285715,84344.50314285715,79359.05265714282,-2662.06,-2.24,SL,2026-01-30 03:40:00,2026-01-30 19:00:00,184,2,bat,False,GHST_BE: BAT supply [82049-84310] V=2.3x Q=2
BTCUSDT,GHST_BE,SHORT,84066.32,81459.33,89176.43485714284,75379.12474285718,1391.54,3.1,EXHAUST,2026-01-30 20:00:00,2026-01-31 14:30:00,222,2,bat,False,GHST_BE: BAT supply [83879-89118] V=2.5x Q=2
BTCUSDT,GHST_BE,SHORT,81408.05,78846.77,85544.18085714286,74376.62754285715,1697.95,3.15,EXHAUST,2026-01-31 15:50:00,2026-01-31 17:10:00,16,2,injection,False,GHST_BE: INJECTION supply [80600-85496] V=3.0x Q=2
BTCUSDT,GHST_SE,LONG,77439.62,74487.56528571428,74487.56528571428,82458.1130142857,-2923.11,-3.81,SL,2026-02-02 00:05:00,2026-02-03 18:15:00,506,2,belan,False,GHST_SE: BELAN demand [74604-78231] V=2.0x Q=2
BTCUSDT,GHST_TRP,LONG,76417.63,74491.51928571428,74491.51928571428,80600.0,-2930.23,-2.52,SL,2026-02-03 19:25:00,2026-02-03 19:45:00,4,4,belan,True,GHST_TRP: BELAN demand [74604-78231] V=2.0x Q=2 +FakeBO
BTCUSDT,GHST_BE,SHORT,76332.16,74713.44142857143,78697.69857142857,72310.74442857144,1817.84,2.12,SL,2026-02-03 20:45:00,2026-02-04 15:05:00,220,3,bat,False,GHST_BE: BAT supply [74455-78612] V=2.8x Q=3
BTCUSDT,GHST_SE,LONG,73868.37,72066.059,72066.059,76932.2987,-2850.04,-2.44,SL,2026-02-04 16:20:00,2026-02-04 22:05:00,69,3,injection,False,GHST_SE: INJECTION demand [72169-74250] V=2.1x Q=3
BTCUSDT,GHST_SE,LONG,73380.95,72093.52671428572,72093.52671428572,75569.56958571427,-2058.91,-1.75,SL,2026-02-04 23:25:00,2026-02-05 01:20:00,23,3,injection,False,GHST_SE: INJECTION demand [72169-74250] V=2.1x Q=3
BTCUSDT,GHST_BE,SHORT,68903.71,70822.18357142857,70822.18357142857,65642.30492857145,-2852.86,-2.78,SL,2026-02-05 12:30:00,2026-02-05 14:35:00,25,2,bat,False,GHST_BE: BAT supply [67065-70743] V=3.3x Q=2
BTCUSDT,GHST_BE,SHORT,67519.99,65312.1,70886.40385714285,61797.086442857166,1732.2,3.27,EXHAUST,2026-02-05 15:40:00,2026-02-05 19:50:00,50,2,bat,False,GHST_BE: BAT supply [67065-70743] V=3.3x Q=2
BTCUSDT,GHST_TRP,SHORT,62556.64,60255.65,65752.61814285714,57123.47715714286,1919.92,3.68,EXHAUST,2026-02-05 20:50:00,2026-02-06 00:10:00,40,4,bat,True,GHST_TRP: BAT supply [62556-65619] V=3.0x Q=1 +FakeBO
BTCUSDT,GHST_BE,SHORT,64325.16,68016.40621428571,68016.40621428571,58050.041435714294,-2807.97,-5.74,SL,2026-02-06 01:10:00,2026-02-06 14:30:00,160,1,bat,False,GHST_BE: BAT supply [64932-67823] V=2.5x Q=1
BTCUSDT,GHST_TRP,SHORT,66377.365,67906.4275,67906.4275,63777.958750000005,-2625.98,-2.3,SL,2026-02-07 07:20:00,2026-02-07 07:25:00,1,4,bat,True,GHST_TRP: BAT supply [64932-67823] V=2.5x Q=1 +FakeBO
BTCUSDT,GHST_BE,SHORT,67094.16,65923.75742857144,68861.27799999999,64090.05940000003,1688.23,1.74,SL,2026-02-11 12:10:00,2026-02-12 17:00:00,346,3,injection,False,GHST_BE: INJECTION supply [65756-68834] V=2.1x Q=3
BTCUSDT,GHST_SE,LONG,65630.0,67877.6,59939.299857142854,75304.19024285715,1042.85,3.42,EXHAUST,2026-02-12 18:00:00,2026-02-13 14:45:00,249,3,belan,False,GHST_SE: BELAN demand [60000-66010] V=2.7x Q=3
BTCUSDT,GHST_BE,SHORT,67295.17,68885.678,68885.678,64591.306399999994,-2690.05,-2.36,SL,2026-02-13 17:00:00,2026-02-13 17:05:00,1,3,injection,False,GHST_BE: INJECTION supply [65756-68834] V=2.1x Q=3
BTCUSDT,GHST_BE,SHORT,68693.315,68312.02857142859,69249.65064285714,66010.0,491.81,0.56,SL,2026-02-15 16:15:00,2026-02-15 19:10:00,35,1,bat,False,GHST_BE: BAT supply [68165-69222] V=2.2x Q=1
BTCUSDT,GHST_BE,SHORT,68336.0,69257.52407142858,69257.52407142858,66010.0,-1567.75,-1.35,SL,2026-02-15 20:15:00,2026-02-16 12:25:00,194,1,bat,False,GHST_BE: BAT supply [68165-69222] V=2.2x Q=1
BTCUSDT,GHST_SE,LONG,66163.2,68181.3,59951.65142857143,76722.83257142856,845.0,3.05,EXHAUST,2026-02-18 19:40:00,2026-02-20 09:00:00,448,3,belan,False,GHST_SE: BELAN demand [60000-66010] V=2.7x Q=3
BTCUSDT,GHST_SE,LONG,67423.49,68436.25514285715,66253.76485714286,69412.02274285715,1512.68,1.5,SL,2026-02-20 12:05:00,2026-02-21 14:25:00,316,4,injection,False,GHST_SE: INJECTION demand [66280-68084] V=4.8x Q=4
BTCUSDT,GHST_SE,LONG,68099.02,66265.50857142857,66265.50857142857,71215.98942857145,-2811.92,-2.69,SL,2026-02-21 22:40:00,2026-02-23 01:00:00,316,5,injection,False,GHST_SE: INJECTION demand [66280-68084] V=4.8x Q=4
BTCUSDT,GHST_BE,SHORT,64700.01,62715.52,68115.45442857144,58893.75447142856,1507.58,3.07,EXHAUST,2026-02-23 02:15:00,2026-02-24 05:20:00,325,2,bat,False,GHST_BE: BAT supply [64528-68050] V=3.4x Q=2
BTCUSDT,GHST_BE,SHORT,63244.06,65650.067,65650.067,59153.8481,-2767.55,-3.8,SL,2026-02-24 06:35:00,2026-02-25 01:10:00,223,1,bat,False,GHST_BE: BAT supply [62556-65619] V=3.0x Q=1
BTCUSDT,GHST_BE,SHORT,66141.48,68128.72128571429,68128.72128571429,62763.1698142857,-2757.09,-3.0,SL,2026-02-25 02:15:00,2026-02-25 16:55:00,176,2,bat,False,GHST_BE: BAT supply [64528-68050] V=3.4x Q=2
BTCUSDT,GHST_SE,LONG,67959.5,66903.41485714285,66903.41485714285,69754.84474285715,-1746.5,-1.55,SL,2026-02-25 23:50:00,2026-02-26 15:20:00,186,2,injection,False,GHST_SE: INJECTION demand [66952-68000] V=2.6x Q=2
BTCUSDT,GHST_SE,LONG,67476.055,66903.41257142858,66903.41257142858,68164.6245,-994.69,-0.85,SL,2026-02-26 16:45:00,2026-02-26 16:50:00,1,3,injection,False,GHST_SE: INJECTION demand [66952-68000] V=2.6x Q=2
ETHUSDT,GHST_SE,LONG,2975.41,3065.15,2829.188071428571,3223.9872785714288,1780.13,3.02,EXHAUST,2025-12-31 07:25:00,2026-01-02 10:15:00,610,4,bat,False,GHST_SE: BAT demand [2830-2976] V=2.4x Q=3
ETHUSDT,GHST_SE,LONG,3054.47,3147.97,2906.3094285714287,3306.3429714285708,1841.86,3.06,EXHAUST,2026-01-02 11:20:00,2026-01-04 00:10:00,442,3,injection,False,GHST_SE: INJECTION demand [2908-3053] V=2.4x Q=3
ETHUSDT,GHST_BE,SHORT,3150.0,3218.113714285714,3218.113714285714,3057.676,-2746.47,-2.16,SL,2026-01-04 01:15:00,2026-01-05 01:35:00,292,1,bat,False,GHST_BE: BAT supply [3109-3217] V=2.0x Q=1
ETHUSDT,GHST_SE,LONG,3190.0,3287.85,3097.1575,3347.8322500000004,3065.16,3.07,EXHAUST,2026-01-05 02:35:00,2026-01-06 14:15:00,428,3,bat,False,GHST_SE: BAT demand [3099-3265] V=2.5x Q=3
ETHUSDT,GHST_BE,SHORT,3292.2650000000003,3191.52,3418.4029285714287,3077.830521428572,2345.52,3.06,EXHAUST,2026-01-06 15:25:00,2026-01-07 14:05:00,272,3,bat,False,GHST_BE: BAT supply [3169-3415] V=2.6x Q=3
ETHUSDT,GHST_BE,SHORT,3169.4,3067.38,3418.2233571428574,2746.4002928571426,1215.09,3.22,EXHAUST,2026-01-07 15:05:00,2026-01-08 14:35:00,282,3,bat,False,GHST_BE: BAT supply [3169-3415] V=2.6x Q=3
ETHUSDT,GHST_SE,LONG,3182.115,3096.286071428571,3096.286071428571,3328.0241785714284,-3184.19,-2.7,SL,2026-01-08 15:35:00,2026-01-08 15:40:00,1,3,bat,False,GHST_SE: BAT demand [3099-3265] V=2.5x Q=3
ETHUSDT,GHST_BE,SHORT,3114.44,3218.4601428571427,3218.4601428571427,2937.6057571428573,-3128.31,-3.34,SL,2026-01-08 16:50:00,2026-01-13 19:30:00,1472,1,bat,False,GHST_BE: BAT supply [3109-3217] V=2.0x Q=1
ETHUSDT,GHST_SE,LONG,3199.05,3324.8869142857147,3125.0282857142856,3324.8869142857147,4608.23,3.93,TARGET,2026-01-13 20:40:00,2026-01-13 22:10:00,18,1,bat,False,GHST_SE: BAT demand [3126-3192] V=2.8x Q=1
ETHUSDT,GHST_SE,LONG,3336.46,3194.5202142857142,3194.5202142857142,3577.7576357142857,-3121.75,-4.25,SL,2026-01-13 23:10:00,2026-01-19 00:20:00,1454,3,bat,False,GHST_SE: BAT demand [3199-3342] V=4.2x Q=3
ETHUSDT,GHST_BE,SHORT,3212.4,3139.8211428571426,3297.729214285714,3067.340335714286,2453.52,2.26,SL,2026-01-19 01:20:00,2026-01-20 06:20:00,348,3,bat,False,GHST_BE: BAT supply [3202-3295] V=5.1x Q=3
ETHUSDT,GHST_SE,LONG,3122.11,3062.944142857143,3062.944142857143,3222.691957142857,-2427.21,-1.9,SL,2026-01-20 07:20:00,2026-01-20 14:15:00,83,3,injection,False,GHST_SE: INJECTION demand [3066-3134] V=2.3x Q=3
ETHUSDT,GHST_BE,SHORT,3006.86,2913.64,3146.1703571428575,2770.0323928571424,1953.09,3.1,EXHAUST,2026-01-20 15:15:00,2026-01-21 12:15:00,252,2,bat,False,GHST_BE: BAT supply [2961-3142] V=2.3x Q=2
ETHUSDT,GHST_BE,SHORT,2936.76,3023.6190714285713,3023.6190714285713,2789.0995785714294,-3137.53,-2.96,SL,2026-01-21 13:15:00,2026-01-21 15:15:00,24,2,bat,False,GHST_BE: BAT supply [2930-3022] V=2.5x Q=2
ETHUSDT,GHST_BE,SHORT,2977.99,2873.15,3144.4800714285716,2694.9568785714278,1837.0,3.52,EXHAUST,2026-01-21 16:15:00,2026-01-21 17:10:00,11,2,bat,False,GHST_BE: BAT supply [2961-3142] V=2.3x Q=2
ETHUSDT,GHST_SE,LONG,2905.23,3008.85,2826.080214285714,3039.7846357142857,3843.26,3.57,EXHAUST,2026-01-21 18:10:00,2026-01-21 19:30:00,16,3,bat,False,GHST_SE: BAT demand [2830-2976] V=2.4x Q=3
ETHUSDT,GHST_SE,LONG,2991.82,2905.749142857143,2905.749142857143,3138.1404571428575,-3163.95,-2.88,SL,2026-01-22 00:00:00,2026-01-23 14:35:00,463,4,injection,False,GHST_SE: INJECTION demand [2908-3053] V=2.4x Q=3
ETHUSDT,GHST_SE,LONG,2937.63,2795.7352142857144,2795.7352142857144,3178.8511357142856,-3087.59,-4.83,SL,2026-01-23 15:35:00,2026-01-25 20:20:00,633,2,bat,False,GHST_SE: BAT demand [2799-3034] V=3.2x Q=2
ETHUSDT,GHST_BE,SHORT,2817.94,3018.278428571429,3018.278428571429,2477.3646714285715,-3035.57,-7.11,SL,2026-01-25 21:20:00,2026-01-27 20:20:00,564,3,bat,False,GHST_BE: BAT supply [2801-3016] V=4.1x Q=3
ETHUSDT,GHST_BE,SHORT,3015.41,2924.55,3180.6989285714285,2734.4188214285714,1574.55,3.01,EXHAUST,2026-01-27 21:20:00,2026-01-29 11:25:00,457,2,bat,False,GHST_BE: BAT supply [2989-3179] V=3.1x Q=2
ETHUSDT,GHST_SE,LONG,2936.4,2798.319357142857,2798.319357142857,3171.1370928571437,-3041.22,-4.7,SL,2026-01-29 12:30:00,2026-01-29 15:40:00,38,2,bat,False,GHST_SE: BAT demand [2799-3034] V=3.2x Q=2
ETHUSDT,GHST_BE,SHORT,2812.35,2725.25,3018.8748571428573,2461.257742857142,1202.68,3.1,EXHAUST,2026-01-29 16:40:00,2026-01-30 01:40:00,108,3,bat,False,GHST_BE: BAT supply [2801-3016] V=4.1x Q=3
ETHUSDT,GHST_BE,SHORT,2731.12,2640.42,2856.4110000000005,2518.125299999999,2077.19,3.32,EXHAUST,2026-01-30 02:45:00,2026-01-31 08:35:00,358,2,bat,False,GHST_BE: BAT supply [2732-2852] V=3.5x Q=2
ETHUSDT,GHST_SE,LONG,2698.735,2635.1560000000004,2635.1560000000004,2806.8192999999997,-2926.04,-2.36,SL,2026-01-31 12:00:00,2026-01-31 12:10:00,2,3,injection,False,GHST_SE: INJECTION demand [2636-2761] V=2.2x Q=3
ETHUSDT,GHST_BE,SHORT,2587.46,2538.153142857143,2658.1502857142855,2467.286514285715,1948.44,1.91,SL,2026-01-31 13:15:00,2026-01-31 14:50:00,19,2,bat,False,GHST_BE: BAT supply [2518-2657] V=2.3x Q=2
ETHUSDT,GHST_BE,SHORT,2540.79,2455.43,2659.156,2339.5678,2075.66,3.36,EXHAUST,2026-01-31 15:50:00,2026-01-31 17:05:00,15,2,bat,False,GHST_BE: BAT supply [2518-2657] V=2.3x Q=2
ETHUSDT,GHST_SE,LONG,2144.26,2072.4435714285714,2072.4435714285714,2518.2219999999998,-3075.85,-3.35,SL,2026-02-04 16:10:00,2026-02-05 06:45:00,175,3,injection,False,GHST_SE: INJECTION demand [2077-2195] V=2.2x Q=3
ETHUSDT,GHST_SE,LONG,2135.6949999999997,2074.0544285714286,2074.0544285714286,2518.2219999999998,-3057.41,-2.89,SL,2026-02-05 07:50:00,2026-02-05 11:20:00,42,3,injection,False,GHST_SE: INJECTION demand [2077-2195] V=2.2x Q=3
ETHUSDT,GHST_BE,SHORT,1813.48,1752.1,1947.8615,1585.0314500000002,1295.85,3.38,EXHAUST,2026-02-06 00:00:00,2026-02-06 00:15:00,3,2,bat,False,GHST_BE: BAT supply [1812-1944] V=2.2x Q=1
ETHUSDT,GHST_BE,SHORT,1877.8049999999998,1951.2723571428571,1951.2723571428571,1752.9104928571423,-3011.03,-3.91,SL,2026-02-06 01:15:00,2026-02-06 05:50:00,55,1,bat,False,GHST_BE: BAT supply [1812-1944] V=2.2x Q=1
