Symbol,Strategy,Original Exit Reason,Original PnL,OI/IV Exit Type,Exit Step,Early PnL,Saved Amount,Reversed,Reversal PnL,New Total PnL
NIFTY 25700 CE,CPR,SL_HIT,-7442.5,OI_IV_COMBO,5/10,-3721.25,3721.25,True,3721.25,0.0
NIFTY 25750 CE,CPR,SL_HIT,-6262.1,OI_IV_COMBO,5/10,-3131.05,3131.05,True,3131.05,-0.0
NIFTY 25750 CE,Ghost Zone,SL_HIT,-6278.35,OI_IV_COMBO,5/10,-3139.18,3139.18,True,3139.17,-0.0
SENSEX 83400 CE,CPR,SL_HIT,-7353.6,OI_IV_COMBO,5/10,-3676.8,3676.8,True,3676.8,-0.0
SENSEX 83400 CE,Ghost Zone,SL_HIT,-7337.6,OI_IV_COMBO,5/10,-3668.8,3668.8,True,3668.8,0.0
SENSEX 83500 CE,CPR,SL_HIT,-6977.2,OI_IV_COMBO,5/10,-3488.6,3488.6,True,3488.6,0.0
SENSEX 83500 CE,Ghost Zone,SL_HIT,-7014.2,OI_IV_COMBO,5/10,-3507.1,3507.1,True,3507.1,-0.0
NIFTY 25800 CE,CPR,SL_HIT,-7180.55,OI_IV_COMBO,5/10,-3590.28,3590.28,True,3590.28,0.0
NIFTY 25800 CE,Ghost Zone,SL_HIT,-7202.0,OI_IV_COMBO,5/10,-3601.0,3601.0,True,3601.0,-0.0
SENSEX 83600 CE,CPR,SL_HIT,-7820.4,OI_IV_COMBO,4/10,-3128.16,4692.24,True,4692.24,1564.08
SENSEX 83600 CE,Ghost Zone,SL_HIT,-7837.0,OI_IV_COMBO,4/10,-3134.8,4702.2,True,4702.2,1567.4
BANKNIFTY 61500 CE,CPR,SL_HIT,-7989.0,OI_IV_COMBO,5/10,-3994.5,3994.5,True,3994.5,0.0
SENSEX 83700 CE,CPR,SL_HIT,-7832.2,OI_IV_COMBO,4/10,-3132.88,4699.32,True,4699.32,1566.44
BANKNIFTY 61550 CE,CPR,SL_HIT,-8076.0,OI_IV_COMBO,5/10,-4038.0,4038.0,True,4038.0,0.0
SENSEX 83700 CE,Ghost Zone,SL_HIT,-7954.0,OI_IV_COMBO,4/10,-3181.6,4772.4,True,4772.4,1590.8
SENSEX 83800 CE,CPR,SL_HIT,-8035.2,OI_IV_COMBO,4/10,-3214.08,4821.12,True,4821.12,1607.04
SENSEX 83800 CE,Ghost Zone,SL_HIT,-8032.4,OI_IV_COMBO,4/10,-3212.96,4819.44,True,4819.44,1606.48
NIFTY 25676 PE,Survivor,SL_HIT,-9196.85,OI_IV_COMBO,2/10,-1839.37,7357.48,True,7357.48,5518.11
BANKNIFTY 61215 PE,Survivor,TARGET_HIT,-4831.2,OI_IV_COMBO,5/10,-2415.6,2415.6,True,2415.6,0.0
SENSEX 83269 PE,Survivor,SL_HIT,-10687.8,OI_IV_COMBO,2/10,-2137.56,8550.24,True,8550.24,6412.68
SENSEX 83300 CE,CPR,SL_HIT,-6553.0,OI_IV_COMBO,5/10,-3276.5,3276.5,True,3276.5,0.0
SENSEX 83300 CE,Ghost Zone,SL_HIT,-6514.4,OI_IV_COMBO,5/10,-3257.2,3257.2,True,3257.2,-0.0
SENSEX 83200 CE,CPR,SL_HIT,-6790.8,OI_IV_COMBO,5/10,-3395.4,3395.4,True,3395.4,0.0
SENSEX 83200 CE,Ghost Zone,SL_HIT,-6788.8,OI_IV_COMBO,5/10,-3394.4,3394.4,True,3394.4,0.0
NIFTY 25700 CE,CPR,SL_HIT,-7117.5,OI_IV_COMBO,5/10,-3558.75,3558.75,True,3558.75,0.0
BANKNIFTY 61550 CE,Gamma Blast,SL_HIT,-7175.1,OI_IV_COMBO,5/10,-3587.55,3587.55,True,3587.55,0.0
SENSEX 82500 PE,CPR,SL_HIT,-4093.4,OI_IV_COMBO,5/10,-2046.7,2046.7,True,2046.7,0.0
BANKNIFTY 61150 CE,CPR,SL_HIT,-7416.6,OI_IV_COMBO,4/10,-2966.64,4449.96,True,4449.96,1483.32
NIFTY 25600 CE,CPR,SL_HIT,-5124.6,OI_IV_COMBO,5/10,-2562.3,2562.3,True,2562.3,0.0
NIFTY 25600 CE,Ghost Zone,SL_HIT,-5124.6,OI_IV_COMBO,5/10,-2562.3,2562.3,True,2562.3,0.0
SENSEX 82600 PE,CPR,SL_HIT,-4587.4,OI_IV_COMBO,5/10,-2293.7,2293.7,True,2293.7,0.0
BANKNIFTY 61200 CE,CPR,SL_HIT,-10145.7,OI_IV_COMBO,4/10,-4058.28,6087.42,True,6087.42,2029.14
BANKNIFTY 61250 CE,CPR,SL_HIT,-9981.0,OI_IV_COMBO,4/10,-3992.4,5988.6,True,5988.6,1996.2
BANKNIFTY 61300 CE,CPR,SL_HIT,-10125.3,OI_IV_COMBO,4/10,-4050.12,6075.18,True,6075.18,2025.06
NIFTY 25700 CE,Ghost Zone,SL_HIT,-6066.45,OI_IV_COMBO,5/10,-3033.22,3033.22,True,3033.22,0.0
BANKNIFTY 61350 CE,CPR,SL_HIT,-10480.8,OI_IV_COMBO,4/10,-4192.32,6288.48,True,6288.48,2096.16
BANKNIFTY 61350 CE,Gamma Blast,SL_HIT,-9721.8,OI_IV_COMBO,4/10,-3888.72,5833.08,True,5833.08,1944.36
BANKNIFTY 61450 CE,CPR,SL_HIT,-10862.4,OI_IV_COMBO,4/10,-4344.96,6517.44,True,6517.44,2172.48
BANKNIFTY 61450 CE,Gamma Blast,SL_HIT,-9827.7,OI_IV_COMBO,4/10,-3931.08,5896.62,True,5896.62,1965.54
BANKNIFTY 61500 CE,Gamma Blast,SL_HIT,-9861.0,OI_IV_COMBO,4/10,-3944.4,5916.6,True,5916.6,1972.2
BANKNIFTY 61050 CE,CPR,SL_HIT,-7278.0,OI_IV_COMBO,4/10,-2911.2,4366.8,True,4366.8,1455.6
BANKNIFTY 61000 CE,CPR,SL_HIT,-7278.6,OI_IV_COMBO,4/10,-2911.44,4367.16,True,4367.16,1455.72
BANKNIFTY 61100 CE,CPR,SL_HIT,-7578.0,OI_IV_COMBO,4/10,-3031.2,4546.8,True,4546.8,1515.6
NIFTY 25600 CE,CPR,SL_HIT,-4815.2,OI_IV_COMBO,5/10,-2407.6,2407.6,True,2407.6,-0.0
NIFTY 25600 CE,Ghost Zone,SL_HIT,-4815.2,OI_IV_COMBO,5/10,-2407.6,2407.6,True,2407.6,-0.0
SENSEX 83100 CE,CPR,SL_HIT,-4745.4,OI_IV_COMBO,5/10,-2372.7,2372.7,True,2372.7,0.0
SENSEX 83100 CE,Ghost Zone,SL_HIT,-4745.4,OI_IV_COMBO,5/10,-2372.7,2372.7,True,2372.7,0.0
