Market,Trade_ID,Entry_Time,Strategy,Symbol,Signal_Type,Direction,Strike,Entry_Premium,Current_Premium,Lot_Size,Multiplier,Entry_Cost,Unrealized_PnL,Delta,Gamma,Theta,IV_Pct,DTE,Target,Stop_Loss,Spot_at_Entry,Entry_Reason,Status
COMMODITY,CPR_SILVERM_153228,2026-02-16T15:32:28.537839,CPR,SILVERM,BUY_PE_CPR,BUY,244500,9217.18,9217.18,5,5,107.11,0.0,-0.4843,1.7e-05,-911.09,,5,16590.930182787415,3686.8733739527593,244302.0,Narrow CPR (0.063%) bearish breakout,OPEN
COMMODITY,CPR_CRUDEOILM_153228,2026-02-16T15:32:28.537839,CPR,CRUDEOILM,BUY_PE_CPR,BUY,5700,182.11,182.11,10,10,51.93,0.0,-0.506,0.000934,-17.0,,5,327.79635680708367,72.8436348460186,5677.0,Narrow CPR (0.373%) bearish breakout,OPEN
EQUITY,Ghost Zone_SENSEX_153220,2026-02-16T15:32:20.831519,Ghost Zone,SENSEX,BUY_CE_GTZ,BUY,83300,642.74,642.74,10,1,50.41,0.0,0.513,0.000255,-85.51,15.0,4,,,,,OPEN
EQUITY,CPR_SENSEX_153220,2026-02-16T15:32:20.830519,CPR,SENSEX,BUY_CE_CPR,BUY,83300,642.74,642.74,10,1,50.41,0.0,0.513,0.000255,-85.51,15.0,4,,,,,OPEN
EQUITY,CPR_BANKNIFTY_153220,2026-02-16T15:32:20.829518,CPR,BANKNIFTY,BUY_CE_CPR,BUY,60950,496.38,375.89,15,1,50.92,-1858.3,0.5181,0.000335,-64.85,15.0,4,,,,,OPEN
EQUITY,Ghost Zone_BANKNIFTY_153220,2026-02-16T15:32:20.829518,Ghost Zone,BANKNIFTY,BUY_CE_GTZ,BUY,60950,496.38,375.89,15,1,50.92,-1858.3,0.5181,0.000335,-64.85,15.0,4,,,,,OPEN
EQUITY,Ghost Zone_NIFTY_153220,2026-02-16T15:32:20.828519,Ghost Zone,NIFTY,BUY_CE_GTZ,BUY,25700,196.7,149.88,25,1,49.66,-1220.09,0.5047,0.000811,-26.79,15.0,4,,,,,OPEN
EQUITY,CPR_NIFTY_153220,2026-02-16T15:32:20.827518,CPR,NIFTY,BUY_CE_CPR,BUY,25700,196.7,149.88,25,1,49.66,-1220.09,0.5047,0.000811,-26.79,15.0,4,,,,,OPEN
EQUITY,CPR_NIFTY_122406,2026-02-16T12:24:06.372888,CPR,NIFTY,BUY_CE_CPR,BUY,25550,204.99,235.97,25,1,49.76,724.65,0.5244,0.000826,-26.35,15.0,4,,,,,OPEN
EQUITY,Ghost Zone_NIFTY_122406,2026-02-16T12:24:06.372888,Ghost Zone,NIFTY,BUY_CE_GTZ,BUY,25550,204.99,235.97,25,1,49.76,724.65,0.5244,0.000826,-26.35,15.0,4,,,,,OPEN
EQUITY,CPR_BANKNIFTY_122406,2026-02-16T12:24:06.372888,CPR,BANKNIFTY,BUY_CE_CPR,BUY,60550,466.98,616.12,15,1,50.7,2186.42,0.5118,0.000349,-62.35,15.0,4,,,,,OPEN
EQUITY,Ghost Zone_BANKNIFTY_122406,2026-02-16T12:24:06.372888,Ghost Zone,BANKNIFTY,BUY_CE_GTZ,BUY,60550,466.98,616.12,15,1,50.7,2186.42,0.5118,0.000349,-62.35,15.0,4,,,,,OPEN
EQUITY,CPR_SENSEX_122406,2026-02-16T12:24:06.372888,CPR,SENSEX,BUY_CE_CPR,BUY,82900,630.74,730.89,10,1,50.35,951.16,0.5135,0.00026,-83.9,15.0,4,,,,,OPEN
EQUITY,Ghost Zone_SENSEX_122406,2026-02-16T12:24:06.372888,Ghost Zone,SENSEX,BUY_CE_GTZ,BUY,82900,630.74,730.89,10,1,50.35,951.16,0.5135,0.00026,-83.9,15.0,4,,,,,OPEN
