S.No,Symbol,Strategy,Entry Time,Exit Time,Per lot,No fo lots,Entry,Target,SL,Exit,Amount Invested,Amount After Close,PnL,Balance,Status,PnL %,Spot Price,Delta,Exit Reason
1,NIFTY 25750 CE,CPR,18/02/2026 09:34,20/02/2026 10:03,65,1,133.1,239.58,53.24,36.76,8651.5,2389.4,-6262.1,293737.9,Closed,-72.4,25750,0.4866,SL_HIT
2,NIFTY 25750 CE,Ghost Zone,18/02/2026 09:34,20/02/2026 10:03,65,1,133.1,173.03,53.24,36.51,8651.5,2373.15,-6278.35,287459.55,Closed,-72.6,25750,0.4866,SL_HIT
3,NIFTY 25588 PE,Survivor,18/02/2026 09:34,18/02/2026 09:39,65,1,78.18,15.64,117.27,55.49,5081.7,3606.85,1474.85,288934.4,Closed,29.0,25588.38,-0.3344,TARGET_HIT
4,BANKNIFTY 61200 CE,CPR,18/02/2026 09:34,20/02/2026 12:37,30,1,362.24,652.03,144.9,24.05,10867.2,721.5,-10145.7,278788.7,Closed,-93.4,61200,0.5179,SL_HIT
5,BANKNIFTY 60873 PE,Survivor,18/02/2026 09:34,18/02/2026 09:39,30,1,194.4,38.88,291.6,129.12,5832.0,3873.6,1958.4,280747.1,Closed,33.6,60873.23,-0.3361,TARGET_HIT
6,SENSEX 83400 CE,CPR,18/02/2026 09:34,20/02/2026 10:03,20,1,480.22,864.4,192.09,112.54,9604.4,2250.8,-7353.6,273393.5,Closed,-76.6,83400,0.5267,SL_HIT
7,SENSEX 83400 CE,Ghost Zone,18/02/2026 09:34,20/02/2026 10:03,20,1,480.22,624.29,192.09,113.34,9604.4,2266.8,-7337.6,266055.9,Closed,-76.4,83400,0.5267,SL_HIT
8,SENSEX 82981 PE,Survivor,18/02/2026 09:34,18/02/2026 09:40,20,1,243.23,48.65,364.84,183.47,4864.6,3669.4,1195.2,267251.1,Closed,24.6,82981.16,-0.329,TARGET_HIT
9,NIFTY 25604 PE,Survivor,18/02/2026 09:39,18/02/2026 09:45,65,1,79.35,15.87,119.02,60.49,5157.75,3931.85,1225.9,268477.0,Closed,23.8,25604.34,-0.3372,TARGET_HIT
10,BANKNIFTY 61250 CE,CPR,18/02/2026 09:39,20/02/2026 12:37,30,1,353.21,635.78,141.28,20.51,10596.3,615.3,-9981.0,258496.0,Closed,-94.2,61250,0.5083,SL_HIT
11,BANKNIFTY 60909 PE,Survivor,18/02/2026 09:39,18/02/2026 09:45,30,1,197.85,39.57,296.77,128.43,5935.5,3852.9,2082.6,260578.6,Closed,35.1,60908.58,-0.3394,TARGET_HIT
12,SENSEX 83000 PE,Survivor,18/02/2026 09:39,18/02/2026 09:45,20,1,246.6,49.32,369.9,185.27,4932.0,3705.4,1226.6,261805.2,Closed,24.9,82999.58,-0.332,TARGET_HIT
13,NIFTY 25604 PE,Survivor,18/02/2026 09:45,18/02/2026 09:50,65,1,78.65,15.73,117.98,66.87,5112.25,4346.55,765.7,262570.9,Closed,15.0,25603.93,-0.335,TARGET_HIT
14,BANKNIFTY 61300 CE,CPR,18/02/2026 09:45,20/02/2026 12:37,30,1,354.93,638.87,141.97,17.42,10647.9,522.6,-10125.3,252445.6,Closed,-95.1,61300,0.5076,SL_HIT
