Market,Strategy,Symbol,Trades,Win Rate %,Total PnL,Sharpe
Equity,Survivor (Raahi Bhushan),NIFTY50,640,79.8,"6,477,691",2.28
Equity,Wave Extractor (Raahi Bhushan),NIFTY50,1968,43.7,"-1,100,133",-0.32
Equity,PCR+VWAP (CA Nitin Muraka),NIFTY50,0,0.0,0,0.00
Equity,Ghost Trade Zone (GTZ),NIFTY50,0,0.0,0,0.00
Equity,CPR (Gomathi Shankar),NIFTY50,589,71.5,"353,758",2.34
Equity,Gamma Blast (All Days),NIFTY50,784,91.3,"3,335,102",4.83
Equity,Survivor (Raahi Bhushan),BANKNIFTY,1875,92.1,"47,741,604",2.70
Equity,Wave Extractor (Raahi Bhushan),BANKNIFTY,2064,47.3,"-670,111",-0.09
Equity,PCR+VWAP (CA Nitin Muraka),BANKNIFTY,0,0.0,0,0.00
Equity,Ghost Trade Zone (GTZ),BANKNIFTY,0,0.0,0,0.00
Equity,CPR (Gomathi Shankar),BANKNIFTY,560,67.1,"386,630",1.33
Equity,Gamma Blast (All Days),BANKNIFTY,763,89.9,"4,702,853",3.74
Equity,Survivor (Raahi Bhushan),SENSEX,2025,94.3,"55,419,471",3.55
Equity,Wave Extractor (Raahi Bhushan),SENSEX,2026,44.0,"-1,053,450",0.44
Equity,PCR+VWAP (CA Nitin Muraka),SENSEX,0,0.0,0,0.00
Equity,Ghost Trade Zone (GTZ),SENSEX,0,0.0,0,0.00
Equity,CPR (Gomathi Shankar),SENSEX,551,72.2,"395,124",2.35
Equity,Gamma Blast (All Days),SENSEX,783,92.3,"4,152,046",4.68
Commodity,CPR (GOLD),-,1135,94.6%,"Rs 49,378,294",3.47
Commodity,Gamma Blast (GOLD),-,651,92.2%,"Rs 19,724,592",3.22
Commodity,Ghost Zone (GOLD),-,228,82.0%,"Rs 4,128,881",3.01
Commodity,CPR (GOLDM),-,1152,95.2%,"Rs 4,732,081",8.91
Commodity,Gamma Blast (GOLDM),-,640,94.8%,"Rs 2,048,024",6.28
Commodity,Ghost Zone (GOLDM),-,273,76.2%,"Rs 425,067",3.85
Commodity,CPR (SILVER),-,1069,90.1%,"Rs 28,017,708",3.11
Commodity,Gamma Blast (SILVER),-,689,92.2%,"Rs 17,285,243",2.41
Commodity,Ghost Zone (SILVER),-,164,86.0%,"Rs 2,334,045",2.08
Commodity,CPR (SILVERM),-,1040,89.3%,"Rs 4,476,094",6.2
Commodity,Gamma Blast (SILVERM),-,639,91.1%,"Rs 2,693,375",4.88
Commodity,Ghost Zone (SILVERM),-,180,85.6%,"Rs 447,181",3.06
Commodity,CPR (CRUDEOIL),-,1026,78.8%,"Rs 6,601,209",5.54
Commodity,Gamma Blast (CRUDEOIL),-,701,94.0%,"Rs 6,198,317",5.31
Commodity,Ghost Zone (CRUDEOIL),-,136,87.5%,"Rs 1,078,167",2.97
Commodity,CPR (NATURALGAS),-,1028,59.8%,"Rs 2,692,588",3.91
Commodity,Gamma Blast (NATURALGAS),-,724,94.6%,"Rs 5,693,055",5.61
Commodity,Ghost Zone (NATURALGAS),-,109,86.2%,"Rs 732,166",2.43
Commodity,CPR (COPPER),-,1081,92.3%,"Rs 16,931,428",4.87
Commodity,Gamma Blast (COPPER),-,648,93.8%,"Rs 7,656,904",3.95
Commodity,Ghost Zone (COPPER),-,239,82.8%,"Rs 2,023,443",3.32
