Strategy,Score (Sharpe),Weight,Amount (Rs),Win Rate,Ann Return,Max DD
CPR (GOLDM),8.91,8.5%,"25,505",95.2%,103.1%,-2.55%
Gamma Blast (GOLDM),6.28,6.0%,"17,929",94.8%,75.1%,-1.50%
CPR (SILVERM),6.20,5.9%,"17,677",89.3%,101.1%,-3.04%
Gamma Blast (NATURALGAS),5.61,5.3%,"15,909",94.6%,109.9%,-2.36%
CPR (CRUDEOIL),5.54,5.3%,"15,909",78.8%,115.6%,-2.97%
Gamma Blast (CRUDEOIL),5.31,5.1%,"15,152",94.0%,113.2%,-1.50%
Gamma Blast (SILVERM),4.88,4.6%,"13,889",91.1%,83.8%,-1.50%
CPR (COPPER),4.87,4.6%,"13,889",92.3%,155.7%,-1.49%
Gamma Blast (COPPER),3.95,4.2%,"12,626",93.8%,121.5%,-2.98%
CPR (NATURALGAS),3.91,4.2%,"12,626",59.8%,83.7%,-4.39%
Ghost Zone (GOLDM),3.85,4.2%,"12,626",76.2%,35.4%,-0.35%
CPR (GOLD),3.47,4.2%,"12,626",94.6%,210.7%,-1.00%
Ghost Zone (COPPER),3.32,4.2%,"12,626",82.8%,74.8%,-1.17%
Gamma Blast (GOLD),3.22,4.2%,"12,626",92.2%,162.9%,-2.64%
CPR (SILVER),3.11,4.2%,"12,626",90.1%,180.2%,-3.95%
Ghost Zone (SILVERM),3.06,4.2%,"12,626",85.6%,36.4%,-0.69%
Ghost Zone (GOLD),3.01,4.2%,"12,626",82.0%,98.2%,-0.56%
Ghost Zone (CRUDEOIL),2.97,4.2%,"12,626",87.5%,56.9%,-1.35%
Ghost Zone (NATURALGAS),2.43,4.2%,"12,626",86.2%,47.3%,-0.66%
Gamma Blast (SILVER),2.41,4.2%,"12,626",92.2%,156.6%,-1.50%
Ghost Zone (SILVER),2.08,4.2%,"12,626",86.0%,79.2%,-0.91%
