Strategy,Trades,Win Rate,Total PnL,Final Capital,Return,Ann Return,Max DD,Sharpe,Sortino,Profit Factor,Avg Win,Avg Loss
CPR (GOLD),1135,94.6%,"Rs 49,378,294","Rs 49,478,294",49378.3%,210.7%,-1.00%,3.47,36.36,37.53,"Rs 47,235","Rs -22,161"
Gamma Blast (GOLD),651,92.2%,"Rs 19,724,592","Rs 19,824,592",19724.6%,162.9%,-2.64%,3.22,14.79,10.22,"Rs 36,440","Rs -41,948"
Ghost Zone (GOLD),228,82.0%,"Rs 4,128,881","Rs 4,228,881",4128.9%,98.2%,-0.56%,3.01,61.69,43.16,"Rs 22,603","Rs -2,389"
CPR (GOLDM),1152,95.2%,"Rs 4,732,081","Rs 4,832,081",4732.1%,103.1%,-2.55%,8.91,21.64,23.74,"Rs 4,503","Rs -3,783"
Gamma Blast (GOLDM),640,94.8%,"Rs 2,048,024","Rs 2,148,024",2048.0%,75.1%,-1.50%,6.28,8.38,15.17,"Rs 3,612","Rs -4,380"
Ghost Zone (GOLDM),273,76.2%,"Rs 425,067","Rs 525,067",425.1%,35.4%,-0.35%,3.85,32.2,25.55,"Rs 2,127",Rs -266
CPR (SILVER),1069,90.1%,"Rs 28,017,708","Rs 28,117,708",28017.7%,180.2%,-3.95%,3.11,18.06,12.7,"Rs 31,582","Rs -22,599"
Gamma Blast (SILVER),689,92.2%,"Rs 17,285,243","Rs 17,385,243",17285.2%,156.6%,-1.50%,2.41,13.44,10.88,"Rs 29,976","Rs -32,400"
Ghost Zone (SILVER),164,86.0%,"Rs 2,334,045","Rs 2,434,045",2334.0%,79.2%,-0.91%,2.08,27.54,51.15,"Rs 16,884","Rs -2,023"
CPR (SILVERM),1040,89.3%,"Rs 4,476,094","Rs 4,576,094",4476.1%,101.1%,-3.04%,6.2,13.54,11.61,"Rs 5,272","Rs -3,802"
Gamma Blast (SILVERM),639,91.1%,"Rs 2,693,375","Rs 2,793,375",2693.4%,83.8%,-1.50%,4.88,9.38,9.34,"Rs 5,182","Rs -5,663"
Ghost Zone (SILVERM),180,85.6%,"Rs 447,181","Rs 547,181",447.2%,36.4%,-0.69%,3.06,13.74,47.83,"Rs 2,966",Rs -367
CPR (CRUDEOIL),1026,78.8%,"Rs 6,601,209","Rs 6,701,209",6601.2%,115.6%,-2.97%,5.54,14.78,6.78,"Rs 9,582","Rs -5,235"
Gamma Blast (CRUDEOIL),701,94.0%,"Rs 6,198,317","Rs 6,298,317",6198.3%,113.2%,-1.50%,5.31,9.09,12.33,"Rs 10,236","Rs -13,025"
Ghost Zone (CRUDEOIL),136,87.5%,"Rs 1,078,167","Rs 1,178,167",1078.2%,56.9%,-1.35%,2.97,16.1,60.98,"Rs 9,211","Rs -1,057"
CPR (NATURALGAS),1028,59.8%,"Rs 2,692,588","Rs 2,792,588",2692.6%,83.7%,-4.39%,3.91,10.95,2.33,"Rs 7,659","Rs -4,885"
Gamma Blast (NATURALGAS),724,94.6%,"Rs 5,693,055","Rs 5,793,055",5693.1%,109.9%,-2.36%,5.61,8.39,12.73,"Rs 9,020","Rs -12,445"
Ghost Zone (NATURALGAS),109,86.2%,"Rs 732,166","Rs 832,166",732.2%,47.3%,-0.66%,2.43,22.26,65.36,"Rs 7,910",Rs -758
CPR (COPPER),1081,92.3%,"Rs 16,931,428","Rs 17,031,428",16931.4%,155.7%,-1.49%,4.87,19.63,22.45,"Rs 17,756","Rs -9,512"
Gamma Blast (COPPER),648,93.8%,"Rs 7,656,904","Rs 7,756,904",7656.9%,121.5%,-2.98%,3.95,10.38,10.81,"Rs 13,877","Rs -19,515"
Ghost Zone (COPPER),239,82.8%,"Rs 2,023,443","Rs 2,123,443",2023.4%,74.8%,-1.17%,3.32,12.73,47.25,"Rs 10,440","Rs -1,067"
