Strategy,Trades,Win Rate,Total PnL,Final Capital,Return,Ann Return,Max DD,Sharpe,Sortino,Profit Factor,Avg Win,Avg Loss,Sharpe_num,Trades_num
CPR (GOLD),1135,94.6%,"Rs 49,376,294","Rs 49,676,294",16458.8%,154.4%,-1.00%,5.71,29.48,37.47,"Rs 47,235","Rs -22,194",5.71,1135
Gamma Blast (GOLD),651,92.2%,"Rs 19,703,829","Rs 20,003,829",6567.9%,115.4%,-2.42%,4.85,11.59,10.12,"Rs 36,440","Rs -42,355",4.85,651
Ghost Zone (GOLD),228,82.0%,"Rs 4,128,881","Rs 4,428,881",1376.3%,63.5%,-0.49%,3.61,54.85,43.16,"Rs 22,603","Rs -2,389",3.61,228
CPR (GOLDM),1152,95.2%,"Rs 478,629,999","Rs 478,929,999",159543.3%,284.8%,-2.56%,2.33,44.3,24.34,"Rs 455,004","Rs -372,900",2.33,1152
Gamma Blast (GOLDM),640,94.8%,"Rs 208,375,344","Rs 208,675,344",69458.4%,230.6%,-1.64%,2.14,20.35,16.19,"Rs 365,887","Rs -415,695",2.14,640
Ghost Zone (GOLDM),273,76.2%,"Rs 43,802,431","Rs 44,102,431",14600.8%,148.9%,-1.50%,1.69,27.7,32.11,"Rs 217,357","Rs -21,658",1.69,273
CPR (SILVER),1069,90.1%,"Rs 842,291,350","Rs 842,591,350",280763.8%,326.7%,-3.47%,0.93,37.1,12.79,"Rs 948,821","Rs -673,804",0.93,1069
Gamma Blast (SILVER),689,92.2%,"Rs 519,812,903","Rs 520,112,903",173271.0%,290.7%,-1.50%,0.76,32.26,10.98,"Rs 900,652","Rs -964,835",0.76,689
Ghost Zone (SILVER),164,86.0%,"Rs 70,245,846","Rs 70,545,846",23415.3%,171.2%,-1.02%,1.14,51.21,52.48,"Rs 507,876","Rs -59,332",1.14,164
CPR (SILVERM),1040,89.4%,"Rs 22,595,369","Rs 22,895,369",7531.8%,120.8%,-3.02%,5.32,15.49,11.91,"Rs 26,523","Rs -18,825",5.32,1040
Gamma Blast (SILVERM),639,91.1%,"Rs 13,602,474","Rs 13,902,474",4534.2%,101.6%,-1.50%,4.25,10.79,9.56,"Rs 26,101","Rs -27,864",4.25,639
Ghost Zone (SILVERM),180,85.6%,"Rs 2,269,889","Rs 2,569,889",756.6%,48.1%,-1.03%,2.96,12.09,53.99,"Rs 15,018","Rs -1,648",2.96,180
CPR (CRUDEOIL),1026,78.8%,"Rs 666,768,540","Rs 667,068,540",222256.2%,308.8%,-2.97%,1.63,32.14,6.99,"Rs 961,711","Rs -512,697",1.63,1026
Gamma Blast (CRUDEOIL),701,94.0%,"Rs 624,121,473","Rs 624,421,473",208040.5%,303.9%,-1.50%,1.7,20.01,12.67,"Rs 1,028,250","Rs -1,273,703",1.7,701
Ghost Zone (CRUDEOIL),136,87.5%,"Rs 108,452,174","Rs 108,752,174",36150.7%,193.5%,-1.67%,1.73,24.97,64.12,"Rs 925,801","Rs -101,069",1.73,136
CPR (NATURALGAS),1028,60.0%,"Rs 3,461,347,355","Rs 3,461,647,355",1153782.5%,452.4%,-4.63%,0.55,120.48,2.41,"Rs 9,601,018","Rs -5,991,437",0.55,1028
Gamma Blast (NATURALGAS),724,94.6%,"Rs 7,175,061,130","Rs 7,175,361,130",2391687.0%,531.1%,-2.64%,0.49,132.11,13.2,"Rs 11,333,433","Rs -15,085,644",0.49,724
Ghost Zone (NATURALGAS),109,86.2%,"Rs 921,632,783","Rs 921,932,783",307210.9%,333.7%,-1.18%,0.51,257.69,70.11,"Rs 9,946,481","Rs -889,097",0.51,109
CPR (COPPER),1081,92.3%,"Rs 42,470,533,456","Rs 42,470,833,456",14156844.5%,773.3%,-1.53%,0.46,590.55,22.78,"Rs 44,509,112","Rs -23,488,678",0.46,1081
Gamma Blast (COPPER),648,93.8%,"Rs 19,245,673,701","Rs 19,245,973,701",6415224.6%,655.7%,-2.98%,0.49,226.36,11.02,"Rs 34,811,660","Rs -47,995,395",0.49,648
Ghost Zone (COPPER),239,82.8%,"Rs 5,091,861,670","Rs 5,092,161,670",1697287.2%,492.7%,-2.88%,0.46,297.26,52.19,"Rs 26,218,873","Rs -2,426,224",0.46,239
