Strategy,Symbol,Trades,Win Rate %,Total PnL,Return %,Annual Return %,Max DD %,Sharpe,Sortino,Profit Factor,Calmar,Avg Win,Avg Loss
Survivor (Raahi Bhushan),NIFTY50,664,79.1,"2,483,402",827.8,56.3,-4.2,3.31,3.47,12.66,13.50,"5,136","-1,532"
Wave Extractor (Raahi Bhushan),NIFTY50,1959,42.9,"-452,357",-150.8,0.0,-153.5,0.12,0.10,0.62,0.00,881,"-1,066"
PCR+VWAP (CA Nitin Muraka),NIFTY50,449,98.0,"530,629",176.9,23.7,-0.0,7.85,189.72,1138.19,1080.83,"1,207",-52
Ghost Trade Zone (GTZ),NIFTY50,34,97.1,"60,856",20.3,3.9,-0.0,-1.15,0.00,758.65,170.34,"1,847",-80
CPR (Gomathi Shankar),NIFTY50,590,70.8,"129,952",43.3,7.5,-2.1,0.50,0.62,1.74,3.53,733,"-1,026"
Survivor (Raahi Bhushan),BANKNIFTY,1820,91.8,"23,359,943",7786.6,140.1,-4.0,5.13,9.66,69.03,35.34,"14,185","-2,304"
Wave Extractor (Raahi Bhushan),BANKNIFTY,2055,46.6,"-364,044",-121.3,0.0,-123.0,-0.52,-0.33,0.80,0.00,"1,569","-1,699"
PCR+VWAP (CA Nitin Muraka),BANKNIFTY,409,99.8,"708,162",236.1,28.9,-0.0,7.90,0.00,16274.31,3928.45,"1,736",-44
Ghost Trade Zone (GTZ),BANKNIFTY,100,99.0,"246,633",82.2,13.2,-0.0,2.01,0.00,9878.54,2642.72,"2,491",-25
CPR (Gomathi Shankar),BANKNIFTY,557,66.2,"189,331",63.1,10.3,-5.5,0.92,1.07,1.68,1.89,"1,270","-1,485"
Survivor (Raahi Bhushan),SENSEX,2038,93.9,"27,680,381",9226.8,148.4,-4.2,6.55,7.32,143.91,35.38,"14,563","-1,562"
Wave Extractor (Raahi Bhushan),SENSEX,2020,43.5,"-541,460",-180.5,0.0,-181.2,-0.54,-0.39,0.66,0.00,"1,212","-1,406"
PCR+VWAP (CA Nitin Muraka),SENSEX,431,98.8,"697,915",232.6,28.6,-0.0,7.99,460.51,5475.81,3661.54,"1,639",-25
Ghost Trade Zone (GTZ),SENSEX,49,98.0,"102,136",34.0,6.2,-0.0,0.08,0.00,2175.20,501.60,"2,129",-47
CPR (Gomathi Shankar),SENSEX,553,71.6,"187,797",62.6,10.2,-2.5,1.18,1.68,1.86,4.14,"1,027","-1,393"
