Strategy,Symbol,Trades,Win Rate %,Total PnL,Return %,Annual Return %,Max DD %,Sharpe,Sortino,Profit Factor,Calmar,Avg Win,Avg Loss
Survivor (Raahi Bhushan),NIFTY50,642,85.7,"1,986,754",5960.3,130.2,-32.0,2.41,0.86,4.87,4.06,"4,547","-5,586"
Wave Extractor (Raahi Bhushan),NIFTY50,1968,48.5,"-1,778,010",-110.0,0.0,-107.9,-0.82,-0.56,0.47,0.00,"1,638","-3,299"
PCR+VWAP (CA Nitin Muraka),NIFTY50,0,0.0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,0
Ghost Trade Zone (GTZ),NIFTY50,22,100.0,"182,738",548.2,46.7,0.0,0.99,0.00,inf,0.00,"8,306",0
CPR (Gomathi Shankar),NIFTY50,434,65.9,"-32,410",-97.2,-51.7,-97.6,0.07,0.05,0.90,-0.53,"1,049","-2,246"
Gamma Blast (All Days),NIFTY50,784,91.3,"3,335,841",10007.6,156.5,-1.8,4.14,14.87,24.14,85.20,"4,860","-2,120"
ORB Breakout,NIFTY50,0,0.0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,0
Supertrend,NIFTY50,35,40.0,"105,603",316.8,34.2,-83.6,0.55,0.41,1.71,0.41,"18,191","-7,099"
MACD Momentum,NIFTY50,61,36.1,"-35,705",-34.3,-8.3,-106.6,0.39,0.87,0.89,-0.08,"12,896","-8,190"
Survivor (Raahi Bhushan),BANKNIFTY,1976,94.0,"11,061,532",33184.9,225.4,-58.4,1.36,1.11,15.93,3.86,"6,352","-6,280"
Wave Extractor (Raahi Bhushan),BANKNIFTY,2064,51.7,"-1,512,127",-110.0,0.0,-108.2,0.34,0.97,0.61,0.00,"2,262","-3,937"
PCR+VWAP (CA Nitin Muraka),BANKNIFTY,0,0.0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,0
Ghost Trade Zone (GTZ),BANKNIFTY,24,100.0,"298,673",896.0,60.2,0.0,1.26,0.00,inf,0.00,"12,445",0
CPR (Gomathi Shankar),BANKNIFTY,81,56.8,"-33,547",-100.6,0.0,-100.6,-0.45,-0.14,0.65,0.00,"1,359","-2,745"
Gamma Blast (All Days),BANKNIFTY,763,89.9,"4,702,853",14108.7,174.9,-0.9,3.25,36.45,21.74,186.42,"7,186","-2,945"
ORB Breakout,BANKNIFTY,0,0.0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,0
Supertrend,BANKNIFTY,32,31.2,"-12,753",258.6,30.1,-110.0,-0.42,-0.06,0.95,0.27,"22,712","-10,903"
MACD Momentum,BANKNIFTY,61,39.3,"143,083",451.3,42.3,-110.0,-0.55,-0.10,1.49,0.38,"18,106","-7,877"
Survivor (Raahi Bhushan),SENSEX,1978,96.1,"14,492,791",43478.8,243.7,-33.7,2.32,1.07,50.16,7.23,"7,779","-3,828"
Wave Extractor (Raahi Bhushan),SENSEX,2026,48.2,"-1,893,272",-110.0,0.0,-107.4,-1.45,-1.21,0.48,0.00,"1,758","-3,437"
PCR+VWAP (CA Nitin Muraka),SENSEX,0,0.0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,0
Ghost Trade Zone (GTZ),SENSEX,21,100.0,"157,554",472.7,43.0,0.0,1.53,0.00,inf,0.00,"7,503",0
CPR (Gomathi Shankar),SENSEX,125,60.8,"-33,969",-101.9,0.0,-101.7,-0.38,-0.12,0.70,0.00,"1,022","-2,278"
Gamma Blast (All Days),SENSEX,783,92.3,"4,152,296",12457.0,168.1,-1.6,4.00,20.50,32.43,102.80,"5,926","-2,202"
ORB Breakout,SENSEX,0,0.0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,0
Supertrend,SENSEX,35,48.6,"106,749",320.2,34.4,-83.5,0.60,0.36,1.68,0.41,"15,495","-8,704"
MACD Momentum,SENSEX,61,41.0,"2,074",6.2,1.3,-101.8,-0.44,-0.08,1.01,0.01,"12,264","-8,459"
