Strategy,Trades,Win Rate,Total PnL,Final Capital,Return,Ann Return,Max DD,Sharpe,Sortino,Calmar,Profit Factor,Avg Win,Avg Loss,Sharpe_num,Trades_num
Survivor V2 (BANKNIFTY),1049,42.0%,"Rs 6,547","Rs 306,547",2.2%,0.4%,-13.92%,-1.08,-1.27,0.03,1.02,Rs 998,Rs -713,-1.08,1049
PCR+VWAP V2 (BANKNIFTY),39,82.1%,"Rs 87,330","Rs 387,330",29.1%,4.8%,-1.82%,-0.67,-0.3,2.63,8.37,"Rs 3,099","Rs -1,693",-0.67,39
Gamma Blast (BANKNIFTY),187,89.8%,"Rs 206,583","Rs 506,583",68.9%,10.1%,-0.62%,1.32,1.79,16.31,7.07,"Rs 1,432","Rs -1,790",1.32,187
Ghost Zone (BANKNIFTY),138,81.9%,"Rs 184,913","Rs 484,913",61.6%,9.2%,-0.19%,0.99,4.92,48.97,33.14,"Rs 1,687",Rs -230,0.99,138
CPR (BANKNIFTY),1058,93.7%,"Rs 2,329,572","Rs 2,629,572",776.5%,48.7%,-1.78%,8.71,7.69,27.43,28.12,"Rs 2,437","Rs -1,282",8.71,1058
Survivor V2 (NIFTY50),610,36.4%,"Rs -16,726","Rs 283,274",-5.6%,-1.0%,-8.61%,-2.73,-2.58,-0.12,0.9,Rs 648,Rs -414,-2.73,610
PCR+VWAP V2 (NIFTY50),21,71.4%,"Rs 25,389","Rs 325,389",8.5%,1.5%,-1.29%,-3.47,-2.12,1.16,4.28,"Rs 2,208","Rs -1,288",-3.47,21
Gamma Blast (NIFTY50),198,94.4%,"Rs 151,377","Rs 451,377",50.5%,7.8%,-0.59%,0.7,0.59,13.22,11.65,Rs 886,"Rs -1,292",0.7,198
Ghost Zone (NIFTY50),148,80.4%,"Rs 100,716","Rs 400,716",33.6%,5.4%,-0.12%,-0.75,-5.3,43.57,24.34,Rs 883,Rs -149,-0.75,148
CPR (NIFTY50),1087,96.9%,"Rs 1,653,703","Rs 1,953,703",551.2%,40.9%,-0.66%,11.99,15.17,61.83,60.46,"Rs 1,597",Rs -818,11.99,1087
Survivor V2 (SENSEX),1192,41.4%,"Rs -5,921","Rs 294,079",-2.0%,-0.4%,-11.57%,-1.31,-1.57,-0.03,0.99,Rs 795,Rs -569,-1.31,1192
PCR+VWAP V2 (SENSEX),22,68.2%,"Rs 27,650","Rs 327,650",9.2%,1.6%,-2.72%,-2.66,-0.67,0.6,3.12,"Rs 2,712","Rs -1,861",-2.66,22
Gamma Blast (SENSEX),194,92.8%,"Rs 200,373","Rs 500,373",66.8%,9.8%,-0.94%,1.43,1.53,10.47,9.24,"Rs 1,248","Rs -1,737",1.43,194
Ghost Zone (SENSEX),144,79.2%,"Rs 130,311","Rs 430,311",43.4%,6.8%,-0.17%,0.16,0.7,40.32,22.42,"Rs 1,196",Rs -203,0.16,144
CPR (SENSEX),1095,96.9%,"Rs 2,213,205","Rs 2,513,205",737.7%,47.5%,-0.79%,11.5,12.89,60.43,59.82,"Rs 2,121","Rs -1,107",11.5,1095
