date,time,symbol,type,strike,entry_premium,exit_premium,spot_entry,vwap,pcr,tolerance,has_oi,exit_reason,gross_pnl,costs,net_pnl,version
2025-09-15,10:05,NIFTY,BUY_PE,25050,126.12,138.46,25098.39,25098.39,0.78,0.3,True,EOD,750.41,75.89,674.51,Intraday
2025-09-15,10:10,NIFTY,BUY_PE,25100,149.81,163.0,25097.08,25097.08,0.97,0.3,True,EOD,796.29,81.28,715.01,Intraday
2025-09-16,10:00,NIFTY,BUY_CE,25150,132.24,194.45,25128.27,25128.27,3.341,0.3,True,EOD,3979.87,77.28,3902.58,Intraday
2025-09-16,11:10,NIFTY,BUY_CE,25150,139.21,196.38,25142.18,25142.18,1.118,0.3,True,EOD,3651.03,78.87,3572.16,Intraday
2025-09-17,10:20,NIFTY,BUY_CE,25350,99.02,106.7,25313.57,25313.57,1.696,0.3,True,EOD,459.38,69.73,389.65,Intraday
2025-09-17,10:40,NIFTY,BUY_PE,25300,100.69,93.45,25314.56,25314.56,0.88,0.3,True,EOD,-508.37,70.11,-578.47,Intraday
2025-09-18,10:10,NIFTY,BUY_PE,25400,68.73,67.58,25418.22,25418.22,0.197,0.3,True,EOD,-101.22,62.84,-164.05,Intraday
2025-09-18,11:00,NIFTY,BUY_CE,25450,67.16,67.91,25419.07,25419.07,5.265,0.3,True,EOD,22.62,62.48,-39.86,Intraday
2025-09-19,09:55,NIFTY,BUY_PE,25300,52.14,54.03,25357.54,25357.54,0.278,0.3,True,EOD,102.53,59.06,43.47,Intraday
2025-09-19,10:20,NIFTY,BUY_PE,25350,78.13,75.92,25348.03,25348.03,0.629,0.3,True,EOD,-173.49,64.97,-238.46,Intraday
2025-09-22,11:15,NIFTY,BUY_PE,25300,151.82,197.82,25295.36,25295.36,0.558,0.3,True,EOD,2922.1,81.74,2840.36,Intraday
2025-09-22,11:20,NIFTY,BUY_PE,25300,152.08,197.88,25294.82,25294.82,0.145,0.3,True,EOD,2908.42,81.8,2826.62,Intraday
2025-09-23,11:10,NIFTY,BUY_PE,25100,105.19,91.9,25154.07,25154.07,0.195,0.3,True,EOD,-902.76,71.13,-973.89,Intraday
2025-09-23,11:20,NIFTY,BUY_PE,25100,106.5,91.78,25150.96,25150.96,0.457,0.3,True,EOD,-995.7,71.43,-1067.12,Intraday
2025-09-24,10:15,NIFTY,BUY_CE,25100,108.72,96.19,25086.2,25086.2,4.634,0.3,True,EOD,-854.47,71.93,-926.41,Intraday
2025-09-24,10:40,NIFTY,BUY_PE,25100,112.8,126.29,25087.75,25087.75,0.301,0.3,True,EOD,830.29,72.86,757.43,Intraday
2025-09-25,10:35,NIFTY,BUY_PE,25000,54.17,108.34,25049.92,25049.92,0.675,0.3,True,TARGET,3489.52,59.52,3429.99,Intraday
2025-09-25,11:40,NIFTY,BUY_PE,25000,58.66,117.32,25038.71,25038.71,0.242,0.3,True,TARGET,3778.71,60.55,3718.16,Intraday
2025-09-26,11:10,NIFTY,BUY_PE,24750,54.56,109.12,24797.05,24797.05,0.651,0.3,True,TARGET,3514.56,59.61,3454.95,Intraday
2025-09-26,11:15,NIFTY,BUY_PE,24750,54.96,109.92,24796.04,24796.04,0.303,0.3,True,TARGET,3540.28,59.7,3480.57,Intraday
2025-09-29,10:15,NIFTY,BUY_CE,24800,128.84,106.91,24726.71,24726.71,2.708,0.3,True,EOD,-1471.81,76.51,-1548.32,Intraday
2025-09-29,10:50,NIFTY,BUY_PE,24750,152.71,181.91,24736.86,24736.86,0.156,0.3,True,EOD,1832.61,81.94,1750.66,Intraday
2025-09-30,10:05,NIFTY,BUY_PE,24650,115.04,134.2,24676.12,24676.12,0.989,0.3,True,EOD,1196.92,73.37,1123.55,Intraday
2025-09-30,10:25,NIFTY,BUY_PE,24600,96.36,110.7,24669.44,24669.44,0.471,0.3,True,EOD,891.37,69.12,822.25,Intraday
2025-10-01,10:00,NIFTY,BUY_PE,24650,102.08,40.83,24655.73,24655.73,0.789,0.301,True,SL,-4009.12,70.42,-4079.55,Intraday
2025-10-01,10:20,NIFTY,BUY_CE,24650,116.08,219.76,24654.76,24654.76,1.257,0.301,True,EOD,6673.55,73.61,6599.94,Intraday
2025-10-03,10:40,NIFTY,BUY_PE,24800,77.67,31.07,24795.57,24795.57,0.45,0.323,True,SL,-3050.5,64.87,-3115.37,Intraday
2025-10-03,11:05,NIFTY,BUY_CE,24800,77.59,127.5,24795.43,24795.43,1.563,0.323,True,EOD,3204.08,64.85,3139.22,Intraday
2025-10-06,10:10,NIFTY,BUY_CE,24950,156.31,226.82,24932.48,24932.48,3.126,0.328,True,EOD,4508.36,82.76,4425.6,Intraday
2025-10-06,10:30,NIFTY,BUY_CE,25000,135.78,197.06,24939.15,24939.15,6.36,0.328,True,EOD,3918.43,78.09,3840.34,Intraday
2025-10-07,10:00,NIFTY,BUY_CE,25200,56.84,48.58,25133.57,25133.57,513.0,0.343,True,EOD,-558.01,60.13,-618.14,Intraday
2025-10-07,11:15,NIFTY,BUY_PE,25150,73.55,91.47,25150.92,25150.92,0.142,0.344,True,EOD,1132.57,63.93,1068.63,Intraday
2025-10-08,10:05,NIFTY,BUY_CE,25150,73.11,29.25,25156.33,25156.33,1.206,0.337,True,SL,-2871.42,63.83,-2935.25,Intraday
2025-10-08,10:20,NIFTY,BUY_PE,25100,38.63,77.27,25153.41,25153.41,0.525,0.338,True,TARGET,2488.63,55.99,2432.64,Intraday
2025-10-09,10:15,NIFTY,BUY_PE,25050,34.55,13.82,25070.59,25070.59,0.708,0.355,True,SL,-1357.03,55.06,-1412.09,Intraday
2025-10-09,10:20,NIFTY,BUY_CE,25050,59.3,118.6,25070.07,25070.07,1.704,0.354,True,TARGET,3819.74,60.69,3759.04,Intraday
2025-10-10,10:05,NIFTY,BUY_CE,25250,45.76,63.79,25241.13,25241.13,1.221,0.36,True,EOD,1150.58,57.61,1092.97,Intraday
2025-10-10,10:15,NIFTY,BUY_CE,25300,27.26,54.51,25246.08,25246.08,1.173,0.359,True,TARGET,1755.71,53.4,1702.31,Intraday
2025-10-13,10:25,NIFTY,BUY_CE,25200,104.23,124.75,25198.35,25198.35,1.353,0.365,True,EOD,1289.31,70.91,1218.39,Intraday
2025-10-13,11:15,NIFTY,BUY_PE,25200,87.77,69.68,25198.7,25198.7,0.413,0.365,True,EOD,-1206.41,67.17,-1273.58,Intraday
2025-10-14,10:00,NIFTY,BUY_PE,25200,53.68,107.35,25254.19,25254.19,0.001,0.356,True,TARGET,3457.5,59.41,3398.09,Intraday
2025-10-14,10:15,NIFTY,BUY_PE,25200,58.16,116.31,25242.46,25242.46,0.321,0.356,True,TARGET,3746.08,60.43,3685.65,Intraday
2025-10-15,10:10,NIFTY,BUY_CE,25250,59.48,118.95,25228.46,25228.46,2.015,0.365,True,TARGET,3831.23,60.73,3770.5,Intraday
2025-10-15,10:20,NIFTY,BUY_CE,25250,61.3,122.6,25232.29,25232.29,6.429,0.365,True,TARGET,3948.49,61.15,3887.34,Intraday
2025-10-16,09:55,NIFTY,BUY_CE,25450,39.04,78.08,25422.44,25422.44,1.403,0.374,True,TARGET,2514.7,56.08,2458.61,Intraday
2025-10-16,10:15,NIFTY,BUY_CE,25450,40.16,80.32,25425.04,25425.04,1.305,0.374,True,TARGET,2587.06,56.34,2530.72,Intraday
2025-10-17,10:05,NIFTY,BUY_CE,25650,30.62,61.24,25590.65,25590.65,3.062,0.376,True,TARGET,1972.53,54.17,1918.36,Intraday
2025-10-17,10:35,NIFTY,BUY_CE,25700,21.29,42.57,25609.39,25609.39,3.419,0.375,True,TARGET,1371.08,52.04,1319.04,Intraday
2025-10-20,09:55,NIFTY,BUY_PE,25800,76.49,78.25,25855.18,25855.18,0.229,0.378,True,EOD,83.98,64.6,19.37,Intraday
2025-10-20,10:00,NIFTY,BUY_PE,25850,99.37,100.16,25852.39,25852.39,0.549,0.378,True,EOD,12.43,69.81,-57.38,Intraday
2025-10-23,10:45,NIFTY,BUY_PE,26050,47.42,94.84,26058.34,26058.34,0.281,0.393,True,TARGET,3054.61,57.99,2996.62,Intraday
2025-10-23,11:05,NIFTY,BUY_PE,26050,47.45,94.91,26058.26,26058.26,0.196,0.393,True,TARGET,3056.78,58.0,2998.79,Intraday
2025-10-24,10:10,NIFTY,BUY_PE,25900,57.12,114.24,25884.24,25884.24,0.574,0.393,True,TARGET,3679.52,60.2,3619.32,Intraday
2025-10-24,10:15,NIFTY,BUY_PE,25850,35.45,70.89,25881.02,25881.02,0.469,0.394,True,TARGET,2283.3,55.26,2228.03,Intraday
