signal_time,exit_time,strategy,symbol,signal_type,strike,entry_premium,exit_premium,target,sl,entry_spot,exit_spot,exit_reason,pnl,lot_size,hold_bars,hold_minutes,iv,dte
2026-02-16 06:01:45.949004,2026-02-16 14:45:00,CPR,BANKNIFTY,BUY_PE_CPR,60200.0,434.79,161.49,608.7,173.92,60186.65,60898.9,SL_HIT,-8298.81,30,67,330,0.1788,4
2026-02-16 06:01:45.949004,2026-02-17 10:15:00,CPR,NIFTY,BUY_PE_CPR,25450.0,171.91,66.69,240.68,68.77,25471.1,25690.7,SL_HIT,-8082.13,75,88,1500,0.1796,4
2026-02-16 06:01:45.949004,2026-02-17 10:05:00,CPR,SENSEX,BUY_PE_CPR,82600.0,565.96,225.98,792.35,226.38,82626.76,83316.6,SL_HIT,-6879.57,20,86,1490,0.1762,4
2026-02-16 12:24:08.808020,2026-02-17 15:20:00,CPR,BANKNIFTY,BUY_CE_CPR,60550.0,466.98,789.57,840.56,186.79,60529.8,61180.65,EOD_EXIT,9577.89,30,111,1615,0.1802,4
2026-02-16 12:24:08.808020,2026-02-17 15:20:00,CPR,NIFTY,BUY_CE_CPR,25550.0,204.99,268.79,368.98,81.99,25556.8,25724.55,EOD_EXIT,4595.27,75,111,1615,0.1802,4
2026-02-16 12:24:08.808020,2026-02-17 15:20:00,CPR,SENSEX,BUY_CE_CPR,82900.0,630.74,856.59,1135.34,252.3,82878.71,83456.41,EOD_EXIT,4436.94,20,111,1615,0.1768,4
2026-02-18 09:34:37.710830,2026-02-19 12:00:00,CPR,NIFTY,BUY_CE_CPR,25750.0,133.1,53.21,239.59,53.24,25726.6,25652.1,SL_HIT,-6182.07,75,105,1585,0.1844,2
2026-02-18 09:34:37.710830,2026-02-19 12:05:00,CPR,SENSEX,BUY_CE_CPR,83400.0,480.22,180.03,864.4,192.09,83437.64,83121.26,SL_HIT,-6083.95,20,106,1590,0.181,2
2026-02-18 09:34:37.710830,2026-02-19 12:40:00,CPR,BANKNIFTY,BUY_CE_CPR,61200.0,362.24,140.13,652.03,144.9,61210.95,60994.3,SL_HIT,-6763.28,30,113,1625,0.1913,2
2026-02-20 10:04:29.474611,2026-02-20 12:20:00,CPR,SENSEX,BUY_PE_CPR,82600.0,289.0,104.88,404.6,115.6,82615.68,83083.16,SL_HIT,-3762.35,20,28,135,0.1762,1
2026-02-20 10:04:29.474611,2026-02-20 10:40:00,CPR,NIFTY,BUY_CE_CPR,25500.0,100.66,150.61,140.92,40.26,25505.25,25596.65,TARGET_HIT,3556.29,75,8,35,0.1797,1
2026-02-20 10:04:29.474611,2026-02-23 10:45:00,CPR,BANKNIFTY,BUY_CE_CPR,61050.0,244.99,88.99,440.99,98.0,61050.6,61140.8,SL_HIT,-4780.19,30,84,4360,0.1877,1
2026-02-20 10:10:37.013986,2026-02-20 12:15:00,CPR,NIFTY,BUY_PE_CPR,25500.0,105.94,37.76,190.69,42.37,25475.4,25634.9,SL_HIT,-5303.15,75,25,120,0.1796,1
2026-02-20 10:22:27.626260,2026-02-20 12:15:00,CPR,SENSEX,BUY_CE_CPR,82700.0,324.21,486.24,453.9,129.68,82723.84,83029.52,TARGET_HIT,3160.58,20,23,110,0.1763,1
2026-02-20 12:37:48.803560,2026-02-20 12:40:00,CPR,BANKNIFTY,BUY_PE_CPR,60200.0,226.08,7.23,316.51,90.43,60186.65,61233.55,SL_HIT,-6665.45,30,1,0,0.1788,1
2026-02-23 09:22:32.292836,2026-02-24 09:30:00,CPR,SENSEX,BUY_CE_CPR,83300.0,677.43,265.72,1219.38,270.97,83340.95,82591.34,SL_HIT,-8314.29,20,77,1445,0.18,4
2026-02-23 09:22:32.292836,2026-02-24 15:20:00,CPR,BANKNIFTY,BUY_CE_CPR,61350.0,527.47,286.02,949.44,210.99,61362.3,61049.7,EOD_EXIT,-7343.33,30,147,1795,0.1948,4
2026-02-23 09:22:32.292836,2026-02-24 15:20:00,CPR,NIFTY,BUY_PE_CPR,25450.0,176.93,157.47,247.7,70.77,25471.1,25441.1,EOD_EXIT,-1649.03,75,147,1795,0.1843,4
2026-02-23 09:28:27.399764,2026-02-24 09:30:00,CPR,NIFTY,BUY_CE_CPR,25750.0,209.4,81.32,376.91,83.76,25751.7,25513.9,SL_HIT,-9795.44,75,76,1440,0.1853,4
