signal_time,exit_time,strategy,symbol,signal_type,strike,entry_premium,exit_premium,target,sl,entry_spot,exit_spot,exit_reason,pnl,lot_size,hold_bars,hold_minutes,iv,dte
2026-02-16 06:01:45.949004,2026-02-16 11:00:00,Ghost Zone,BANKNIFTY,BUY_CE_GTZ,60200.0,464.3,606.6,603.6,185.72,60186.65,60468.95,TARGET_HIT,4168.88,30,22,105,0.1788,4
2026-02-16 06:01:45.949004,2026-02-16 14:25:00,Ghost Zone,NIFTY,BUY_CE_GTZ,25450.0,211.14,288.93,274.48,84.45,25471.1,25620.4,TARGET_HIT,5644.73,75,63,310,0.1796,4
2026-02-16 06:01:45.949004,2026-02-16 14:25:00,Ghost Zone,SENSEX,BUY_CE_GTZ,82600.0,651.54,891.6,847.0,260.62,82626.76,83097.06,TARGET_HIT,4721.21,20,63,310,0.1762,4
2026-02-18 09:34:37.710830,2026-02-19 12:05:00,Ghost Zone,SENSEX,BUY_CE_GTZ,83400.0,480.22,180.03,624.29,192.09,83437.64,83121.26,SL_HIT,-6083.95,20,106,1590,0.181,2
2026-02-18 09:34:37.710830,2026-02-18 15:05:00,Ghost Zone,NIFTY,BUY_CE_GTZ,25750.0,133.1,174.64,173.03,53.24,25726.6,25825.7,TARGET_HIT,2925.6,75,67,330,0.1844,2
2026-02-18 14:22:43.599576,2026-02-19 12:10:00,Ghost Zone,BANKNIFTY,BUY_PE_GTZ,61450.0,344.68,478.41,448.08,137.87,61455.95,61069.8,TARGET_HIT,3912.04,30,49,1305,0.1975,2
2026-02-20 10:04:29.474611,2026-02-20 10:30:00,Ghost Zone,NIFTY,BUY_CE_GTZ,25500.0,100.66,134.59,130.86,40.26,25505.25,25570.85,TARGET_HIT,2355.14,75,6,25,0.1797,1
2026-02-20 10:04:29.474611,2026-02-20 10:30:00,Ghost Zone,SENSEX,BUY_CE_GTZ,82600.0,319.39,432.99,415.21,127.76,82615.68,82833.62,TARGET_HIT,2192.0,20,6,25,0.1762,1
2026-02-20 12:37:48.803560,2026-02-20 12:40:00,Ghost Zone,BANKNIFTY,BUY_CE_GTZ,60200.0,223.45,1030.61,290.48,89.38,60186.65,61233.55,TARGET_HIT,24114.99,30,1,0,0.1788,1
2026-02-23 09:22:32.292836,2026-02-24 09:30:00,Ghost Zone,SENSEX,BUY_CE_GTZ,83300.0,677.43,265.72,880.66,270.97,83340.95,82591.34,SL_HIT,-8314.29,20,77,1445,0.18,4
2026-02-23 09:22:32.292836,2026-02-23 09:25:00,Ghost Zone,NIFTY,BUY_CE_GTZ,25450.0,216.15,394.28,280.99,86.46,25471.1,25759.05,TARGET_HIT,13169.77,75,1,0,0.1843,4
2026-02-23 09:28:27.399764,2026-02-23 10:45:00,Ghost Zone,BANKNIFTY,BUY_PE_GTZ,61450.0,478.79,634.22,622.43,191.52,61465.05,61140.8,TARGET_HIT,4562.99,30,16,75,0.1979,4
