date,type,strike,spot_entry,spot_exit,entry_prem,exit_prem,pnl
2021-11-23,BUY_CE,57600,57590.08,58090.08,510.2497911701503,761.7179909025072,4537.691341391962
2021-11-29,BUY_CE,56600,56634.065,57134.065,731.9628989737794,967.409737643633,4039.8350107308115
2022-09-21,BUY_PE,59900,59942.884999999995,59442.884999999995,368.27664926065336,615.2229422114688,4560.968030195534
2022-10-14,BUY_PE,58600,58562.634999999995,57919.97,263.4568757878187,686.220027489464,8160.107942667874
2022-12-13,BUY_CE,62000,62006.375,62533.3,396.88230494801246,696.9677643272516,5600.8041770084255
2022-12-30,BUY_PE,61500,61472.42,60840.74,213.15949013407953,659.8815935721141,8679.804145548844
2023-02-01,BUY_PE,60500,60490.285,59708.08,425.97954918197865,886.1810363282202,8778.073669691723
2023-04-17,BUY_CE,59400,59420.76,59910.75,480.82054329517996,746.3962848513838,4843.559953317566
2023-05-10,BUY_CE,61500,61510.14,61940.2,285.1297839106155,536.2221715316628,4710.947248191734
2023-05-22,BUY_CE,61500,61510.14,61963.68,461.2338861285898,702.3966651617302,4371.319104387337
2023-11-17,BUY_PE,66200,66158.685,65658.685,160.47667654616816,539.3508065281057,7366.078223708791
2024-01-24,BUY_CE,70400,70439.55,70939.55,521.6941806514733,772.9070032790187,4524.061794036384
2024-03-06,BUY_CE,73200,73205.175,74085.99,386.23037002343335,966.3338441856904,11208.272330758255
2024-05-16,BUY_CE,72500,72513.315,73663.72,341.2997154287805,1185.249038854774,16519.600799564614
2024-06-04,BUY_CE,71400,71374.215,71874.215,848.9813137399178,1050.5207948177558,3268.802438170095
2024-06-05,BUY_CE,72400,72364.785,74382.24,727.6197056224337,2095.302979389693,26680.418126551096
2025-06-18,BUY_PE,82100,82092.1,81592.1,423.0892021419131,672.5739786150516,4568.787879726397
2025-07-29,BUY_CE,80800,80796.635,81296.635,462.5959022990355,727.1422137406189,4838.374156379137
2025-08-21,BUY_PE,82400,82415.73000000001,82000.71,240.88701780475094,458.7628353474647,4082.792460937615
2025-11-11,BUY_CE,83200,83203.41500000001,83871.32,479.19786822787864,864.9409771686551,7248.292934298058
2025-12-05,BUY_CE,85100,85061.16,85712.37,159.34775575617095,618.1280016569217,8965.06439918817
