date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte,cpr_width
2020-09-28,BUY_CE_CPR,535,533.2,8.6,15.49,42998695.34,0.477,22.0,15,0.113
2020-09-30,BUY_PE_CPR,530,529.35,8.92,16.06,44590354.86,-0.503,21.6,13,0.019
2020-10-01,BUY_PE_CPR,495,496.6,13.03,23.45,65113234.21,-0.467,35.7,14,0.094
2020-10-05,SELL_CE_CPR,515,509.8,9.8,7.84,12221842.74,0.444,36.2,10,1.85
2020-10-06,BUY_CE_CPR,515,512.65,10.51,18.91,52512660.87,0.479,36.2,9,0.179
2020-10-07,BUY_CE_CPR,520,522.05,12.42,22.35,62062239.04,0.539,37.0,8,0.125
2020-10-09,BUY_CE_CPR,530,528.1,8.98,16.16,44859637.61,0.478,36.6,6,0.262
2020-10-12,BUY_PE_CPR,530,527.9,10.05,8.54,-3246586.65,-0.528,36.3,5,0.022
2020-10-13,BUY_PE_CPR,525,524.1,9.31,16.76,46547901.89,-0.507,36.2,5,0.197
2020-10-14,BUY_CE_CPR,525,525.05,8.89,16.01,44445828.16,0.509,36.2,5,0.051
2020-10-15,BUY_CE_CPR,530,530.25,9.15,16.47,45739969.94,0.512,36.5,5,0.006
2020-10-19,BUY_CE_CPR,530,529.8,8.86,15.95,44295782.3,0.504,36.3,5,0.113
2020-10-20,BUY_CE_CPR,530,531.8,9.55,17.18,47717610.94,0.541,34.8,5,0.031
2020-10-21,BUY_CE_CPR,540,539.8,8.72,15.7,43582434.83,0.504,35.0,5,0.043
2020-10-22,BUY_PE_CPR,530,529.35,9.24,16.64,46192950.0,-0.503,36.1,5,0.327
2020-10-26,SELL_PE_CPR,535,541.75,6.65,5.37,8021677.0,-0.381,38.4,5,0.871
2020-10-27,BUY_CE_CPR,545,542.85,8.71,15.68,43536783.32,0.473,38.4,5,0.157
2020-10-28,BUY_PE_CPR,540,540.1,16.72,30.09,83560950.39,-0.482,38.5,15,0.019
2020-10-29,BUY_PE_CPR,540,539.7,16.29,13.84,-7750539.67,-0.487,38.4,14,0.145
2020-10-30,BUY_PE_CPR,535,534.15,10.07,18.12,50315237.38,-0.504,24.0,13,0.172
2020-11-02,BUY_PE_CPR,530,527.55,10.22,18.39,51060452.84,-0.534,22.5,13,0.392
2020-11-03,BUY_CE_CPR,530,530.7,8.98,16.16,44864787.67,0.52,22.5,12,0.154
2020-11-04,BUY_PE_CPR,530,528.95,8.3,14.95,41498865.42,-0.513,21.2,11,0.129
2020-11-06,BUY_CE_CPR,535,533.5,6.42,11.56,32104378.36,0.473,21.4,9,0.019
2020-11-09,BUY_CE_CPR,535,534.85,5.78,10.4,28866511.01,0.501,21.4,6,0.271
2020-11-10,BUY_CE_CPR,535,536.05,5.81,4.94,-5456075.51,0.536,21.1,5,0.193
2020-11-12,BUY_CE_CPR,535,535.75,5.58,10.05,27896761.9,0.527,20.8,5,0.124
2020-11-13,BUY_CE_CPR,540,540.85,5.73,10.32,28653498.37,0.53,21.0,5,0.009
2020-11-16,BUY_CE_CPR,545,546.8,6.37,11.47,31839572.15,0.557,21.3,5,0.006
2020-11-17,BUY_PE_CPR,545,543.7,5.88,10.59,29410519.0,-0.534,20.5,5,0.021
2020-11-18,BUY_PE_CPR,545,542.65,5.91,8.27,14759247.76,-0.575,18.3,5,0.117
2020-11-19,BUY_CE_CPR,545,545.0,3.24,5.83,16200919.56,0.503,12.7,5,0.208
2020-11-20,BUY_CE_CPR,560,558.8,3.77,6.79,18843423.74,0.46,16.6,5,0.343
2020-11-23,SELL_PE_CPR,550,550.45,4.46,5.56,-6889304.52,-0.48,18.2,5,0.784
2020-11-26,BUY_CE_CPR,565,563.75,4.35,7.84,21762524.65,0.464,18.8,5,0.148
2020-11-27,BUY_CE_CPR,570,571.0,5.28,9.5,26384175.98,0.537,17.9,5,0.085
2020-11-30,BUY_CE_CPR,580,582.3,9.59,17.25,47912155.12,0.549,19.2,13,0.0
2020-12-02,BUY_CE_CPR,590,589.55,8.02,14.44,40094980.67,0.497,18.6,13,0.057
2020-12-03,BUY_CE_CPR,590,590.7,8.25,14.85,41231984.52,0.52,18.5,12,0.361
2020-12-04,BUY_CE_CPR,595,596.6,8.49,15.28,42427008.78,0.538,18.6,11,0.053
2020-12-07,BUY_PE_CPR,595,594.55,6.89,12.4,34428494.73,-0.504,19.0,8,0.216
2020-12-08,BUY_PE_CPR,590,591.7,5.41,9.74,27036411.38,-0.451,19.1,7,0.223
2020-12-09,BUY_CE_CPR,595,594.65,5.62,10.12,28095087.98,0.495,19.1,6,0.272
2020-12-10,BUY_CE_CPR,605,606.3,6.33,11.4,31653519.73,0.541,20.0,5,0.03
2020-12-11,SELL_PE_CPR,595,601.35,3.2,2.56,3995189.9,-0.327,20.9,5,0.793
2020-12-14,BUY_CE_CPR,600,601.3,6.54,11.76,32664159.54,0.54,20.9,5,0.083
2020-12-15,BUY_PE_CPR,600,601.25,5.13,9.24,25664208.86,-0.46,20.5,5,0.128
2020-12-16,BUY_CE_CPR,605,603.8,5.12,9.22,25595789.29,0.471,20.2,5,0.121
2020-12-17,BUY_CE_CPR,610,610.9,6.27,11.29,31351556.73,0.529,20.4,5,0.063
2020-12-18,BUY_CE_CPR,615,617.0,6.35,11.43,31733092.02,0.564,18.4,5,0.224
2020-12-21,BUY_PE_CPR,610,610.45,4.75,8.56,23762080.22,-0.481,17.5,5,0.232
2020-12-22,BUY_PE_CPR,600,598.95,6.19,11.14,30930590.31,-0.524,20.2,5,0.131
2020-12-28,BUY_CE_CPR,605,606.35,10.01,18.01,50014501.18,0.529,19.1,15,0.181
