date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte,cpr_width
2020-09-28,BUY_CE_CPR,50000,50133.0,751.18,1352.12,60025.1,0.536,16.9,15,0.002
2020-10-01,BUY_CE_CPR,50500,50470.0,653.53,261.41,-3600.25,0.498,17.0,14,0.133
2020-10-05,BUY_PE_CPR,50000,50157.0,491.46,884.63,39255.6,-0.45,17.2,10,0.113
2020-10-06,BUY_CE_CPR,50500,50462.0,518.59,933.45,41424.57,0.493,17.0,9,0.038
2020-10-07,BUY_PE_CPR,50000,50048.0,479.59,863.26,38306.08,-0.479,17.1,8,0.336
2020-10-08,BUY_CE_CPR,50000,50175.0,565.5,1017.89,45176.13,0.563,17.1,7,0.096
2020-10-09,BUY_CE_CPR,51000,50817.0,375.4,675.73,29974.18,0.441,17.7,6,0.018
2020-10-12,BUY_CE_CPR,51000,51107.0,474.35,853.83,37886.84,0.544,17.6,5,0.133
2020-10-13,BUY_PE_CPR,50000,50250.0,319.53,575.15,25505.75,-0.404,18.5,5,0.133
2020-10-15,BUY_CE_CPR,50500,50700.0,549.49,989.07,43895.68,0.575,18.7,5,0.039
2020-10-19,BUY_CE_CPR,50500,50650.0,512.8,923.05,40962.32,0.559,18.4,5,0.113
2020-10-20,BUY_CE_CPR,51000,50912.0,326.02,586.83,26024.81,0.465,15.5,5,0.05
2020-10-21,BUY_CE_CPR,51500,51309.0,289.75,521.55,23124.32,0.423,15.7,5,0.246
2020-10-22,BUY_PE_CPR,51000,50766.0,474.62,854.32,37908.78,-0.603,14.5,5,0.163
2020-10-23,BUY_CE_CPR,51000,50860.0,273.43,492.17,21819.3,0.437,14.3,5,0.132
2020-10-26,BUY_CE_CPR,51000,50930.0,299.87,539.76,23933.55,0.47,14.0,5,0.014
2020-10-27,BUY_CE_CPR,51000,50928.0,288.3,518.94,23008.28,0.467,13.6,5,0.12
2020-10-28,BUY_PE_CPR,50500,50510.0,533.99,961.18,42656.28,-0.49,13.2,15,0.038
2020-10-29,BUY_PE_CPR,50500,50259.0,645.21,1161.38,51551.09,-0.567,13.1,14,0.19
2020-10-30,BUY_CE_CPR,50500,50699.0,623.27,1121.88,49796.26,0.565,13.6,13,0.111
2020-11-02,BUY_CE_CPR,51000,51025.0,531.95,957.51,42493.57,0.512,13.6,13,0.101
2020-11-03,BUY_CE_CPR,51500,51598.0,573.11,1031.6,45785.28,0.534,14.0,12,0.219
2020-11-05,BUY_CE_CPR,52000,52063.0,638.16,1148.69,50987.06,0.521,17.7,10,0.357
2020-11-09,BUY_PE_CPR,49500,49680.0,585.98,1054.76,46813.93,-0.45,26.5,6,0.12
2020-11-10,SELL_CE_CPR,51500,50501.0,255.0,173.9,8052.61,0.269,26.6,5,1.759
2020-11-11,BUY_PE_CPR,50000,50198.0,527.91,950.24,42170.5,-0.443,26.6,5,0.151
2020-11-12,BUY_CE_CPR,50500,50600.0,682.9,1229.22,54564.79,0.531,26.8,5,0.046
2020-11-13,BUY_CE_CPR,51000,50922.0,600.83,1081.5,48001.88,0.486,26.9,5,0.126
2020-11-16,BUY_PE_CPR,51000,50830.0,725.65,1306.18,57984.04,-0.536,26.8,5,0.014
2020-11-17,BUY_CE_CPR,51000,50774.0,525.27,735.37,20948.23,0.449,26.6,5,0.325
2020-11-18,BUY_PE_CPR,50500,50328.0,712.96,1283.33,56969.13,-0.537,26.5,5,0.122
2020-11-19,BUY_PE_CPR,50000,49995.0,622.91,1121.24,49767.69,-0.495,26.6,5,0.022
2020-11-20,BUY_CE_CPR,50000,50212.0,735.03,1323.06,58734.26,0.56,26.7,5,0.046
2020-11-23,BUY_PE_CPR,49500,49491.0,633.71,1140.68,50631.46,-0.495,27.3,5,0.089
2020-11-26,BUY_PE_CPR,48500,48517.0,616.81,524.29,-9317.28,-0.489,27.6,5,0.185
2020-11-27,BUY_PE_CPR,48000,48106.0,564.65,1016.37,45108.41,-0.466,27.5,5,0.132
2020-11-30,BUY_PE_CPR,48000,47792.0,1072.66,1930.78,85734.28,-0.523,26.8,13,0.164
2020-12-01,BUY_CE_CPR,48000,48010.0,1000.84,1801.52,79991.22,0.511,26.6,14,0.047
2020-12-02,BUY_CE_CPR,49000,48849.0,868.19,1562.74,69382.95,0.483,25.6,13,0.029
2020-12-03,BUY_CE_CPR,49500,49419.0,897.39,1615.3,71717.73,0.495,26.3,12,0.236
2020-12-04,BUY_PE_CPR,49500,49393.0,642.26,1156.07,51314.87,-0.522,17.2,11,0.194
2020-12-07,BUY_CE_CPR,50000,49930.0,448.14,806.65,35791.03,0.481,16.4,8,0.191
2020-12-08,SELL_CE_CPR,50500,50109.0,283.08,88.47,19402.58,0.369,16.3,7,0.616
2020-12-09,BUY_PE_CPR,49500,49260.0,566.32,1019.38,45242.08,-0.582,17.3,6,0.225
2020-12-10,BUY_PE_CPR,49000,49106.0,337.72,607.9,26960.62,-0.452,17.0,5,0.341
2020-12-11,BUY_CE_CPR,49500,49324.0,312.96,563.33,24980.72,0.433,17.1,5,0.151
2020-12-14,BUY_PE_CPR,49000,48939.0,426.43,767.58,34055.15,-0.52,17.3,5,0.228
2020-12-15,BUY_CE_CPR,49500,49462.0,397.75,715.94,31761.01,0.489,18.0,5,0.051
2020-12-16,BUY_CE_CPR,49500,49597.0,462.0,831.59,36899.08,0.541,17.8,5,0.22
2020-12-17,BUY_CE_CPR,50500,50390.0,390.62,703.11,31190.86,0.465,18.8,5,0.071
2020-12-21,BUY_CE_CPR,50500,50416.0,377.06,678.71,30106.8,0.472,17.7,5,0.022
2020-12-22,BUY_PE_CPR,50000,50090.0,331.18,596.13,26437.81,-0.458,16.0,5,0.074
2020-12-23,BUY_CE_CPR,50000,50150.0,453.17,815.7,36193.14,0.567,16.0,5,0.189
2020-12-28,BUY_PE_CPR,50000,50010.0,619.92,1115.85,49528.16,-0.49,15.5,15,0.041
2020-12-29,BUY_PE_CPR,50000,50039.0,568.47,795.85,22674.98,-0.482,15.1,14,0.33
2020-12-30,BUY_CE_CPR,50000,50125.0,630.34,1134.61,50361.61,0.539,15.0,13,0.009
2020-12-31,BUY_CE_CPR,50000,50097.0,540.63,973.13,43187.52,0.535,13.6,12,0.154
2021-01-01,BUY_CE_CPR,50000,50244.0,633.72,1140.7,50632.13,0.58,12.9,14,0.065
2021-01-04,BUY_CE_CPR,51500,51424.0,523.31,941.96,41802.54,0.483,15.8,11,0.052
2021-01-05,SELL_CE_CPR,52000,51720.0,398.11,127.89,26959.5,0.42,15.4,10,0.682
2021-01-06,BUY_PE_CPR,50500,50509.0,580.86,1045.55,46404.76,-0.491,18.5,9,0.222
2021-01-07,SELL_CE_CPR,51500,50904.0,273.64,209.24,6382.76,0.327,17.1,8,0.827
2021-01-08,BUY_PE_CPR,49000,48967.0,659.38,1186.88,52684.04,-0.501,23.8,7,0.069
2021-01-13,BUY_CE_CPR,49500,49305.0,449.1,808.39,35868.04,0.448,23.5,5,0.244
2021-01-14,BUY_PE_CPR,49000,49167.0,457.9,824.22,36571.35,-0.445,23.5,5,0.022
2021-01-15,BUY_PE_CPR,48500,48702.0,418.72,753.7,33438.33,-0.432,22.6,5,0.204
2021-01-18,BUY_CE_CPR,49000,48910.0,476.27,857.28,38040.3,0.477,22.8,5,0.314
2021-01-19,BUY_CE_CPR,49000,48985.0,512.13,921.83,40908.36,0.5,22.7,5,0.148
2021-01-20,BUY_CE_CPR,49500,49578.0,577.49,1039.48,46135.06,0.528,23.3,5,0.108
2021-01-22,BUY_PE_CPR,49000,49140.0,468.04,842.47,37382.29,-0.453,23.4,5,0.13
2021-01-27,BUY_PE_CPR,49000,48837.0,620.0,1116.0,49534.94,-0.542,23.4,5,0.064
2021-01-28,BUY_PE_CPR,48500,48624.0,856.99,1542.57,68486.8,-0.468,23.4,15,0.125
2021-01-29,BUY_CE_CPR,49000,49086.0,955.1,1719.19,76333.41,0.523,23.9,14,0.382
2021-02-01,BUY_PE_CPR,48500,48486.0,922.14,1659.85,73697.07,-0.492,24.2,14,0.005
2021-02-02,BUY_PE_CPR,48000,47857.0,868.3,1562.93,69391.22,-0.519,22.1,13,0.286
2021-02-03,BUY_PE_CPR,47500,47730.0,637.38,892.33,25429.59,-0.442,21.7,12,0.151
2021-02-04,BUY_PE_CPR,47000,46965.0,690.43,1242.78,55167.48,-0.5,20.7,11,0.16
2021-02-05,BUY_CE_CPR,47500,47360.0,582.07,1047.72,46501.29,0.472,20.8,10,0.049
2021-02-08,BUY_CE_CPR,48000,47839.0,322.59,580.66,25750.52,0.44,15.0,7,0.199
2021-02-09,BUY_CE_CPR,48000,47935.0,327.3,589.14,26127.46,0.474,14.6,6,0.396
