date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte,cpr_width
2020-09-25,BUY_PE_CPR,49500,49539.0,343.72,618.7,274831.95,-0.479,15.7,5,0.397
2020-09-28,BUY_CE_CPR,49900,49928.0,663.84,1194.92,530835.27,0.512,16.1,15,0.15
2020-10-01,BUY_CE_CPR,50300,50345.0,700.65,1261.17,560269.46,0.516,17.3,14,0.084
2020-10-05,BUY_CE_CPR,50800,50793.0,588.96,1060.13,470953.06,0.503,17.7,10,0.027
2020-10-07,BUY_PE_CPR,50100,50114.0,512.93,923.27,410144.75,-0.49,17.6,8,0.233
2020-10-08,BUY_CE_CPR,50300,50260.0,470.03,846.06,375842.33,0.491,17.7,7,0.078
2020-10-09,BUY_CE_CPR,50900,50872.0,460.23,828.41,367999.56,0.495,18.2,6,0.046
2020-10-12,BUY_CE_CPR,51200,51166.0,416.65,749.98,333155.96,0.491,18.2,5,0.232
2020-10-13,BUY_PE_CPR,50300,50306.0,444.98,800.97,355810.89,-0.493,19.1,5,0.03
2020-10-15,BUY_CE_CPR,50800,50775.0,446.49,803.69,357018.62,0.495,19.4,5,0.076
2020-10-19,BUY_CE_CPR,50700,50705.0,453.55,816.39,362659.9,0.506,19.1,5,0.116
2020-10-20,BUY_CE_CPR,50900,50937.0,404.61,728.29,323519.55,0.519,16.2,5,0.111
2020-10-21,BUY_CE_CPR,51300,51299.0,393.18,707.72,314380.06,0.503,16.5,5,0.211
2020-10-22,BUY_PE_CPR,50700,50741.0,341.54,614.78,273087.89,-0.478,15.3,5,0.151
2020-10-23,BUY_CE_CPR,50800,50820.0,365.8,658.43,292482.87,0.512,15.0,5,0.185
2020-10-26,BUY_CE_CPR,51000,50953.0,321.2,578.16,256821.39,0.481,14.5,5,0.039
2020-10-27,BUY_CE_CPR,51000,50978.0,327.13,588.83,261558.36,0.493,14.2,5,0.18
2020-10-28,BUY_PE_CPR,50500,50483.0,569.97,1025.95,455764.89,-0.498,13.8,15,0.049
2020-10-29,BUY_PE_CPR,50300,50281.0,539.85,971.74,431678.88,-0.499,13.5,14,0.253
2020-10-30,BUY_CE_CPR,50800,50760.0,516.16,929.08,412728.93,0.492,14.0,13,0.104
2020-11-02,BUY_CE_CPR,51000,51032.0,542.96,977.33,434162.6,0.514,13.7,13,0.354
2020-11-03,BUY_CE_CPR,51500,51509.0,529.73,953.52,423584.73,0.507,14.1,12,0.25
2020-11-05,BUY_CE_CPR,51900,51901.0,574.61,1034.29,459470.89,0.505,16.8,10,0.358
2020-11-09,BUY_PE_CPR,49800,49795.0,648.76,1167.77,518772.87,-0.494,25.4,6,0.076
2020-11-10,SELL_CE_CPR,51400,50521.0,260.7,189.97,70581.79,0.285,25.3,5,1.627
2020-11-11,BUY_PE_CPR,50200,50230.0,576.43,1037.58,460933.62,-0.486,25.2,5,0.154
2020-11-12,BUY_CE_CPR,50600,50610.0,604.82,1088.68,483633.95,0.508,25.4,5,0.086
2020-11-13,BUY_CE_CPR,51000,50956.0,585.23,1053.42,467970.43,0.494,25.5,5,0.063
2020-11-16,BUY_PE_CPR,50900,50870.0,619.98,1115.96,495754.84,-0.501,25.5,5,0.006
2020-11-17,BUY_CE_CPR,50800,50819.0,609.14,852.79,243430.67,0.51,25.3,5,0.325
2020-11-18,BUY_PE_CPR,50400,50394.0,593.89,1069.0,474889.61,-0.495,25.1,5,0.079
2020-11-19,BUY_PE_CPR,50100,50079.0,600.15,1080.26,479894.79,-0.499,25.2,5,0.003
2020-11-20,BUY_CE_CPR,50300,50297.0,591.73,1065.12,473167.62,0.505,25.3,5,0.044
2020-11-23,BUY_PE_CPR,49600,49555.0,622.44,1120.4,497726.31,-0.505,25.9,5,0.067
2020-11-26,BUY_PE_CPR,48500,48528.0,577.41,490.8,-86825.71,-0.486,26.1,5,0.207
2020-11-27,BUY_PE_CPR,48200,48189.0,589.68,1061.43,471528.08,-0.496,26.0,5,0.207
2020-11-30,BUY_PE_CPR,47900,47928.0,902.48,1624.47,721676.84,-0.484,25.5,13,0.136
2020-12-01,BUY_CE_CPR,48700,48727.0,1014.5,1826.1,811260.33,0.513,26.4,14,0.203
2020-12-03,BUY_CE_CPR,49100,49101.0,872.31,1570.16,697550.06,0.508,24.6,12,0.039
2020-12-04,BUY_CE_CPR,49300,49322.0,553.71,996.68,442759.88,0.511,15.9,11,0.007
2020-12-07,SELL_CE_CPR,50400,49923.0,260.76,208.61,52003.85,0.344,15.6,8,0.926
2020-12-08,SELL_CE_CPR,50500,50049.0,240.27,76.36,163770.46,0.341,15.4,7,0.603
2020-12-08,SELL_PE_CPR,49400,50049.0,176.11,252.01,-76014.73,-0.267,15.4,7,0.603
2020-12-09,BUY_PE_CPR,49200,49168.0,434.1,781.38,347106.49,-0.507,16.6,6,0.18
2020-12-11,BUY_CE_CPR,49300,49306.0,380.12,684.21,303935.91,0.506,16.4,5,0.168
2020-12-14,BUY_PE_CPR,48900,48935.0,360.76,649.37,288459.09,-0.481,16.6,5,0.193
2020-12-15,BUY_CE_CPR,49400,49424.0,409.97,737.95,327811.37,0.513,17.3,5,0.059
2020-12-16,BUY_CE_CPR,49500,49544.0,416.36,749.44,332916.47,0.521,17.1,5,0.23
2020-12-17,BUY_CE_CPR,50300,50263.0,403.19,725.75,322389.39,0.49,18.0,5,0.078
