date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte,cpr_width
2020-09-25,BUY_PE_CPR,165,163.6,6.85,12.34,8564728.26,-0.517,80.0,5,0.367
2020-09-28,BUY_CE_CPR,205,205.0,13.21,23.78,16510818.0,0.531,80.0,15,0.374
2020-09-29,BUY_PE_CPR,190,188.3,12.65,22.77,15805009.27,-0.49,80.0,14,0.319
2020-09-30,SELL_PE_CPR,180,186.6,8.02,4.3,5817240.5,-0.376,80.0,13,3.019
2020-10-01,BUY_PE_CPR,185,183.9,12.05,21.68,15051492.67,-0.483,80.0,14,0.399
2020-10-05,BUY_CE_CPR,195,195.0,10.28,18.5,12839514.05,0.525,80.0,10,0.222
2020-10-06,SELL_PE_CPR,185,187.6,8.07,6.46,2518449.33,-0.43,80.0,9,1.208
2020-10-07,SELL_CE_CPR,195,190.5,7.02,11.52,-774072.52,0.445,80.0,8,1.925
2020-10-07,SELL_PE_CPR,180,190.5,4.47,3.07,2190621.05,-0.295,80.0,8,1.925
2020-10-08,BUY_CE_CPR,195,193.8,7.99,14.38,9985137.99,0.499,80.0,7,0.034
2020-10-13,SELL_PE_CPR,210,210.2,7.74,11.45,-888089.39,-0.477,80.0,5,0.856
2020-10-15,BUY_CE_CPR,205,204.0,7.14,12.85,8921933.74,0.497,80.0,5,0.0
2020-10-16,SELL_CE_CPR,210,205.6,5.75,3.1,4137452.81,0.428,80.0,5,0.811
2020-10-19,BUY_PE_CPR,200,201.2,6.9,12.42,8621359.63,-0.456,80.0,5,0.05
2020-10-20,BUY_CE_CPR,215,214.8,7.92,14.25,9893632.42,0.514,80.0,5,0.202
2020-10-22,SELL_PE_CPR,215,223.0,4.79,4.1,1073759.11,-0.331,80.0,5,1.181
2020-10-23,BUY_PE_CPR,220,219.6,8.4,15.12,10498026.29,-0.489,80.0,5,0.167
2020-10-29,BUY_CE_CPR,245,246.6,16.12,29.02,20144029.58,0.546,80.0,14,0.108
2020-10-30,SELL_PE_CPR,240,248.6,10.77,10.84,-116217.01,-0.378,80.0,13,1.207
2020-11-02,SELL_CE_CPR,250,241.9,11.07,11.45,-589944.52,0.442,80.0,13,0.675
2020-11-04,SELL_PE_CPR,225,227.3,11.38,7.6,5900071.21,-0.442,80.0,11,1.305
2020-11-05,BUY_PE_CPR,220,221.7,10.81,19.46,13505880.83,-0.45,80.0,10,0.135
2020-11-09,SELL_CE_CPR,220,212.8,5.71,5.32,592980.66,0.392,80.0,6,0.893
2020-11-09,SELL_PE_CPR,210,212.8,7.31,4.69,4084854.22,-0.428,80.0,6,0.893
2020-11-10,BUY_CE_CPR,220,219.9,8.16,14.68,10191097.13,0.516,80.0,5,0.379
2020-11-12,BUY_CE_CPR,225,225.7,8.76,15.77,10947859.11,0.531,80.0,5,0.34
2020-11-13,BUY_CE_CPR,225,225.8,8.81,15.87,11014378.04,0.533,80.0,5,0.236
2020-11-16,BUY_PE_CPR,205,204.4,7.94,14.29,9921688.62,-0.493,80.0,5,0.065
2020-11-17,SELL_PE_CPR,195,200.7,4.88,1.51,5260647.86,-0.361,80.0,5,2.176
2020-11-18,BUY_CE_CPR,200,201.0,7.99,6.79,-1876385.28,0.539,80.0,5,0.033
2020-11-19,BUY_PE_CPR,195,194.7,7.42,13.36,9271799.55,-0.487,80.0,5,0.051
2020-11-20,BUY_CE_CPR,195,196.0,7.8,10.93,4873914.14,0.54,80.0,5,0.391
