date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte,cpr_width
2020-09-25,SELL_PE_CPR,57500,59027.0,1101.02,1840.17,-3000.0,-0.35,64.8,5,1.956
2020-10-05,SELL_CE_CPR,62000,61850.0,2716.19,3353.23,-2970.0,0.513,68.4,10,0.62
2020-10-05,SELL_PE_CPR,60000,61850.0,1920.06,1963.36,-2970.0,-0.372,68.4,10,0.62
2020-10-06,SELL_CE_CPR,63000,60571.0,1410.1,1407.89,1441.84,0.363,63.0,9,0.615
2020-10-07,SELL_PE_CPR,59500,60350.0,1821.33,2552.84,-2925.02,-0.421,62.8,8,0.788
2020-10-08,BUY_CE_CPR,60500,60519.0,2110.0,3798.0,1518602.89,0.518,62.9,7,0.237
2020-10-09,BUY_CE_CPR,63000,62884.0,2068.54,3723.37,1488762.55,0.508,66.1,6,0.248
2020-10-12,SELL_CE_CPR,64000,63098.0,1541.23,2179.75,-32969.42,0.442,66.1,5,0.706
2020-10-13,BUY_PE_CPR,60500,60542.0,1890.44,3402.79,1360576.8,-0.48,67.7,5,0.274
2020-10-14,SELL_CE_CPR,62000,61582.0,1774.03,2253.79,-46245.5,0.482,68.6,5,1.133
2020-10-15,BUY_CE_CPR,61500,61535.0,1985.35,1687.55,-45783.04,0.518,68.6,5,0.176
2020-10-16,SELL_CE_CPR,62500,61676.0,1603.46,962.09,576623.85,0.45,68.7,5,0.83
2020-10-19,BUY_CE_CPR,62000,62095.0,2040.98,3673.77,1468928.93,0.523,68.9,5,0.096
2020-10-20,BUY_CE_CPR,63000,63124.0,1531.06,2755.92,1101919.25,0.525,49.9,5,0.176
2020-10-21,SELL_CE_CPR,64000,63629.0,1309.75,1601.7,-76799.93,0.472,50.0,5,0.717
2020-10-22,BUY_PE_CPR,62500,62650.0,1243.29,2237.92,894794.77,-0.471,45.1,5,0.076
2020-10-23,BUY_PE_CPR,62500,62427.0,1332.43,2398.37,958951.71,-0.498,44.5,5,0.112
2020-10-26,BUY_PE_CPR,62000,61906.0,1328.3,2390.93,955979.06,-0.501,44.3,5,0.158
2020-10-27,BUY_CE_CPR,62500,62268.0,1144.05,2059.29,823368.81,0.48,43.2,5,0.043
2020-10-28,BUY_PE_CPR,60000,60138.0,2030.85,3655.53,1461635.29,-0.471,43.3,15,0.178
2020-10-29,SELL_PE_CPR,58500,60172.0,1074.66,733.92,306247.24,-0.34,38.6,14,0.726
2020-10-30,SELL_CE_CPR,61500,60906.0,1458.75,1167.0,262016.54,0.459,37.8,13,0.661
2020-11-02,BUY_CE_CPR,62000,61820.0,1683.72,3030.7,1211794.61,0.497,38.1,13,0.306
2020-11-03,BUY_CE_CPR,62500,62622.0,1737.0,3126.6,1250138.22,0.524,37.1,12,0.042
2020-11-05,BUY_CE_CPR,64000,64248.0,1995.24,3591.43,1436002.9,0.535,44.2,10,0.297
2020-11-06,SELL_CE_CPR,65500,65335.0,1607.92,2315.2,-171641.22,0.497,41.3,9,1.14
2020-11-09,BUY_PE_CPR,61000,60854.0,1742.73,3136.92,1254266.89,-0.5,53.6,6,0.223
2020-11-10,SELL_CE_CPR,64000,62953.0,1083.26,866.61,194560.22,0.405,52.4,5,2.839
2020-11-11,SELL_PE_CPR,62000,62541.0,1254.37,2003.63,-184413.08,-0.431,52.0,5,0.659
2020-11-13,BUY_CE_CPR,63500,63733.0,1676.21,3017.18,1206388.37,0.536,52.5,5,0.073
2020-11-16,BUY_PE_CPR,63500,63670.0,1455.68,2620.22,1047660.55,-0.47,51.9,5,0.002
