date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte,cpr_width
2020-09-25,SELL_PE_CPR,57500,59026.0,1067.64,1809.86,-3000.0,-0.348,63.4,5,1.996
2020-10-01,SELL_CE_CPR,61500,61043.0,2655.01,3361.54,-2970.0,0.497,60.3,14,0.795
2020-10-06,SELL_CE_CPR,63000,60586.0,1323.34,1326.85,-147.74,0.357,60.4,9,0.61
2020-10-07,SELL_PE_CPR,59500,60427.0,1699.68,2421.64,-2938.82,-0.413,60.3,8,0.775
2020-10-08,BUY_CE_CPR,60500,60509.0,2017.11,3630.8,40280.42,0.517,60.3,7,0.288
2020-10-09,BUY_CE_CPR,63000,62853.0,1971.86,3549.34,39375.61,0.504,63.6,6,0.267
2020-10-12,SELL_CE_CPR,64000,63070.0,1454.95,2108.24,-3705.99,0.436,63.6,5,0.69
2020-10-13,BUY_PE_CPR,60500,60539.0,1815.86,3268.55,36256.88,-0.481,65.0,5,0.247
2020-10-14,SELL_CE_CPR,62000,61610.0,1713.63,2163.19,-4031.5,0.482,66.0,5,1.129
2020-10-16,SELL_CE_CPR,62500,61689.0,1534.5,904.3,15692.97,0.448,66.0,5,0.819
2020-10-19,BUY_CE_CPR,62000,62094.0,1964.64,3536.36,39231.43,0.523,66.3,5,0.063
2020-10-20,BUY_CE_CPR,63000,63112.0,1487.16,2676.88,29685.13,0.523,48.6,5,0.107
2020-10-21,SELL_CE_CPR,64000,63616.0,1262.68,1547.16,-4837.28,0.469,48.6,5,0.684
2020-10-22,BUY_PE_CPR,62500,62604.0,1223.64,2202.56,24416.78,-0.476,43.7,5,0.08
2020-10-23,BUY_PE_CPR,62500,62431.0,1288.84,2319.92,25720.29,-0.498,43.0,5,0.045
2020-10-26,BUY_PE_CPR,62000,61924.0,1277.66,2299.79,25496.74,-0.499,42.9,5,0.132
2020-10-27,BUY_CE_CPR,62500,62280.0,1109.63,1997.34,22137.4,0.481,41.8,5,0.063
2020-10-28,BUY_PE_CPR,60000,60153.0,1969.85,3545.73,39335.52,-0.47,42.2,15,0.195
2020-10-29,SELL_PE_CPR,58500,60206.0,1045.27,707.09,8397.18,-0.336,38.2,14,0.773
2020-10-30,SELL_CE_CPR,61500,60905.0,1452.96,1162.37,7203.43,0.459,37.7,13,0.736
2020-11-02,BUY_CE_CPR,62000,61895.0,1715.41,3087.74,34248.62,0.504,38.0,13,0.277
2020-11-03,BUY_CE_CPR,62500,62645.0,1741.76,3135.17,34775.38,0.526,36.9,12,0.094
2020-11-05,BUY_CE_CPR,64000,64180.0,1923.15,3461.66,38401.8,0.529,43.4,10,0.183
2020-11-06,SELL_CE_CPR,65500,65324.0,1570.9,2250.98,-7390.24,0.495,40.5,9,1.081
2020-11-09,BUY_PE_CPR,61000,60901.0,1692.21,3045.99,33784.82,-0.496,52.7,6,0.265
2020-11-10,SELL_CE_CPR,64000,62960.0,1059.52,847.61,5240.06,0.404,51.4,5,2.755
2020-11-11,SELL_PE_CPR,62000,62532.0,1230.44,1976.56,-7706.59,-0.431,51.0,5,0.864
2020-11-13,BUY_CE_CPR,63500,63726.0,1642.27,2956.08,32786.28,0.535,51.5,5,0.124
2020-11-16,BUY_PE_CPR,63500,63667.0,1426.84,2568.3,28479.16,-0.47,50.9,5,0.029
2020-11-18,BUY_PE_CPR,62500,62565.0,1441.53,2594.75,28772.94,-0.481,50.5,5,0.082
2020-11-19,BUY_PE_CPR,61500,61592.0,1420.02,2556.04,28342.98,-0.478,51.1,5,0.124
2020-11-20,BUY_CE_CPR,62000,62138.0,1549.25,2788.65,30926.58,0.526,51.1,5,0.009
2020-11-23,BUY_PE_CPR,60500,60322.0,1580.44,2844.8,31550.22,-0.506,52.9,5,0.031
2020-11-24,SELL_PE_CPR,59000,59665.0,1091.52,1554.77,-9438.1,-0.413,50.5,5,0.943
2020-11-25,BUY_CE_CPR,60000,60220.0,1535.3,2763.54,30647.66,0.536,50.7,5,0.164
2020-11-26,BUY_PE_CPR,60000,59864.0,1480.23,2664.41,29546.68,-0.503,50.5,5,0.385
2020-11-27,BUY_PE_CPR,59000,58825.0,1472.13,2649.83,29384.65,-0.508,50.3,5,0.039
2020-11-30,SELL_CE_CPR,60500,60207.0,2183.41,2683.89,-10239.51,0.498,51.3,13,0.914
