date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2020-09-29,BUY_PE_GAMMA,535,532.85,11.75,3.53,-4500.0,-0.521,21.3,14
2020-09-30,BUY_PE_GAMMA,530,529.35,10.64,14.51,24192508.28,-0.499,21.6,13
2020-10-07,BUY_CE_GAMMA,520,522.05,14.68,27.03,77104591.39,0.536,37.0,8
2020-10-09,BUY_CE_GAMMA,530,528.1,10.95,12.76,11291394.38,0.485,36.6,6
2020-10-13,BUY_PE_GAMMA,525,524.1,11.08,12.79,10665593.35,-0.503,36.2,5
2020-10-15,BUY_CE_GAMMA,530,530.25,10.96,17.38,40130152.96,0.513,36.5,5
2020-10-20,BUY_CE_GAMMA,530,531.8,11.27,12.44,7326948.11,0.537,34.8,5
2020-10-21,BUY_CE_GAMMA,540,539.8,10.48,17.32,42683587.27,0.506,35.0,5
2020-10-22,BUY_PE_GAMMA,530,529.35,11.02,17.87,42764922.03,-0.499,36.1,5
2020-10-28,BUY_PE_GAMMA,540,540.1,20.07,25.49,33831061.94,-0.479,38.5,15
2020-10-29,BUY_PE_GAMMA,540,539.7,19.51,29.31,61209405.61,-0.483,38.4,14
2020-10-30,BUY_PE_GAMMA,535,534.15,11.99,19.73,48357031.1,-0.5,24.0,13
2020-11-02,BUY_CE_GAMMA,530,527.55,9.55,10.51,5984819.26,0.473,22.5,13
2020-11-06,BUY_CE_GAMMA,535,533.5,7.85,11.11,20395951.36,0.479,21.4,9
2020-11-10,BUY_CE_GAMMA,535,536.05,6.86,10.42,22233161.86,0.532,21.1,5
2020-11-11,BUY_PE_GAMMA,535,533.95,6.88,8.06,7340397.39,-0.52,21.2,5
2020-11-13,BUY_CE_GAMMA,540,540.85,6.79,11.26,27935957.11,0.527,21.0,5
2020-11-16,BUY_CE_GAMMA,545,546.8,7.45,9.54,13052659.76,0.549,21.3,5
2020-11-17,BUY_PE_GAMMA,545,543.7,6.92,8.37,9031607.27,-0.527,20.5,5
2020-11-18,BUY_PE_GAMMA,545,542.65,6.82,7.65,5196357.85,-0.561,18.3,5
2020-11-19,BUY_CE_GAMMA,545,545.0,3.89,5.95,12889455.17,0.503,12.7,5
2020-11-20,BUY_CE_GAMMA,560,558.8,4.63,8.5,24156813.8,0.468,16.6,5
2020-11-25,BUY_PE_GAMMA,555,555.7,5.51,6.46,5947111.67,-0.475,18.8,5
2020-12-04,BUY_CE_GAMMA,595,596.6,10.02,15.8,36144071.97,0.534,18.6,11
2020-12-09,BUY_CE_GAMMA,595,594.65,6.78,7.52,4602456.59,0.497,19.1,6
2020-12-10,BUY_CE_GAMMA,605,606.3,7.46,14.48,43842877.74,0.536,20.0,5
2020-12-14,BUY_PE_GAMMA,600,601.3,6.41,7.47,6673546.95,-0.464,20.9,5
2020-12-16,BUY_CE_GAMMA,605,603.8,6.26,7.02,4722852.26,0.477,20.2,5
2020-12-17,BUY_CE_GAMMA,610,610.9,7.43,12.37,30813611.36,0.526,20.4,5
2020-12-18,BUY_CE_GAMMA,615,617.0,7.4,11.85,27803660.59,0.555,18.4,5
