date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2020-09-25,BUY_PE_GAMMA,49500,49659.0,383.5,432.62,4853.58,-0.44,16.5,5
2020-09-28,BUY_CE_GAMMA,50000,50133.0,887.38,1478.96,59085.67,0.533,16.9,15
2020-10-08,BUY_CE_GAMMA,50000,50175.0,659.23,766.62,10672.77,0.554,17.1,7
2020-10-09,BUY_CE_GAMMA,51000,50817.0,466.65,550.34,8308.45,0.452,17.7,6
2020-10-12,BUY_CE_GAMMA,51000,51107.0,557.73,630.38,7201.87,0.538,17.6,5
2020-10-13,BUY_PE_GAMMA,50000,50250.0,404.23,652.55,24772.42,-0.419,18.5,5
2020-10-15,BUY_CE_GAMMA,50500,50700.0,636.77,1054.42,41699.0,0.564,18.7,5
2020-10-20,BUY_CE_GAMMA,51000,50912.0,399.4,608.08,20809.28,0.472,15.5,5
2020-10-21,BUY_CE_GAMMA,51500,51309.0,363.98,580.51,21595.6,0.437,15.7,5
2020-10-22,BUY_PE_GAMMA,51000,50766.0,541.59,801.66,25944.15,-0.585,14.5,5
2020-10-26,BUY_CE_GAMMA,51000,50930.0,366.41,452.73,8574.38,0.476,14.0,5
2020-10-27,BUY_PE_GAMMA,51000,50928.0,424.62,161.14,-8002.76,-0.525,13.6,5
2020-10-28,BUY_PE_GAMMA,50500,50510.0,641.77,993.68,35124.99,-0.49,13.2,15
2020-10-30,BUY_CE_GAMMA,50500,50699.0,725.85,919.67,19314.26,0.556,13.6,13
2020-11-02,BUY_CE_GAMMA,51000,51025.0,635.81,990.6,35413.75,0.511,13.6,13
2020-11-03,BUY_CE_GAMMA,51500,51598.0,677.42,1164.96,48687.02,0.53,14.0,12
2020-11-11,BUY_PE_GAMMA,50000,50198.0,651.43,746.06,9396.57,-0.45,26.6,5
2020-11-12,BUY_CE_GAMMA,50500,50600.0,809.01,954.49,14477.54,0.528,26.8,5
2020-11-13,BUY_CE_GAMMA,51000,50922.0,728.5,856.99,12781.08,0.491,26.9,5
2020-11-18,BUY_PE_GAMMA,50500,50328.0,836.98,956.13,11843.53,-0.529,26.5,5
2020-11-19,BUY_PE_GAMMA,50000,49995.0,746.98,844.81,9714.08,-0.493,26.6,5
2020-11-20,BUY_CE_GAMMA,50000,50212.0,858.75,952.63,9315.36,0.552,26.7,5
2020-11-23,BUY_PE_GAMMA,49500,49491.0,759.54,1284.01,52378.33,-0.494,27.3,5
2020-11-27,BUY_PE_GAMMA,48000,48106.0,687.63,932.62,24432.46,-0.469,27.5,5
2020-12-01,BUY_PE_GAMMA,48000,48010.0,1189.98,447.76,-12125.9,-0.485,26.6,14
2020-12-02,BUY_CE_GAMMA,49000,48849.0,1056.14,1595.49,53856.59,0.489,25.6,13
2020-12-03,BUY_PE_GAMMA,49500,49419.0,1165.52,1637.93,47159.95,-0.499,26.3,12
2020-12-07,BUY_CE_GAMMA,50000,49930.0,544.46,933.0,38790.96,0.486,16.4,8
2020-12-09,BUY_PE_GAMMA,49500,49260.0,651.79,1142.27,48982.5,-0.567,17.3,6
2020-12-11,BUY_CE_GAMMA,49500,49324.0,390.86,444.96,5351.94,0.445,17.1,5
2020-12-14,BUY_PE_GAMMA,49000,48939.0,505.35,201.91,-14856.14,-0.515,17.3,5
2020-12-15,BUY_CE_GAMMA,49500,49462.0,480.99,783.55,30194.91,0.493,18.0,5
2020-12-17,BUY_CE_GAMMA,50500,50390.0,478.93,841.71,36216.94,0.472,18.8,5
2020-12-21,BUY_PE_GAMMA,50500,50416.0,544.3,163.29,-15629.48,-0.521,17.7,5
2020-12-28,BUY_PE_GAMMA,50000,50010.0,744.88,1176.0,43043.32,-0.489,15.5,15
2021-01-04,BUY_CE_GAMMA,51500,51424.0,635.25,1185.27,54935.92,0.488,15.8,11
2021-01-06,BUY_PE_GAMMA,50500,50509.0,697.92,1272.58,57398.74,-0.49,18.5,9
2021-01-08,BUY_PE_GAMMA,49000,48967.0,787.89,1573.1,78450.84,-0.498,23.8,7
2021-01-12,BUY_PE_GAMMA,49000,49071.0,618.66,759.09,13977.63,-0.476,23.8,5
2021-01-14,BUY_CE_GAMMA,49000,49167.0,731.5,824.89,9271.03,0.547,23.5,5
2021-01-15,BUY_PE_GAMMA,48500,48702.0,520.33,802.6,28164.85,-0.441,22.6,5
2021-01-18,BUY_CE_GAMMA,49000,48910.0,580.05,872.16,29146.49,0.483,22.8,5
2021-01-20,BUY_CE_GAMMA,49500,49578.0,684.85,1104.39,41886.16,0.525,23.3,5
2021-01-21,BUY_PE_GAMMA,49500,49448.0,670.69,787.5,11614.53,-0.506,23.3,5
2021-01-22,BUY_PE_GAMMA,49000,49140.0,574.56,184.37,-20913.38,-0.458,23.4,5
