date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2020-09-25,BUY_PE_GAMMA,49500,49539.0,416.24,531.15,114742.4,-0.481,15.7,5
2020-09-28,BUY_CE_GAMMA,49900,49928.0,793.77,1264.87,470819.37,0.512,16.1,15
2020-09-29,BUY_CE_GAMMA,50600,50610.0,819.9,1309.25,489067.87,0.509,17.2,14
2020-09-30,BUY_PE_GAMMA,50200,50232.0,766.05,897.3,130978.6,-0.485,17.3,13
2020-10-05,BUY_CE_GAMMA,50800,50793.0,707.44,1209.03,501340.39,0.505,17.7,10
2020-10-08,BUY_CE_GAMMA,50300,50260.0,567.93,629.72,61572.8,0.494,17.7,7
2020-10-09,BUY_CE_GAMMA,50900,50872.0,555.01,892.95,337724.93,0.497,18.2,6
2020-10-13,BUY_PE_GAMMA,50300,50306.0,534.57,875.5,340726.26,-0.492,19.1,5
2020-10-15,BUY_CE_GAMMA,50800,50775.0,538.25,828.03,289576.95,0.498,19.4,5
2020-10-16,BUY_PE_GAMMA,50600,50605.0,541.7,599.06,57157.85,-0.493,19.2,5
2020-10-21,BUY_CE_GAMMA,51300,51299.0,471.91,756.69,284595.98,0.504,16.5,5
2020-10-22,BUY_PE_GAMMA,50700,50741.0,413.81,692.25,278276.36,-0.48,15.3,5
2020-10-26,BUY_CE_GAMMA,51000,50953.0,389.95,495.97,105864.65,0.486,14.5,5
2020-10-28,BUY_PE_GAMMA,50500,50483.0,682.25,1174.4,491909.02,-0.496,13.8,15
2020-10-30,BUY_CE_GAMMA,50800,50760.0,623.28,978.85,355341.51,0.495,14.0,13
2020-11-02,BUY_CE_GAMMA,51000,51032.0,648.29,1013.98,365449.26,0.513,13.7,13
2020-11-03,BUY_CE_GAMMA,51500,51509.0,634.77,1064.69,429687.86,0.507,14.1,12
2020-11-05,BUY_CE_GAMMA,51900,51901.0,689.42,1286.81,597144.31,0.506,16.8,10
2020-11-11,BUY_PE_GAMMA,50200,50230.0,694.66,814.56,119644.81,-0.486,25.2,5
2020-11-12,BUY_CE_GAMMA,50600,50610.0,724.77,846.05,121018.73,0.509,25.4,5
2020-11-13,BUY_CE_GAMMA,51000,50956.0,706.57,850.69,143867.54,0.497,25.5,5
2020-11-18,BUY_PE_GAMMA,50400,50394.0,712.05,802.78,90471.98,-0.494,25.1,5
2020-11-19,BUY_PE_GAMMA,50100,50079.0,718.04,284.08,-97154.69,-0.497,25.2,5
2020-11-20,BUY_CE_GAMMA,50300,50297.0,710.37,801.62,90999.41,0.506,25.3,5
2020-11-23,BUY_PE_GAMMA,49600,49555.0,742.32,1256.78,514191.31,-0.502,25.9,5
2020-11-27,BUY_PE_GAMMA,48200,48189.0,706.5,963.73,256976.87,-0.495,26.0,5
2020-12-01,BUY_CE_GAMMA,48700,48727.0,1214.63,2164.22,949187.4,0.515,26.4,14
2020-12-03,BUY_PE_GAMMA,49100,49101.0,1045.64,1173.63,127642.28,-0.488,24.6,12
2020-12-04,BUY_CE_GAMMA,49300,49322.0,662.22,803.44,140982.32,0.511,15.9,11
2020-12-09,BUY_PE_GAMMA,49200,49168.0,517.65,849.29,331444.58,-0.505,16.6,6
2020-12-10,BUY_PE_GAMMA,49100,49095.0,449.08,495.5,46238.17,-0.497,16.2,5
2020-12-11,BUY_CE_GAMMA,49300,49306.0,455.53,515.11,59396.08,0.506,16.4,5
2020-12-14,BUY_PE_GAMMA,48900,48935.0,436.32,156.91,-133453.25,-0.483,16.6,5
2020-12-15,BUY_CE_GAMMA,49400,49424.0,489.52,778.42,288704.59,0.512,17.3,5
2020-12-17,BUY_CE_GAMMA,50300,50263.0,487.43,804.32,316707.53,0.493,18.0,5
2020-12-23,BUY_CE_GAMMA,49900,49915.0,433.96,643.04,208906.53,0.509,15.3,5
2020-12-28,BUY_PE_GAMMA,49800,49761.0,738.55,1161.99,423181.56,-0.5,14.9,15
2020-12-31,BUY_CE_GAMMA,50100,50081.0,567.65,828.1,260241.58,0.499,13.3,12
2021-01-04,BUY_CE_GAMMA,51300,51349.0,719.58,1293.23,573386.52,0.517,16.3,11
2021-01-06,BUY_PE_GAMMA,50500,50545.0,645.05,1179.16,533874.14,-0.482,17.6,9
2021-01-08,BUY_PE_GAMMA,49000,48989.0,749.43,1490.07,740373.66,-0.494,22.9,7
2021-01-15,BUY_PE_GAMMA,48800,48761.0,622.9,1012.41,389284.21,-0.504,22.1,5
2021-01-18,BUY_CE_GAMMA,48900,48931.0,622.33,945.72,323160.23,0.514,22.2,5
2021-01-20,BUY_CE_GAMMA,49500,49525.0,635.11,1010.3,374960.01,0.512,22.5,5
2021-01-21,BUY_PE_GAMMA,49400,49418.0,611.44,693.33,81669.41,-0.489,22.4,5
2021-01-22,BUY_PE_GAMMA,49200,49160.0,639.64,225.25,-199168.2,-0.504,22.5,5
2021-01-29,BUY_CE_GAMMA,49100,49127.0,1064.03,1369.36,304968.31,0.514,22.9,14
2021-02-04,BUY_PE_GAMMA,46600,46609.0,832.05,1348.34,515998.39,-0.488,21.6,11
2021-02-08,BUY_CE_GAMMA,47700,47737.0,566.68,938.76,371875.66,0.516,17.3,7
2021-02-11,BUY_PE_GAMMA,47400,47410.0,446.07,688.97,242725.48,-0.491,17.0,5
2021-02-16,BUY_PE_GAMMA,46800,46760.0,457.75,751.02,293090.97,-0.509,16.7,5
2021-02-17,BUY_PE_GAMMA,46100,46113.0,439.2,693.83,254455.05,-0.49,17.3,5
2021-02-18,BUY_PE_GAMMA,46000,46043.0,398.59,460.32,61560.63,-0.479,16.3,5
2021-02-19,BUY_CE_GAMMA,46100,46140.0,445.04,522.97,77751.06,0.519,16.5,5
2021-02-22,BUY_CE_GAMMA,46800,46773.0,453.7,749.85,295970.62,0.495,17.8,5
2021-02-24,BUY_PE_GAMMA,46400,46425.0,449.95,549.61,99479.26,-0.486,17.8,5
2021-02-25,BUY_PE_GAMMA,46200,46191.0,465.11,527.87,62581.51,-0.498,17.8,5
2021-02-26,BUY_PE_GAMMA,45600,45600.0,446.87,757.89,310841.08,-0.495,17.5,5
2021-03-03,BUY_PE_GAMMA,44500,44472.0,686.89,1138.4,451267.99,-0.498,17.5,12
2021-03-08,BUY_PE_GAMMA,44300,44270.0,383.64,623.46,239662.16,-0.508,12.6,7
2021-03-09,BUY_CE_GAMMA,44800,44830.0,402.63,660.3,257505.04,0.516,14.1,6
2021-03-16,BUY_PE_GAMMA,44800,44809.0,345.37,507.95,162432.42,-0.492,13.9,5
2021-03-23,BUY_PE_GAMMA,44700,44692.0,291.84,367.66,75684.63,-0.501,11.5,5
2021-03-25,BUY_PE_GAMMA,44700,44725.0,277.59,325.56,47842.52,-0.483,11.6,5
2021-03-29,BUY_PE_GAMMA,43900,43926.0,449.02,782.58,333380.63,-0.485,11.2,14
2021-03-31,BUY_CE_GAMMA,44400,44448.0,445.2,797.57,352192.69,0.522,10.9,12
