date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2020-09-28,BUY_PE_GAMMA,205,205.0,15.85,6.02,-4500.0,-0.46,80.0,15
2020-09-29,BUY_PE_GAMMA,190,188.3,15.0,25.47,16363920.13,-0.48,80.0,14
2020-10-01,BUY_PE_GAMMA,185,183.9,14.34,17.17,4429293.15,-0.474,80.0,14
2020-10-05,BUY_CE_GAMMA,195,195.0,12.33,16.64,6727400.13,0.531,80.0,10
2020-10-07,BUY_CE_GAMMA,190,190.5,11.01,13.0,3090771.79,0.535,80.0,8
2020-10-08,BUY_CE_GAMMA,195,193.8,9.7,14.52,7518106.21,0.507,80.0,7
2020-10-09,BUY_CE_GAMMA,200,201.2,10.44,13.53,4818330.9,0.543,80.0,6
2020-10-12,BUY_CE_GAMMA,215,213.1,8.66,13.71,7889606.9,0.49,80.0,5
2020-10-14,BUY_PE_GAMMA,195,197.3,7.68,8.97,2010170.62,-0.436,80.0,5
2020-10-15,BUY_CE_GAMMA,205,204.0,8.66,11.82,4925899.48,0.505,80.0,5
2020-10-16,BUY_CE_GAMMA,205,205.6,9.49,10.51,1580733.6,0.532,80.0,5
2020-10-19,BUY_PE_GAMMA,200,201.2,8.39,10.01,2523071.96,-0.456,80.0,5
2020-10-20,BUY_CE_GAMMA,215,214.8,9.52,15.17,8817767.11,0.519,80.0,5
2020-10-21,BUY_CE_GAMMA,225,223.3,9.21,14.76,8676023.3,0.495,80.0,5
2020-10-26,BUY_CE_GAMMA,220,221.3,10.54,3.16,-1194998.93,0.543,80.0,5
2020-10-27,BUY_CE_GAMMA,225,227.2,11.26,17.18,9243232.2,0.556,80.0,5
2020-10-29,BUY_CE_GAMMA,245,246.6,19.17,21.9,4253470.72,0.55,80.0,14
2020-11-02,BUY_PE_GAMMA,240,241.9,16.42,26.59,15878414.76,-0.446,80.0,13
2020-11-05,BUY_PE_GAMMA,220,221.7,13.13,20.09,10876778.1,-0.448,80.0,10
2020-11-06,BUY_PE_GAMMA,215,213.7,13.52,20.87,11476724.63,-0.485,80.0,9
2020-11-09,BUY_PE_GAMMA,215,212.8,11.62,15.03,5324756.08,-0.508,80.0,6
2020-11-10,BUY_CE_GAMMA,220,219.9,9.8,14.86,7902654.51,0.52,80.0,5
2020-11-12,BUY_CE_GAMMA,225,225.7,10.44,12.88,3807722.6,0.533,80.0,5
2020-11-13,BUY_CE_GAMMA,225,225.8,10.49,12.59,3271946.25,0.534,80.0,5
2020-11-16,BUY_PE_GAMMA,205,204.4,9.47,16.28,10637504.5,-0.488,80.0,5
2020-11-19,BUY_PE_GAMMA,195,194.7,8.87,13.44,7133916.36,-0.483,80.0,5
2020-11-23,BUY_CE_GAMMA,200,201.1,9.54,10.58,1626925.34,0.541,80.0,5
2020-11-24,BUY_CE_GAMMA,205,205.1,9.23,11.17,3024727.61,0.524,80.0,5
2020-11-27,BUY_PE_GAMMA,210,210.9,8.98,13.87,7638048.77,-0.462,80.0,5
2020-12-01,BUY_PE_GAMMA,210,209.9,15.74,25.95,15957783.54,-0.462,80.0,14
2020-12-03,BUY_PE_GAMMA,185,186.6,12.08,22.82,16778646.81,-0.445,80.0,12
2020-12-07,BUY_PE_GAMMA,180,178.9,10.71,17.42,10485469.59,-0.488,80.0,8
2020-12-08,BUY_PE_GAMMA,180,179.2,9.91,11.13,1898793.95,-0.486,80.0,7
2020-12-10,BUY_CE_GAMMA,190,190.4,8.71,15.15,10051233.04,0.529,80.0,5
2020-12-15,BUY_PE_GAMMA,195,195.3,8.59,3.01,-3536105.19,-0.472,80.0,5
2020-12-17,BUY_PE_GAMMA,195,193.9,9.26,14.43,8060672.53,-0.497,80.0,5
2020-12-22,BUY_CE_GAMMA,205,207.2,10.37,16.88,10166328.64,0.56,80.0,5
2020-12-23,BUY_PE_GAMMA,190,191.9,7.63,12.97,8341421.74,-0.442,80.0,5
2020-12-28,BUY_PE_GAMMA,170,168.6,13.8,20.3,10151840.96,-0.477,80.0,15
2020-12-31,BUY_CE_GAMMA,180,182.1,13.61,16.01,3756498.26,0.56,80.0,12
2021-01-01,BUY_CE_GAMMA,185,185.4,14.04,16.37,3639323.63,0.541,80.0,14
2021-01-05,BUY_CE_GAMMA,200,197.9,11.56,19.82,12909126.55,0.504,80.0,10
2021-01-11,BUY_CE_GAMMA,195,196.9,9.75,15.39,8810158.38,0.556,80.0,5
2021-01-12,BUY_CE_GAMMA,205,207.1,10.31,14.53,6590866.63,0.558,80.0,5
2021-01-14,BUY_PE_GAMMA,200,197.6,10.15,12.7,3982905.68,-0.52,80.0,5
2021-01-15,BUY_CE_GAMMA,200,200.0,8.95,11.35,3739975.53,0.522,80.0,5
2021-01-19,BUY_PE_GAMMA,185,186.9,7.41,11.25,6003137.93,-0.441,80.0,5
2021-01-21,BUY_PE_GAMMA,180,182.3,7.01,8.27,1963066.91,-0.432,80.0,5
2021-01-22,BUY_PE_GAMMA,180,179.7,8.2,3.09,-4804793.46,-0.483,80.0,5
2021-01-25,BUY_CE_GAMMA,185,186.2,8.92,10.06,1774370.29,0.545,80.0,5
