date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2020-09-28,BUY_CE_GAMMA,60500,60403.0,3734.05,6060.57,2092847.68,0.526,64.7,15
2020-09-30,BUY_PE_GAMMA,60000,59919.0,3677.5,5778.83,1890190.66,-0.472,67.4,13
2020-10-01,BUY_CE_GAMMA,61000,61145.0,3956.81,6348.46,2151399.81,0.536,68.1,14
2020-10-05,BUY_CE_GAMMA,62000,61850.0,3273.38,5219.87,1750937.69,0.519,68.4,10
2020-10-06,BUY_PE_GAMMA,60500,60571.0,2824.81,4347.71,1369820.01,-0.472,63.0,9
2020-10-07,BUY_CE_GAMMA,60500,60350.0,2611.56,2874.81,236193.34,0.513,62.8,8
2020-10-09,BUY_CE_GAMMA,63000,62884.0,2493.32,3893.25,1259241.87,0.513,66.1,6
2020-10-12,BUY_PE_GAMMA,63000,63098.0,2283.37,2578.52,264992.46,-0.474,66.1,5
2020-10-13,BUY_PE_GAMMA,60500,60542.0,2272.43,3639.99,1230159.6,-0.478,67.7,5
2020-10-15,BUY_CE_GAMMA,61500,61535.0,2378.63,3535.38,1040409.2,0.521,68.6,5
2020-10-19,BUY_CE_GAMMA,62000,62095.0,2439.27,2973.0,479671.81,0.525,68.9,5
2020-10-20,BUY_CE_GAMMA,63000,63124.0,1824.47,2846.18,919014.5,0.525,49.9,5
2020-10-22,BUY_PE_GAMMA,62500,62650.0,1506.35,553.33,-224773.18,-0.472,45.1,5
2020-10-28,BUY_PE_GAMMA,60000,60138.0,2450.16,4021.47,1413492.41,-0.469,43.3,15
2020-11-02,BUY_CE_GAMMA,62000,61820.0,2037.69,2283.8,220919.89,0.503,38.1,13
2020-11-03,BUY_CE_GAMMA,62500,62622.0,2071.8,3221.33,1033991.66,0.525,37.1,12
2020-11-05,BUY_CE_GAMMA,64000,64248.0,2368.35,4217.92,1663947.47,0.534,44.2,10
2020-11-13,BUY_CE_GAMMA,63500,63733.0,1987.03,3257.72,1143057.54,0.534,52.5,5
2020-11-19,BUY_PE_GAMMA,61500,61525.0,1783.65,687.06,-303532.72,-0.483,52.2,5
2020-11-20,BUY_CE_GAMMA,62000,62158.0,1896.09,2142.84,221529.85,0.528,52.3,5
