date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2020-09-28,BUY_CE_GAMMA,60500,60352.0,3692.96,5967.93,56800.4,0.524,64.5,15
2020-09-30,BUY_PE_GAMMA,60000,60000.0,3223.56,5273.86,51187.1,-0.472,59.6,13
2020-10-01,BUY_CE_GAMMA,61000,61043.0,3459.17,4168.04,17649.46,0.529,60.3,14
2020-10-05,BUY_CE_GAMMA,62000,61849.0,2898.97,4658.77,43926.78,0.515,60.7,10
2020-10-06,BUY_PE_GAMMA,60500,60586.0,2700.19,4127.32,35611.57,-0.472,60.4,9
2020-10-07,BUY_CE_GAMMA,60500,60427.0,2541.43,2930.09,9650.96,0.516,60.3,8
2020-10-09,BUY_CE_GAMMA,63000,62853.0,2380.3,3772.0,34727.92,0.509,63.6,6
2020-10-13,BUY_PE_GAMMA,60500,60539.0,2182.67,3466.08,32022.08,-0.479,65.0,5
2020-10-14,BUY_CE_GAMMA,61500,61610.0,2328.43,2816.45,12136.53,0.526,66.0,5
2020-10-19,BUY_CE_GAMMA,62000,62094.0,2347.79,718.47,-8905.69,0.525,66.3,5
2020-10-20,BUY_CE_GAMMA,63000,63112.0,1773.04,2798.84,25585.04,0.524,48.6,5
2020-10-28,BUY_PE_GAMMA,60000,60153.0,2378.42,3832.03,36275.83,-0.468,42.2,15
2020-11-03,BUY_CE_GAMMA,62500,62645.0,2075.11,3213.24,28390.84,0.526,36.9,12
2020-11-04,BUY_PE_GAMMA,61500,61406.0,1998.39,2236.14,5882.13,-0.491,38.3,11
2020-11-05,BUY_CE_GAMMA,64000,64180.0,2289.09,4149.97,46458.4,0.529,43.4,10
2020-11-11,BUY_PE_GAMMA,62500,62532.0,1768.35,530.51,-10910.99,-0.482,51.0,5
2020-11-13,BUY_CE_GAMMA,63500,63726.0,1947.05,3117.46,29198.96,0.534,51.5,5
2020-11-19,BUY_PE_GAMMA,61500,61592.0,1712.94,2108.66,9833.46,-0.477,51.1,5
2020-11-23,BUY_PE_GAMMA,60500,60322.0,1878.0,3131.3,31271.5,-0.501,52.9,5
2020-11-25,BUY_CE_GAMMA,60000,60220.0,1819.28,2870.44,26218.6,0.534,50.7,5
2020-11-27,BUY_PE_GAMMA,59000,58825.0,1748.32,2492.35,18541.02,-0.502,50.3,5
2020-12-01,BUY_CE_GAMMA,63500,63317.0,3229.77,6150.63,72950.99,0.516,56.0,14
2020-12-07,BUY_CE_GAMMA,65500,65472.0,1702.57,2853.07,28702.95,0.51,37.0,8
2020-12-09,BUY_PE_GAMMA,63500,63529.0,1506.92,2398.45,22230.17,-0.484,39.1,6
2020-12-15,BUY_CE_GAMMA,65000,64828.0,1353.83,2100.14,18600.84,0.492,39.6,5
2020-12-16,BUY_CE_GAMMA,66000,65893.0,1411.76,1809.56,9887.65,0.499,39.7,5
2020-12-17,BUY_CE_GAMMA,68000,68152.0,1645.04,2839.39,29799.52,0.526,41.1,5
