date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2020-10-15,BUY_PE_GTZ,530,530.25,8.9,8.46,-4500.0,-0.487,36.5,5
2020-11-04,BUY_CE_GTZ,530,528.95,7.25,13.06,36261039.0,0.485,21.2,11
2020-11-05,BUY_CE_GTZ,530,528.0,6.44,8.38,12070342.2,0.463,21.2,10
2020-11-06,BUY_CE_GTZ,535,533.5,6.42,11.56,32104378.36,0.473,21.4,9
2020-11-09,BUY_PE_GTZ,535,534.85,5.93,7.7,11099047.74,-0.498,21.4,6
2020-11-12,BUY_PE_GTZ,535,535.75,4.83,6.28,9051293.3,-0.472,20.8,5
2020-11-13,BUY_PE_GTZ,540,540.85,4.88,4.64,-1513224.01,-0.469,21.0,5
2020-11-18,BUY_PE_GTZ,545,542.65,5.91,7.68,11066746.96,-0.575,18.3,5
2020-12-02,BUY_PE_GTZ,590,589.55,8.47,8.05,-1656526.85,-0.501,18.6,13
2020-12-03,BUY_PE_GTZ,590,590.7,7.55,9.82,14144187.52,-0.478,18.5,12
2020-12-07,BUY_PE_GTZ,595,594.55,6.89,6.54,-1843841.76,-0.504,19.0,8
2020-12-08,BUY_PE_GTZ,590,591.7,5.41,5.14,-1700242.9,-0.451,19.1,7
2020-12-09,BUY_PE_GTZ,595,594.65,5.97,7.76,11184176.36,-0.504,19.1,6
2020-12-15,BUY_PE_GTZ,600,601.25,5.13,6.68,9618232.16,-0.46,20.5,5
2021-01-05,BUY_PE_GTZ,615,616.2,8.06,7.66,-2102716.62,-0.47,21.3,10
2021-01-06,BUY_PE_GTZ,620,617.95,9.22,11.99,17279531.93,-0.532,21.1,9
2021-01-08,BUY_PE_GTZ,620,621.35,6.64,11.96,33199897.38,-0.464,21.3,7
2021-01-19,BUY_CE_GTZ,610,610.25,7.19,9.34,13465192.88,0.511,24.8,5
2021-01-20,BUY_CE_GTZ,610,611.45,7.34,9.54,13751662.38,0.54,23.1,5
2021-02-02,BUY_CE_GTZ,590,590.6,11.16,14.51,20912082.47,0.517,24.5,13
2021-02-03,BUY_CE_GTZ,595,597.3,10.76,19.38,53799980.41,0.545,22.2,12
2021-03-10,BUY_CE_GTZ,670,671.05,15.43,14.65,-4357301.08,0.522,47.6,5
2021-04-07,BUY_PE_GTZ,690,689.35,9.88,12.85,18508935.91,-0.503,23.5,8
2021-04-09,BUY_PE_GTZ,690,689.85,7.96,10.35,14917244.94,-0.497,22.4,6
2021-04-22,BUY_PE_GTZ,725,724.4,8.7,11.31,16300505.7,-0.505,24.8,5
2021-05-05,BUY_PE_GTZ,760,761.0,10.67,19.2,53326750.92,-0.478,22.3,10
2021-05-19,BUY_CE_GTZ,760,760.5,9.14,11.88,17115547.75,0.514,25.1,5
2021-06-03,BUY_CE_GTZ,735,734.25,16.59,21.57,31081201.47,0.503,32.0,12
2021-06-04,BUY_CE_GTZ,745,743.25,15.57,28.03,77821920.13,0.493,31.9,11
2021-06-08,BUY_CE_GTZ,745,746.3,13.25,23.85,66214995.69,0.524,30.6,7
2021-06-10,BUY_CE_GTZ,740,738.5,9.46,12.3,17725892.2,0.483,29.6,5
2021-06-11,BUY_CE_GTZ,750,748.25,9.65,12.55,18082617.28,0.48,30.1,5
2021-06-21,BUY_CE_GTZ,700,698.65,10.44,18.8,52205077.65,0.488,34.0,5
2021-07-01,BUY_PE_GTZ,715,714.35,17.35,31.22,86694392.36,-0.493,30.6,14
2021-08-06,BUY_CE_GTZ,730,732.1,13.02,12.36,-4090840.25,0.535,26.1,9
2021-08-09,BUY_CE_GTZ,725,725.85,10.2,13.26,19103610.23,0.52,26.4,6
2021-09-08,BUY_CE_GTZ,710,710.3,9.24,12.02,17313950.54,0.511,23.2,7
2021-09-20,BUY_CE_GTZ,705,704.95,8.58,8.15,-2697375.43,0.505,26.2,5
2021-10-04,BUY_PE_GTZ,720,718.45,15.37,19.99,28797025.68,-0.506,29.3,11
2021-10-05,BUY_PE_GTZ,715,713.7,14.48,18.82,27119049.78,-0.504,29.4,10
2021-10-06,BUY_PE_GTZ,710,709.9,13.12,17.06,24583955.01,-0.491,29.4,9
2021-10-07,BUY_PE_GTZ,725,723.55,13.73,13.05,-4317062.53,-0.508,30.4,8
2021-11-09,BUY_CE_GTZ,735,735.85,12.61,16.39,23622084.53,0.519,32.4,6
2021-11-10,BUY_CE_GTZ,730,729.0,9.28,8.81,-2915898.9,0.49,28.7,5
2021-11-11,BUY_CE_GTZ,740,737.8,8.3,10.79,15540960.61,0.469,27.1,5
2021-11-12,BUY_PE_GTZ,745,744.7,8.64,8.21,-2716827.53,-0.499,24.4,5
2021-11-15,BUY_PE_GTZ,740,739.0,8.96,11.65,16791046.69,-0.513,24.5,5
2021-11-16,BUY_CE_GTZ,735,733.35,7.62,9.9,14267031.4,0.474,24.6,5
2021-12-06,BUY_CE_GTZ,735,733.2,9.0,16.2,44984272.75,0.477,21.5,9
2021-12-13,BUY_PE_GTZ,730,731.6,6.17,8.02,11558513.54,-0.458,20.4,5
2022-05-10,BUY_CE_GTZ,755,753.6,6.78,8.81,12693942.02,0.475,21.2,5
2022-05-12,BUY_CE_GTZ,745,744.8,7.4,9.62,13865951.04,0.5,21.6,5
2022-05-13,BUY_CE_GTZ,755,753.0,6.81,12.25,34014249.77,0.464,22.1,5
2022-07-13,BUY_CE_GTZ,635,633.8,10.13,18.23,50611409.29,0.49,36.2,5
2022-07-15,BUY_CE_GTZ,615,616.15,11.28,20.31,56387096.4,0.525,37.3,5
2022-08-02,BUY_PE_GTZ,640,642.1,15.68,20.38,29372647.62,-0.466,34.7,13
2022-08-04,BUY_PE_GTZ,645,646.95,12.98,16.88,24317914.02,-0.466,31.2,11
2022-09-07,BUY_CE_GTZ,635,637.2,10.41,13.53,19494602.6,0.544,24.7,8
2022-09-13,BUY_PE_GTZ,650,652.4,7.2,12.96,35992997.73,-0.448,27.5,5
2022-09-16,BUY_CE_GTZ,650,651.5,8.64,15.55,43179630.67,0.536,25.9,5
2022-10-06,BUY_PE_GTZ,655,655.3,12.25,22.05,61215389.72,-0.486,30.3,9
2022-10-20,BUY_CE_GTZ,650,647.65,7.53,13.55,37633494.9,0.463,28.6,5
2022-11-03,BUY_PE_GTZ,650,652.5,9.29,12.07,17397793.39,-0.453,22.3,12
2022-11-10,BUY_PE_GTZ,685,687.2,8.57,11.15,16058937.96,-0.456,30.1,5
2022-11-15,BUY_PE_GTZ,695,692.9,11.19,20.15,55944234.01,-0.525,31.2,5
2022-12-07,BUY_PE_GTZ,705,703.5,9.05,8.6,-2845651.28,-0.522,19.9,8
2022-12-12,BUY_PE_GTZ,700,700.05,5.37,6.98,10056586.26,-0.494,16.5,5
2022-12-13,BUY_PE_GTZ,705,707.4,4.45,8.02,22262327.89,-0.428,16.9,5
2022-12-14,BUY_PE_GTZ,715,712.9,6.75,6.41,-2120577.04,-0.555,16.9,5
2022-12-20,BUY_PE_GTZ,715,712.9,6.01,7.81,11251981.06,-0.564,14.7,5
2023-02-03,BUY_CE_GTZ,770,771.6,11.58,11.0,-3640354.17,0.529,19.3,12
2023-02-06,BUY_CE_GTZ,770,771.5,9.73,12.65,18223169.73,0.532,18.6,9
2023-03-09,BUY_CE_GTZ,755,753.0,7.42,9.64,13890485.77,0.467,21.7,6
2023-03-10,BUY_CE_GTZ,750,751.5,8.15,10.59,15265238.76,0.537,21.1,5
2023-03-13,BUY_CE_GTZ,760,760.35,7.76,13.97,38796512.98,0.512,21.4,5
2023-04-17,BUY_PE_GTZ,780,780.0,6.52,11.74,32594801.62,-0.495,17.9,5
2023-04-20,BUY_CE_GTZ,765,766.3,7.4,9.61,13852914.4,0.535,18.8,5
2023-05-04,BUY_CE_GTZ,740,737.5,8.43,10.96,15790052.9,0.464,18.9,11
2023-05-08,BUY_PE_GTZ,750,752.1,7.31,9.5,13688388.54,-0.454,20.1,7
2023-05-09,BUY_PE_GTZ,750,752.0,6.48,8.42,12136744.72,-0.452,19.4,6
2023-05-11,BUY_CE_GTZ,730,729.5,6.57,6.24,-2064661.0,0.493,20.0,5
2023-05-15,BUY_CE_GTZ,730,728.2,5.76,7.49,10797529.25,0.461,19.5,5
2023-05-18,BUY_CE_GTZ,720,718.55,6.29,8.18,11783478.74,0.471,20.8,5
2023-05-23,BUY_CE_GTZ,715,712.55,5.44,7.07,10182059.68,0.445,19.8,5
2023-06-06,BUY_PE_GTZ,720,722.45,9.58,12.46,17950491.3,-0.456,23.9,9
2023-06-07,BUY_PE_GTZ,720,720.6,9.73,17.51,48612676.7,-0.483,23.6,8
2023-06-09,BUY_PE_GTZ,725,723.65,8.84,15.92,44204414.09,-0.52,22.0,6
2023-06-13,BUY_PE_GTZ,730,728.3,8.07,10.5,15125880.01,-0.532,21.1,5
2023-07-11,BUY_PE_GTZ,720,718.05,6.14,11.05,30688104.18,-0.556,15.2,5
2023-07-17,BUY_PE_GTZ,725,726.0,6.22,11.2,31090279.64,-0.471,19.8,5
2023-07-20,BUY_PE_GTZ,730,729.5,7.12,12.82,35599218.6,-0.506,20.2,5
2023-07-24,BUY_CE_GTZ,725,725.85,6.58,11.85,32895194.35,0.526,18.2,5
2023-08-08,BUY_CE_GTZ,730,729.25,7.43,9.66,13914451.8,0.489,19.4,7
2023-08-14,BUY_CE_GTZ,725,727.0,6.05,7.87,11340558.68,0.566,14.7,5
2023-08-17,BUY_CE_GTZ,725,723.5,4.42,5.75,8283384.27,0.457,15.2,5
2023-09-05,BUY_CE_GTZ,740,740.55,7.61,13.7,38053620.82,0.516,15.0,10
