date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2020-10-09,BUY_PE_GTZ,51000,50817.0,558.21,725.67,16682.85,-0.558,17.7,6
2020-10-13,BUY_PE_GTZ,50000,50250.0,319.53,575.15,25505.75,-0.404,18.5,5
2020-10-14,BUY_CE_GTZ,50500,50535.0,459.16,596.91,13714.33,0.517,18.7,5
2020-10-15,BUY_CE_GTZ,50500,50700.0,549.49,714.33,16421.42,0.575,18.7,5
2020-10-26,BUY_CE_GTZ,51000,50930.0,299.87,389.83,8940.15,0.47,14.0,5
2020-10-27,BUY_PE_GTZ,51000,50928.0,360.23,468.3,10749.37,-0.532,13.6,5
2020-10-28,BUY_CE_GTZ,50500,50510.0,543.96,707.15,16255.84,0.507,13.2,15
2020-10-29,BUY_CE_GTZ,50500,50259.0,404.81,526.26,12085.44,0.43,13.1,14
2020-11-04,BUY_PE_GTZ,51000,50847.0,608.23,1094.82,48593.62,-0.54,15.0,11
2020-11-09,BUY_PE_GTZ,49500,49680.0,585.98,1054.76,46813.93,-0.45,26.5,6
2020-12-09,BUY_PE_GTZ,49500,49260.0,566.32,1019.38,45242.08,-0.582,17.3,6
2020-12-16,BUY_PE_GTZ,49500,49597.0,365.08,474.61,10894.68,-0.458,17.8,5
2020-12-21,BUY_PE_GTZ,50500,50416.0,460.99,829.78,36818.39,-0.527,17.7,5
2021-01-20,BUY_CE_GTZ,49500,49578.0,577.49,1039.48,46135.06,0.528,23.3,5
2021-01-22,BUY_CE_GTZ,49000,49140.0,607.91,790.29,18172.58,0.546,23.4,5
2021-02-19,BUY_CE_GTZ,46000,46215.0,420.31,546.4,12549.78,0.615,14.0,5
2021-02-22,BUY_CE_GTZ,47000,46900.0,297.03,534.66,23706.94,0.457,15.7,5
2021-02-24,BUY_CE_GTZ,46500,46570.0,377.32,490.52,11261.46,0.536,15.7,5
2021-02-25,BUY_CE_GTZ,46500,46375.0,281.61,366.09,8392.95,0.445,15.7,5
2021-03-05,BUY_CE_GTZ,44500,44650.0,498.13,647.56,14882.12,0.56,14.3,10
2021-04-22,BUY_PE_GTZ,48000,47825.0,515.16,669.71,15392.73,-0.561,18.9,5
2021-04-29,BUY_CE_GTZ,46500,46740.0,843.99,1097.19,25248.07,0.559,19.8,14
2021-05-04,BUY_CE_GTZ,47000,46873.0,538.88,700.54,16103.58,0.472,18.5,11
2021-05-05,BUY_CE_GTZ,47000,46980.0,561.53,729.99,16782.36,0.5,18.5,10
2021-05-11,BUY_PE_GTZ,47500,47640.0,245.74,319.46,7317.81,-0.425,14.0,5
2021-05-25,BUY_PE_GTZ,49000,48852.0,367.56,349.18,-1895.66,-0.578,12.6,5
2021-06-10,BUY_CE_GTZ,49000,49200.0,351.89,633.4,28093.93,0.632,10.4,5
2021-06-21,BUY_CE_GTZ,47000,47051.0,379.5,493.35,11326.88,0.526,16.1,5
2021-06-22,BUY_CE_GTZ,47000,46994.0,341.84,444.39,10198.03,0.5,15.7,5
2021-06-23,BUY_CE_GTZ,47000,47050.0,371.32,352.75,-1914.56,0.526,15.8,5
2021-06-24,BUY_CE_GTZ,47000,46894.0,295.12,280.37,-1531.38,0.455,15.8,5
2021-06-25,BUY_CE_GTZ,47000,46956.0,324.86,422.32,9689.22,0.483,15.8,5
2021-07-02,BUY_PE_GTZ,47500,47339.0,655.83,852.57,19608.57,-0.537,16.1,13
2021-07-08,BUY_PE_GTZ,47500,47747.0,303.9,547.03,24256.25,-0.402,15.8,7
2021-07-19,BUY_PE_GTZ,48000,48109.0,141.83,184.38,4203.6,-0.408,8.5,5
2021-08-11,BUY_CE_GTZ,46500,46374.0,376.82,678.28,30087.77,0.459,20.2,5
2021-08-25,BUY_PE_GTZ,47000,47181.0,381.35,495.75,11382.09,-0.433,21.2,5
2021-08-26,BUY_PE_GTZ,47000,47249.0,332.64,432.43,9922.27,-0.407,20.3,5
2021-08-27,BUY_PE_GTZ,47500,47557.0,421.68,400.59,-2167.8,-0.475,20.3,5
2021-08-31,BUY_CE_GTZ,47000,47135.0,759.04,986.75,22701.97,0.537,20.3,12
2021-09-03,BUY_CE_GTZ,47500,47487.0,410.62,739.11,32790.23,0.498,12.2,12
2021-09-07,BUY_CE_GTZ,47000,46930.0,279.02,265.07,-1450.38,0.467,11.3,8
2021-09-09,BUY_CE_GTZ,47000,46973.0,245.32,318.91,7305.18,0.486,10.8,6
2021-09-14,BUY_CE_GTZ,47500,47293.0,135.89,244.61,10820.45,0.358,10.1,5
2021-09-23,BUY_CE_GTZ,46000,46075.0,328.35,426.85,9793.69,0.544,13.5,5
2021-09-28,BUY_CE_GTZ,46000,45859.0,410.31,533.4,12250.15,0.457,12.9,15
2021-10-12,BUY_PE_GTZ,47000,47210.0,219.04,284.76,6517.77,-0.391,14.2,5
2021-10-15,BUY_PE_GTZ,47000,47214.0,209.92,377.86,16740.31,-0.386,13.9,5
2021-10-19,BUY_PE_GTZ,47500,47300.0,412.48,536.22,12315.11,-0.6,13.7,5
2021-10-22,BUY_PE_GTZ,48000,47799.0,392.0,705.6,31301.6,-0.609,12.5,5
2021-10-26,BUY_PE_GTZ,48000,47829.0,393.75,708.76,31441.74,-0.586,13.4,5
2021-10-28,BUY_PE_GTZ,48000,47988.0,497.39,646.61,14860.19,-0.497,12.7,15
