date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2020-10-09,BUY_PE_GTZ,50900,50872.0,488.2,463.79,-4500.0,-0.504,18.2,6
2020-10-13,BUY_PE_GTZ,50300,50306.0,444.98,800.97,355810.89,-0.493,19.1,5
2020-10-26,BUY_CE_GTZ,51000,50953.0,321.2,578.16,256821.39,0.481,14.5,5
2020-10-27,BUY_PE_GTZ,51000,50978.0,349.11,453.84,104583.34,-0.507,14.2,5
2020-10-28,BUY_CE_GTZ,50500,50483.0,553.02,718.92,165697.55,0.499,13.8,15
2020-11-20,BUY_CE_GTZ,50300,50297.0,591.73,769.25,177301.11,0.505,25.3,5
2020-12-09,BUY_PE_GTZ,49200,49168.0,434.1,781.38,347106.49,-0.507,16.6,6
2020-12-16,BUY_PE_GTZ,49500,49544.0,372.39,484.11,111563.21,-0.478,17.1,5
2020-12-18,BUY_PE_GTZ,50100,50070.0,434.42,564.75,130153.89,-0.507,17.9,5
2020-12-21,BUY_PE_GTZ,50100,50146.0,370.53,481.69,111004.27,-0.477,16.8,5
2020-12-22,BUY_PE_GTZ,49800,49768.0,371.74,483.26,111365.75,-0.51,15.3,5
2020-12-28,BUY_PE_GTZ,49800,49761.0,618.77,1113.79,494789.22,-0.503,14.9,15
2021-01-06,BUY_PE_GTZ,50500,50545.0,533.9,961.02,426915.91,-0.481,17.6,9
2021-01-12,BUY_CE_GTZ,49100,49125.0,539.69,512.71,-27188.38,0.512,23.0,5
2021-01-14,BUY_CE_GTZ,49200,49238.0,540.52,702.67,161951.65,0.516,22.7,5
2021-01-15,BUY_CE_GTZ,48800,48761.0,483.45,628.48,144846.56,0.492,22.1,5
2021-01-20,BUY_CE_GTZ,49500,49525.0,531.37,956.47,424897.17,0.512,22.5,5
2021-01-22,BUY_CE_GTZ,49200,49160.0,496.48,645.42,148752.78,0.492,22.5,5
2021-01-25,BUY_CE_GTZ,49100,49144.0,537.89,699.26,161164.95,0.518,22.5,5
2021-01-28,BUY_CE_GTZ,48700,48672.0,871.78,828.2,-43889.24,0.503,22.6,15
2021-01-29,BUY_CE_GTZ,49100,49127.0,888.99,1155.69,266392.39,0.513,22.9,14
2021-02-08,BUY_CE_GTZ,47700,47737.0,475.39,855.7,380124.09,0.517,17.3,7
2021-02-12,BUY_CE_GTZ,47200,47198.0,373.9,486.07,112013.47,0.503,17.0,5
2021-02-16,BUY_CE_GTZ,46800,46760.0,344.93,327.68,-17393.74,0.486,16.7,5
2021-02-19,BUY_CE_GTZ,46100,46140.0,374.31,486.61,112138.19,0.521,16.5,5
2021-02-22,BUY_CE_GTZ,46800,46773.0,375.89,676.6,300554.05,0.493,17.8,5
2021-02-25,BUY_CE_GTZ,46200,46191.0,379.35,493.16,113649.02,0.5,17.8,5
2021-03-08,BUY_CE_GTZ,44300,44270.0,292.3,277.69,-14747.13,0.487,12.6,7
2021-03-09,BUY_CE_GTZ,44800,44830.0,338.09,608.56,270327.52,0.518,14.1,6
2021-03-12,BUY_CE_GTZ,44800,44767.0,273.97,356.16,82064.63,0.485,13.9,5
2021-03-18,BUY_PE_GTZ,45000,44989.0,281.66,366.16,84368.47,-0.503,13.2,5
2021-03-23,BUY_CE_GTZ,44700,44692.0,235.88,306.64,70648.22,0.497,11.5,5
2021-03-25,BUY_PE_GTZ,44700,44725.0,229.31,298.1,68679.41,-0.48,11.6,5
2021-04-22,BUY_PE_GTZ,47500,47466.0,384.48,692.07,307428.76,-0.51,16.6,5
