date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2020-11-10,BUY_CE_GTZ,220,219.9,8.16,14.68,10191097.13,0.516,80.0,5
2020-12-01,BUY_PE_GTZ,210,209.9,13.13,23.63,16402621.88,-0.469,80.0,14
2020-12-10,BUY_CE_GTZ,190,190.4,7.3,13.14,9118459.16,0.527,80.0,5
2021-02-11,BUY_PE_GTZ,210,209.5,8.08,14.54,10093178.02,-0.491,80.0,5
2021-02-16,BUY_PE_GTZ,225,222.6,9.6,17.29,11999297.74,-0.527,80.0,5
2021-02-18,BUY_PE_GTZ,225,224.7,8.54,15.37,10670150.77,-0.487,80.0,5
2021-04-07,BUY_CE_GTZ,190,189.0,8.12,14.62,10152126.26,0.504,77.1,8
2021-05-03,BUY_PE_GTZ,220,219.3,12.42,16.15,5815926.06,-0.481,76.2,12
2021-05-04,BUY_PE_GTZ,220,218.9,12.09,15.71,5659692.23,-0.488,76.1,11
2021-05-05,BUY_PE_GTZ,220,218.1,11.45,14.89,5363547.89,-0.504,72.6,10
2021-05-14,BUY_PE_GTZ,215,216.4,4.58,8.24,5717450.01,-0.445,52.1,5
2021-06-08,BUY_PE_GTZ,230,229.4,10.44,13.57,4887515.95,-0.487,80.0,7
2021-06-10,BUY_PE_GTZ,230,229.2,8.97,11.66,4201191.87,-0.496,80.0,5
2021-07-06,BUY_PE_GTZ,270,272.3,10.3,18.53,12866404.85,-0.446,67.3,9
2021-07-12,BUY_PE_GTZ,275,277.3,6.42,8.34,3004350.2,-0.438,58.3,5
2021-08-05,BUY_PE_GTZ,310,308.5,12.78,16.61,5983771.04,-0.499,59.0,10
2021-08-06,BUY_PE_GTZ,310,310.0,11.43,10.86,-897949.69,-0.481,59.0,9
2021-08-13,BUY_CE_GTZ,290,288.4,8.5,8.08,-668249.23,0.488,68.8,5
2021-10-06,BUY_PE_GTZ,430,430.2,21.41,38.53,26748330.67,-0.473,80.0,9
2021-11-15,BUY_CE_GTZ,365,366.0,14.14,18.38,6622220.12,0.53,80.0,5
2021-12-03,BUY_CE_GTZ,315,316.1,18.76,24.39,8785024.46,0.537,80.0,12
2022-06-07,BUY_PE_GTZ,720,722.1,32.96,42.85,15436304.37,-0.466,80.0,8
2022-06-08,BUY_PE_GTZ,670,669.0,30.04,54.07,37537153.5,-0.483,80.0,7
2022-06-09,BUY_CE_GTZ,695,694.5,28.14,50.65,35158345.91,0.517,80.0,6
2022-07-12,BUY_PE_GTZ,500,497.5,19.88,35.79,24844090.93,-0.502,80.0,5
2022-07-13,BUY_PE_GTZ,535,534.4,20.25,26.32,9482661.93,-0.486,80.0,5
2022-07-14,BUY_PE_GTZ,530,532.0,18.83,24.48,8816604.5,-0.465,80.0,5
2022-09-02,BUY_CE_GTZ,705,707.4,43.6,56.69,20420018.67,0.538,80.0,13
2022-09-12,BUY_CE_GTZ,660,657.6,23.4,42.12,29236443.91,0.503,80.0,5
2022-09-16,BUY_CE_GTZ,635,633.4,22.87,21.73,-1797093.96,0.507,80.0,5
2022-10-04,BUY_CE_GTZ,560,557.7,29.74,53.54,37165888.15,0.515,80.0,11
2022-12-23,BUY_CE_GTZ,430,430.7,16.41,21.33,7683433.83,0.525,80.0,5
2023-01-31,BUY_CE_GTZ,225,224.4,12.67,16.47,5931785.45,0.52,80.0,12
2023-02-06,BUY_CE_GTZ,200,200.8,10.42,9.9,-819220.23,0.537,80.0,9
2023-03-10,BUY_CE_GTZ,205,203.7,6.99,6.64,-549457.02,0.491,80.0,5
2023-03-13,BUY_CE_GTZ,210,210.2,7.94,14.29,9919568.28,0.522,80.0,5
2023-04-11,BUY_PE_GTZ,180,179.0,7.21,9.37,3375459.41,-0.505,80.0,5
2023-04-12,BUY_PE_GTZ,175,172.8,7.65,13.76,9553785.68,-0.535,80.0,5
2023-04-14,BUY_CE_GTZ,175,173.2,5.64,10.14,7041801.02,0.474,80.0,5
2023-04-26,BUY_PE_GTZ,190,189.0,7.58,13.64,9472138.61,-0.503,80.0,5
2023-04-28,BUY_PE_GTZ,195,197.2,11.57,15.04,5419516.4,-0.439,80.0,15
2023-07-20,BUY_PE_GTZ,225,226.1,7.88,10.24,3688513.89,-0.46,80.0,5
2023-08-22,BUY_CE_GTZ,210,212.2,9.02,8.57,-709079.58,0.562,80.0,5
2023-10-11,BUY_PE_GTZ,280,278.2,11.34,20.41,14165223.39,-0.508,80.0,5
2023-11-13,BUY_CE_GTZ,260,262.5,11.05,19.88,13802732.77,0.559,80.0,5
2023-11-22,BUY_CE_GTZ,240,240.2,9.06,11.78,4241662.82,0.522,80.0,5
2023-12-13,BUY_CE_GTZ,195,197.2,8.47,15.24,10580349.73,0.566,80.0,5
2024-01-02,BUY_PE_GTZ,210,212.4,11.52,20.73,14392340.8,-0.439,80.0,13
2024-01-03,BUY_PE_GTZ,225,222.9,14.0,18.19,6553962.61,-0.496,80.0,12
2024-01-08,BUY_PE_GTZ,240,237.5,11.83,15.38,5539506.68,-0.515,80.0,7
2024-01-12,BUY_PE_GTZ,270,270.8,9.69,12.6,4539280.69,-0.468,80.0,5
2024-01-18,BUY_CE_GTZ,225,225.2,8.5,8.07,-667816.05,0.522,80.0,5
2024-02-16,BUY_CE_GTZ,135,133.7,4.39,5.71,2055555.68,0.477,80.0,5
2024-02-20,BUY_CE_GTZ,130,131.8,5.84,7.59,2732582.23,0.576,80.0,5
2024-03-15,BUY_CE_GTZ,140,138.4,4.43,4.21,-348378.87,0.469,80.0,5
2024-04-03,BUY_PE_GTZ,155,155.3,8.8,11.44,4122107.51,-0.465,80.0,12
2024-04-09,BUY_PE_GTZ,155,155.1,6.29,8.17,2943282.36,-0.477,80.0,6
