date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2020-10-28,BUY_CE_GTZ,60000,60138.0,2168.48,2819.03,584877.13,0.527,43.3,15
2020-10-29,BUY_CE_GTZ,60000,60172.0,1895.83,3412.5,1364457.05,0.529,38.6,14
2021-01-06,BUY_PE_GTZ,69500,69417.0,1659.52,2987.14,1194377.16,-0.496,37.2,9
2021-01-15,BUY_CE_GTZ,65000,64915.0,1620.72,2106.94,437125.5,0.504,54.9,5
2021-01-28,BUY_PE_GTZ,67500,67595.0,2791.89,5025.41,2009388.49,-0.472,52.1,15
2021-03-18,BUY_PE_GTZ,67500,67720.0,812.04,1055.66,218992.49,-0.455,29.1,5
2021-03-25,BUY_CE_GTZ,65000,64910.0,793.1,1427.58,570777.35,0.489,27.6,5
2021-03-31,BUY_CE_GTZ,63500,63715.0,1255.75,2260.34,903763.02,0.538,24.9,12
2021-04-20,BUY_PE_GTZ,69000,68760.0,1001.51,1301.97,270100.06,-0.537,27.3,5
2021-04-22,BUY_PE_GTZ,69000,69185.0,791.52,1424.73,569637.02,-0.46,27.3,5
2021-05-10,BUY_PE_GTZ,71500,71632.0,1060.13,1378.17,285911.44,-0.473,33.7,5
2021-05-11,BUY_PE_GTZ,72000,71950.0,1127.7,1071.31,-51087.81,-0.499,32.8,5
2021-05-12,BUY_PE_GTZ,71000,71120.0,1051.03,1366.34,283456.26,-0.475,33.5,5
2021-05-18,BUY_PE_GTZ,73000,73249.0,1047.76,1362.09,282574.25,-0.458,34.2,5
2021-05-21,BUY_CE_GTZ,71000,71100.0,1235.03,1605.54,333088.03,0.521,35.7,5
2021-05-28,BUY_CE_GTZ,71500,71530.0,2054.38,2670.7,554099.95,0.515,35.4,15
2021-06-03,BUY_CE_GTZ,71000,70850.0,1205.38,1566.99,325090.95,0.489,25.0,12
2021-07-08,BUY_PE_GTZ,69000,68965.0,1110.97,1444.26,299624.56,-0.497,28.7,7
2021-07-12,BUY_PE_GTZ,69500,69400.0,983.27,934.11,-44550.94,-0.51,28.8,5
2021-07-16,BUY_CE_GTZ,68500,68345.0,435.23,565.8,117350.54,0.455,15.9,5
2021-07-22,BUY_CE_GTZ,67500,67409.0,536.08,964.95,385792.72,0.479,18.4,5
2021-07-23,BUY_CE_GTZ,67000,67050.0,605.11,786.64,163173.22,0.518,18.5,5
2021-08-04,BUY_PE_GTZ,67500,67605.0,924.59,1664.26,665413.63,-0.475,20.9,11
2021-08-27,BUY_PE_GTZ,64000,63751.0,1016.78,965.94,-46067.77,-0.537,29.8,5
2021-09-08,BUY_PE_GTZ,64000,64150.0,890.32,1602.58,640753.53,-0.467,27.2,7
2021-09-13,BUY_CE_GTZ,63500,63300.0,632.77,1138.99,455384.59,0.462,24.6,5
2021-09-14,BUY_CE_GTZ,63500,63660.0,812.03,1461.66,584404.54,0.54,24.6,5
2021-09-24,BUY_CE_GTZ,60000,59920.0,770.11,1001.15,207682.63,0.491,28.9,5
2021-09-28,BUY_CE_GTZ,60500,60450.0,1415.95,2548.71,1019066.43,0.505,29.5,15
2021-10-22,BUY_PE_GTZ,65500,65620.0,786.71,1416.08,566178.32,-0.471,27.6,5
2021-11-16,BUY_PE_GTZ,66500,66285.0,965.31,1737.56,694723.04,-0.533,27.6,5
2021-11-22,BUY_CE_GTZ,64500,64655.0,870.99,827.44,-39469.25,0.537,26.3,5
2021-12-09,BUY_CE_GTZ,61000,60806.0,665.69,865.4,179516.09,0.465,24.4,6
2021-12-10,BUY_CE_GTZ,61000,61122.0,725.48,943.13,195644.25,0.534,23.3,5
2021-12-14,BUY_CE_GTZ,61000,60814.0,592.17,769.83,159685.05,0.462,24.0,5
2021-12-16,BUY_CE_GTZ,62000,62149.0,930.4,1674.72,669599.47,0.534,29.5,5
2021-12-21,BUY_PE_GTZ,62000,61780.0,964.76,1254.19,260187.22,-0.534,29.5,5
2021-12-27,BUY_PE_GTZ,62500,62342.0,756.85,983.9,204104.73,-0.531,23.2,5
2021-12-28,BUY_PE_GTZ,62500,62512.0,1147.84,2066.12,826101.49,-0.488,22.9,15
2022-01-03,BUY_CE_GTZ,62000,61802.0,969.42,1260.25,261443.34,0.478,23.8,12
2022-02-01,BUY_CE_GTZ,61500,61418.0,1408.78,1831.41,379955.48,0.502,30.3,14
2022-05-04,BUY_CE_GTZ,62000,62080.0,2274.59,2160.86,-102997.41,0.523,52.1,11
2022-05-05,BUY_CE_GTZ,62500,62342.0,2059.24,1956.28,-93250.44,0.505,52.0,10
2022-05-06,BUY_CE_GTZ,62500,62520.0,2040.35,2652.46,550314.81,0.517,51.9,9
2022-05-23,BUY_PE_GTZ,61500,61365.0,1553.89,2020.06,419097.38,-0.502,51.8,5
2022-05-27,BUY_PE_GTZ,62000,62179.0,1286.51,1672.47,346975.59,-0.468,47.4,5
2022-05-31,BUY_CE_GTZ,61000,61124.0,1306.51,1698.46,352368.64,0.525,28.2,12
2022-06-01,BUY_CE_GTZ,61500,61590.0,1363.74,2454.73,981490.42,0.52,27.5,14
2022-06-03,BUY_PE_GTZ,61500,61660.0,1190.65,2143.16,856907.22,-0.469,28.5,12
2022-06-06,BUY_PE_GTZ,62500,62332.0,1168.85,1519.51,315238.49,-0.515,27.7,9
2022-06-09,BUY_CE_GTZ,61500,61445.0,647.82,842.16,174694.68,0.492,21.5,6
2022-06-10,BUY_CE_GTZ,62000,61920.0,572.94,1031.3,412321.76,0.484,21.2,5
2022-06-13,BUY_CE_GTZ,60500,60309.0,514.53,668.89,138741.61,0.455,21.5,5
2022-06-15,BUY_CE_GTZ,61000,60869.0,640.78,1153.4,461145.85,0.476,24.8,5
2022-06-23,BUY_CE_GTZ,59500,59483.0,722.77,686.63,-32760.63,0.502,26.3,5
2022-06-24,BUY_CE_GTZ,60000,59755.0,617.26,1111.07,444220.72,0.453,26.2,5
2022-07-12,BUY_CE_GTZ,56500,56471.0,968.24,1258.71,261124.27,0.504,37.3,5
2022-07-21,BUY_CE_GTZ,55500,55440.0,966.26,1739.27,695407.61,0.499,38.5,5
2022-07-25,BUY_CE_GTZ,54500,54400.0,908.51,1181.06,245013.67,0.492,37.7,5
2022-07-26,BUY_CE_GTZ,55000,54750.0,848.95,1103.64,228947.87,0.467,37.8,5
2022-07-27,BUY_CE_GTZ,55000,54911.0,930.32,1209.42,250896.31,0.494,38.0,5
2022-08-02,BUY_PE_GTZ,57500,57500.0,1973.4,3552.12,1420287.65,-0.482,45.7,13
2022-08-04,BUY_PE_GTZ,58000,58010.0,1340.13,1742.17,361438.64,-0.486,33.6,11
2022-08-26,BUY_CE_GTZ,55000,54816.0,606.62,576.29,-27503.61,0.464,27.1,5
2022-09-23,BUY_PE_GTZ,56500,56275.0,1049.43,1888.98,755271.0,-0.53,35.5,5
2022-09-26,BUY_CE_GTZ,55500,55315.0,841.33,799.26,-38126.49,0.476,36.0,5
2022-09-27,BUY_CE_GTZ,55500,55430.0,890.38,845.86,-40346.68,0.496,35.7,5
2022-09-28,BUY_CE_GTZ,56500,56530.0,1654.24,2977.63,1190571.25,0.516,36.0,15
2022-11-11,BUY_PE_GTZ,61500,61619.0,664.03,1195.25,477877.64,-0.468,25.1,5
2022-11-15,BUY_PE_GTZ,61500,61576.0,725.96,1306.74,522457.47,-0.478,26.6,5
2022-12-22,BUY_PE_GTZ,68500,68470.0,1076.96,1938.52,775081.69,-0.496,33.2,5
2022-12-27,BUY_PE_GTZ,70000,69780.0,1139.76,1481.68,307389.26,-0.526,31.5,5
2022-12-28,BUY_PE_GTZ,69000,69127.0,1711.45,2224.88,461597.51,-0.475,31.9,15
2022-12-30,BUY_PE_GTZ,69500,69370.0,1605.07,2086.59,432901.81,-0.501,29.5,13
2023-01-03,BUY_PE_GTZ,70000,69920.0,1328.44,2391.2,956084.76,-0.5,25.5,12
2023-01-18,BUY_CE_GTZ,68000,68250.0,798.41,758.49,-36183.9,0.564,21.0,5
2023-01-19,BUY_CE_GTZ,68500,68410.0,573.13,1031.63,412453.39,0.481,19.3,5
2023-01-23,BUY_CE_GTZ,68000,68080.0,651.86,1173.35,469121.27,0.525,19.3,5
2023-02-14,BUY_CE_GTZ,66500,66297.0,613.25,797.22,165369.21,0.46,22.9,5
2023-02-17,BUY_CE_GTZ,65500,65600.0,753.27,1355.89,542110.68,0.528,23.0,5
