date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2020-10-28,BUY_CE_GTZ,60000,60153.0,2122.44,2759.17,15855.73,0.528,42.2,15
2020-10-29,BUY_CE_GTZ,60000,60206.0,1894.4,3409.93,37827.13,0.532,38.2,14
2020-12-01,BUY_PE_GTZ,63500,63317.0,2859.71,2716.72,-3642.57,-0.487,56.0,14
2020-12-02,BUY_PE_GTZ,63500,63306.0,2569.42,3340.25,19204.84,-0.492,51.9,13
2020-12-04,BUY_PE_GTZ,64000,63805.0,1790.51,2327.67,13368.66,-0.504,38.3,11
2021-01-06,BUY_PE_GTZ,69500,69352.0,1648.65,2967.58,32913.93,-0.503,36.2,9
2021-01-15,BUY_CE_GTZ,64500,64737.0,1729.02,2247.73,12907.91,0.535,53.3,5
2021-01-28,BUY_PE_GTZ,67500,67597.0,2720.83,4897.49,54349.68,-0.473,50.8,15
2021-03-02,BUY_CE_GTZ,69500,69322.0,1449.56,2609.21,28933.53,0.492,29.5,13
2021-03-03,BUY_CE_GTZ,68000,68012.0,1494.0,1942.19,11146.93,0.511,30.3,12
2021-03-08,BUY_CE_GTZ,66000,65900.0,967.29,1257.48,7200.46,0.491,27.9,7
2021-03-18,BUY_PE_GTZ,68000,67781.0,1074.15,1396.4,8001.15,-0.529,30.3,5
2021-03-22,BUY_CE_GTZ,66500,66559.0,934.69,1215.1,6956.22,0.517,29.2,5
2021-03-25,BUY_CE_GTZ,65000,65101.0,910.75,1639.35,18161.2,0.525,28.3,5
2021-04-20,BUY_PE_GTZ,68500,68724.0,732.15,951.79,5438.58,-0.451,26.2,5
2021-05-07,BUY_PE_GTZ,71500,71470.0,1206.63,1568.62,8993.8,-0.495,28.3,8
2021-05-10,BUY_PE_GTZ,71500,71617.0,856.4,1113.32,6369.57,-0.473,27.4,5
2021-05-11,BUY_PE_GTZ,72000,71910.0,940.44,893.42,-1229.57,-0.509,26.7,5
2021-05-12,BUY_PE_GTZ,71000,71150.0,812.38,1462.28,16194.52,-0.466,26.7,5
2021-05-21,BUY_CE_GTZ,71000,71130.0,1039.41,1351.23,7740.83,0.528,29.4,5
2021-06-03,BUY_CE_GTZ,71000,70895.0,1180.11,1534.15,8795.1,0.494,24.1,12
2021-07-06,BUY_PE_GTZ,69500,69682.0,1201.72,2163.09,23978.46,-0.468,29.7,9
2021-07-22,BUY_CE_GTZ,67500,67619.0,694.93,903.41,5159.75,0.534,20.1,5
2021-07-23,BUY_CE_GTZ,67500,67279.0,530.0,689.01,3923.99,0.449,20.2,5
2021-08-04,BUY_PE_GTZ,68000,67819.0,1017.85,1832.13,20302.4,-0.523,19.7,11
2021-09-02,BUY_PE_GTZ,63500,63578.0,1441.66,1874.16,10754.79,-0.479,31.0,13
2021-09-07,BUY_PE_GTZ,65000,64880.0,1073.99,1396.19,7999.96,-0.51,26.4,8
2021-09-08,BUY_PE_GTZ,64500,64420.0,991.99,1289.59,7385.54,-0.505,26.8,7
2021-09-13,BUY_CE_GTZ,63500,63520.0,731.72,951.24,5435.43,0.51,24.4,5
2021-09-14,BUY_CE_GTZ,64000,63889.0,673.28,1211.91,13413.6,0.481,24.4,5
2021-09-15,BUY_CE_GTZ,63500,63544.0,729.03,947.74,5415.27,0.515,23.9,5
2021-09-24,BUY_CE_GTZ,60000,60200.0,943.45,1226.48,7021.83,0.544,30.0,5
2021-09-28,BUY_CE_GTZ,60500,60675.0,1547.92,2012.3,11551.01,0.53,29.9,15
2021-10-04,BUY_PE_GTZ,61000,61125.0,1236.8,1174.96,-1602.17,-0.473,30.8,11
2021-10-06,BUY_PE_GTZ,61000,61249.0,1052.47,999.84,-1370.41,-0.456,30.7,9
2021-10-22,BUY_PE_GTZ,66000,65761.0,925.62,1666.12,18458.55,-0.541,26.0,5
2021-11-16,BUY_PE_GTZ,66500,66415.0,853.3,1535.95,17012.7,-0.51,26.1,5
2021-12-03,BUY_CE_GTZ,62000,61780.0,1037.67,1348.97,7727.79,0.478,25.6,12
2021-12-07,BUY_CE_GTZ,62000,62090.0,980.24,1274.31,7297.47,0.522,25.5,8
2021-12-09,BUY_CE_GTZ,61000,61095.0,771.01,1002.32,5729.8,0.526,23.2,6
2021-12-10,BUY_CE_GTZ,61500,61391.0,580.44,754.57,4301.86,0.477,22.1,5
2021-12-14,BUY_CE_GTZ,61000,61120.0,710.76,923.99,5278.33,0.534,22.8,5
2021-12-16,BUY_CE_GTZ,62500,62407.0,770.21,1386.38,15351.47,0.488,28.0,5
2021-12-21,BUY_PE_GTZ,62000,62092.0,764.67,994.07,5682.27,-0.475,28.0,5
2021-12-27,BUY_PE_GTZ,62500,62640.0,532.31,692.0,3941.24,-0.458,20.5,5
2021-12-28,BUY_PE_GTZ,63000,62797.0,1138.8,1480.43,8485.51,-0.521,20.4,15
2022-01-03,BUY_CE_GTZ,62000,62073.0,1020.2,1326.26,7596.91,0.519,22.0,12
2022-01-04,BUY_CE_GTZ,62500,62470.0,928.47,1207.01,6909.61,0.502,21.8,11
2022-01-14,BUY_PE_GTZ,62000,61900.0,619.45,1115.01,12337.27,-0.523,19.7,5
2022-02-01,BUY_CE_GTZ,61500,61749.0,1537.51,1998.76,11472.98,0.538,29.4,14
2022-05-02,BUY_CE_GTZ,63500,63300.0,1376.5,1789.46,10266.61,0.489,31.0,13
2022-05-04,BUY_CE_GTZ,62500,62434.0,1319.05,1253.1,-1705.57,0.502,31.3,11
2022-05-05,BUY_CE_GTZ,62500,62671.0,1379.64,1310.66,-1781.75,0.53,31.3,10
2022-05-06,BUY_CE_GTZ,63000,62900.0,1136.74,1477.77,8470.13,0.495,30.1,9
2022-05-27,BUY_PE_GTZ,62500,62422.0,912.11,1185.74,6787.0,-0.507,29.9,5
2022-05-31,BUY_CE_GTZ,61500,61415.0,1175.4,1528.02,8759.75,0.498,27.4,12
2022-06-03,BUY_PE_GTZ,62000,61956.0,1259.26,2266.66,25128.78,-0.495,27.7,12
2022-06-10,BUY_CE_GTZ,62000,62198.0,693.92,1249.06,13826.17,0.557,20.4,5
2022-06-13,BUY_CE_GTZ,60500,60627.0,651.6,847.08,4835.1,0.539,20.7,5
2022-06-15,BUY_CE_GTZ,61000,61115.0,730.36,1314.65,14554.74,0.532,23.6,5
2022-09-21,BUY_PE_GTZ,57500,57689.0,1432.69,1862.5,10687.61,-0.467,56.8,5
2022-09-26,BUY_CE_GTZ,56000,55831.0,1446.2,1373.89,-1865.43,0.496,58.6,5
2022-09-27,BUY_CE_GTZ,56000,55945.0,1502.91,1427.76,-1936.73,0.508,58.6,5
2022-09-28,BUY_CE_GTZ,57000,56911.0,2681.26,4826.28,53558.64,0.517,59.4,15
2022-11-10,BUY_PE_GTZ,62000,62205.0,738.79,960.43,5488.4,-0.454,28.9,5
2022-11-11,BUY_PE_GTZ,62000,61854.0,749.43,1348.97,14935.87,-0.529,23.3,5
2022-12-15,BUY_PE_GTZ,68000,67834.0,1192.19,2145.94,23787.93,-0.515,35.0,5
2022-12-22,BUY_PE_GTZ,68500,68490.0,1229.76,2213.56,24539.01,-0.492,38.3,5
2022-12-27,BUY_PE_GTZ,70000,69818.0,1213.65,1577.75,9046.41,-0.517,34.4,5
2022-12-30,BUY_PE_GTZ,69500,69305.0,1478.22,1921.68,11028.72,-0.511,26.5,13
2023-01-03,BUY_PE_GTZ,70000,69891.0,1306.14,2351.05,26066.07,-0.504,24.8,12
2023-01-18,BUY_CE_GTZ,68500,68343.0,563.01,534.86,-755.05,0.465,20.0,5
2023-01-19,BUY_CE_GTZ,68500,68530.0,608.45,1095.21,12117.36,0.512,18.6,5
2023-01-23,BUY_CE_GTZ,68000,68240.0,712.37,1282.26,14194.95,0.569,18.4,5
2023-02-01,BUY_PE_GTZ,69500,69701.0,847.88,1102.24,6305.75,-0.458,17.4,14
2023-02-03,BUY_CE_GTZ,68000,67800.0,1029.78,1338.71,7668.67,0.479,23.0,12
2023-02-14,BUY_CE_GTZ,66500,66476.0,629.57,818.44,4670.01,0.498,20.7,5
2023-03-07,BUY_CE_GTZ,62500,62566.0,913.31,867.64,-1195.46,0.518,23.9,8
2023-03-09,BUY_CE_GTZ,62500,62264.0,640.29,832.38,4750.33,0.456,23.6,6
2023-03-10,BUY_CE_GTZ,63000,63140.0,808.59,1455.46,16118.72,0.536,25.0,5
2023-05-01,BUY_PE_GTZ,75500,75391.0,1452.51,2614.52,28992.53,-0.502,23.8,14
2023-05-05,BUY_PE_GTZ,77000,76840.0,1171.17,2108.11,23367.78,-0.515,21.5,10
2023-05-10,BUY_PE_GTZ,76500,76502.0,750.93,1351.68,14966.0,-0.494,21.1,5
2023-05-11,BUY_CE_GTZ,74000,73788.0,800.08,760.08,-1053.1,0.468,26.2,5
2023-05-16,BUY_CE_GTZ,72500,72580.0,894.63,849.9,-1171.97,0.52,25.2,5
2023-05-19,BUY_CE_GTZ,73500,73338.0,818.73,1473.71,16321.39,0.477,26.2,5
2023-05-23,BUY_CE_GTZ,72000,72178.0,982.73,1277.54,7316.12,0.537,26.5,5
2023-05-31,BUY_CE_GTZ,72000,72158.0,1490.6,2683.07,29753.92,0.526,27.1,12
2023-06-07,BUY_PE_GTZ,72000,71791.0,1152.3,2074.14,22990.43,-0.524,24.6,8
2023-06-13,BUY_PE_GTZ,72000,72120.0,701.23,1262.21,13972.31,-0.469,22.6,5
2023-06-15,BUY_CE_GTZ,72000,72125.0,835.65,1504.16,16659.66,0.531,23.0,5
2023-07-07,BUY_PE_GTZ,71500,71350.0,1163.89,1105.7,-1510.5,-0.514,25.8,8
2023-07-10,BUY_PE_GTZ,71500,71380.0,907.57,862.19,-1188.24,-0.516,25.4,5
2023-07-11,BUY_PE_GTZ,71000,71150.0,753.14,979.08,5595.88,-0.465,24.9,5
2023-07-20,BUY_PE_GTZ,75500,75290.0,996.56,1793.8,19876.69,-0.531,25.2,5
2023-07-27,BUY_CE_GTZ,73500,73717.0,1045.51,1359.17,7786.58,0.543,27.2,5
2023-08-10,BUY_CE_GTZ,70000,70120.0,763.37,725.21,-1006.95,0.532,21.5,5
2023-08-17,BUY_CE_GTZ,70000,70190.0,764.08,993.31,5677.88,0.55,20.3,5
2023-09-08,BUY_CE_GTZ,71500,71700.0,944.42,897.2,-1234.58,0.543,21.3,7
2023-09-11,BUY_CE_GTZ,72000,72018.0,725.78,943.51,5390.86,0.509,21.3,5
2023-09-12,BUY_CE_GTZ,72000,72001.0,716.82,931.87,5323.75,0.505,21.3,5
2023-09-13,BUY_CE_GTZ,71500,71533.0,735.84,699.05,-972.34,0.512,21.6,5
2023-09-21,BUY_PE_GTZ,73000,73070.0,578.0,549.1,-773.89,-0.477,18.0,5
2023-09-25,BUY_PE_GTZ,72000,72220.0,552.34,994.21,10995.57,-0.442,19.5,5
2023-09-29,BUY_PE_GTZ,70000,70015.0,980.93,1765.68,19564.38,-0.489,18.1,14
2023-11-03,BUY_CE_GTZ,72500,72292.0,1038.61,1869.5,20717.48,0.478,21.8,12
2023-11-15,BUY_PE_GTZ,72500,72360.0,855.38,1112.0,6361.96,-0.523,23.2,5
2023-12-14,BUY_CE_GTZ,75000,75018.0,1164.55,2096.18,23235.28,0.51,33.0,5
2023-12-20,BUY_PE_GTZ,75500,75430.0,1198.16,1557.61,8930.35,-0.501,33.0,5
2024-01-12,BUY_CE_GTZ,72500,72600.0,613.15,1103.66,12211.29,0.532,16.6,5
2024-02-01,BUY_CE_GTZ,72500,72310.0,645.09,1161.17,12849.99,0.463,13.0,14
2024-02-02,BUY_CE_GTZ,71500,71337.0,698.68,908.29,5187.86,0.471,14.5,13
2024-02-12,BUY_CE_GTZ,71000,71089.0,480.32,624.42,3551.72,0.535,13.1,5
2024-03-07,BUY_PE_GTZ,74500,74302.0,1319.91,1253.92,-1706.66,-0.517,27.8,8
2024-03-12,BUY_PE_GTZ,74000,73903.0,959.53,1247.39,7142.31,-0.51,26.4,5
2024-03-21,BUY_PE_GTZ,75000,75082.0,828.31,1490.95,16512.91,-0.479,24.8,5
2024-03-22,BUY_CE_GTZ,75000,74776.0,767.03,997.13,5699.93,0.465,25.0,5
2024-03-26,BUY_CE_GTZ,74500,74555.0,870.16,1131.21,6472.71,0.516,24.2,5
2024-03-28,BUY_CE_GTZ,75000,75040.0,1470.09,1911.11,10967.8,0.513,24.0,15
2024-04-01,BUY_CE_GTZ,75500,75452.0,748.21,972.67,5558.92,0.494,13.1,14
2024-04-12,BUY_PE_GTZ,82500,82714.0,534.26,961.68,10634.21,-0.442,16.5,5
2024-05-14,BUY_PE_GTZ,85500,85271.0,1183.88,1539.05,8823.33,-0.527,26.8,5
2024-05-28,BUY_PE_GTZ,95500,95315.0,3174.78,4127.22,23740.64,-0.492,40.1,15
2024-05-29,BUY_PE_GTZ,96000,95984.0,2949.92,2802.43,-3755.99,-0.484,39.3,14
2024-05-30,BUY_PE_GTZ,94000,94045.0,2907.69,5233.85,58085.6,-0.481,41.5,13
2024-06-03,BUY_CE_GTZ,92000,91985.0,2874.24,3736.52,21488.8,0.514,43.4,12
2024-06-07,BUY_CE_GTZ,89000,89100.0,2909.95,2764.45,-3705.74,0.521,54.5,8
2024-07-02,BUY_PE_GTZ,90000,89928.0,2858.02,3715.43,21367.25,-0.487,41.8,13
2024-07-09,BUY_PE_GTZ,93000,92882.0,1530.01,1989.02,11416.8,-0.504,31.0,6
2024-07-12,BUY_PE_GTZ,93000,93031.0,1168.72,1519.34,8709.75,-0.489,27.3,5
2024-07-16,BUY_PE_GTZ,94000,93767.0,1342.7,1275.57,-1735.32,-0.523,27.9,5
2024-09-03,BUY_CE_GTZ,83500,83330.0,1592.83,2070.68,11887.49,0.493,27.8,12
2024-09-06,BUY_CE_GTZ,83000,82834.0,1477.0,1920.1,11019.57,0.492,30.1,9
2024-09-19,BUY_PE_GTZ,90000,89837.0,1316.61,1711.59,9817.79,-0.514,29.4,5
2024-09-20,BUY_PE_GTZ,90000,90070.0,1171.11,1522.44,8727.63,-0.484,28.7,5
2024-09-23,BUY_PE_GTZ,89000,89183.0,1129.88,1468.85,8418.72,-0.469,29.3,5
2024-09-26,BUY_PE_GTZ,92500,92540.0,1325.54,1723.2,9884.72,-0.488,31.2,5
2024-10-04,BUY_PE_GTZ,93000,93245.0,1882.09,3387.77,37581.04,-0.469,31.1,11
