date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte,cpr_width
2020-09-24,BUY_PE_CPR,20450,20456.85,132.64,238.76,1543.52,-0.485,0.00115,-70.67,32.3,1,0.279
2020-09-29,SELL_CE_CPR,22050,21411.3,51.33,24.03,361.47,0.161,0.0004,-25.58,31.6,3,0.883
2020-09-29,SELL_PE_CPR,21300,21411.3,187.89,244.65,-901.77,-0.415,0.00063,-41.53,31.6,3,0.883
2020-10-05,SELL_CE_CPR,22600,22370.95,230.49,439.65,-3010.03,0.404,0.00048,-40.95,34.7,4,0.796
2020-10-09,BUY_CE_CPR,23850,23846.8,180.82,325.48,2121.32,0.505,0.00088,-92.26,36.2,1,0.184
2020-10-12,SELL_CE_CPR,24250,23712.8,161.66,76.99,1220.21,0.291,0.00038,-39.89,36.4,4,0.924
2020-10-12,SELL_PE_CPR,23400,23712.8,216.8,174.5,583.7,-0.35,0.00041,-43.3,36.4,4,0.924
2020-10-16,SELL_CE_CPR,23700,23533.25,122.64,98.11,318.66,0.372,0.00078,-92.81,39.2,1,1.295
2020-10-20,SELL_CE_CPR,24600,24311.8,209.54,73.77,1985.83,0.376,0.00046,-53.44,37.2,3,0.628
2020-10-20,SELL_PE_CPR,23950,24311.8,171.08,161.12,99.19,-0.317,0.00043,-50.05,37.2,3,0.628
2020-10-21,BUY_CE_CPR,24650,24635.05,262.77,472.99,3104.11,0.502,0.0006,-68.61,36.5,2,0.234
2020-10-26,BUY_PE_CPR,24100,24075.45,338.03,608.46,4006.64,-0.497,0.00048,-43.97,33.2,4,0.233
2020-10-29,SELL_PE_CPR,23850,24092.0,76.12,54.65,273.53,-0.281,0.00078,-74.22,34.3,1,0.517
2020-10-30,BUY_PE_CPR,23900,23900.9,157.76,283.96,1844.7,-0.492,0.00099,-82.27,32.1,1,0.032
2020-11-02,BUY_CE_CPR,24900,24892.5,374.29,673.72,4441.48,0.512,0.00043,-48.34,35.5,4,0.118
2020-11-04,SELL_CE_CPR,26050,25771.6,165.26,24.5,2061.42,0.355,0.00053,-66.49,36.5,2,0.672
2020-11-04,SELL_PE_CPR,25300,25771.6,99.27,198.54,-1537.9,-0.239,0.00045,-55.14,36.5,2,0.672
2020-11-11,SELL_CE_CPR,29100,28845.0,217.76,25.22,2837.2,0.388,0.00047,-79.76,38.1,2,0.569
2020-11-11,SELL_PE_CPR,28100,28845.0,74.6,74.36,-44.89,-0.17,0.00031,-52.23,38.1,2,0.569
2020-11-13,BUY_CE_CPR,28450,28465.7,220.43,396.77,2596.25,0.519,0.00076,-107.45,35.3,1,0.212
2020-11-17,BUY_CE_CPR,29200,29181.3,361.47,650.65,4287.79,0.505,0.00044,-63.06,34.4,3,0.005
2020-11-20,SELL_CE_CPR,29350,29236.0,178.24,85.82,1336.15,0.429,0.00069,-114.42,37.4,1,0.73
2020-11-20,SELL_PE_CPR,28450,29236.0,20.56,0.05,260.12,-0.079,0.00026,-42.48,37.4,1,0.73
2020-11-23,SELL_CE_CPR,29700,29024.2,193.48,125.17,974.06,0.286,0.00031,-48.48,36.4,4,0.556
2020-11-23,SELL_PE_CPR,28800,29024.2,328.14,217.41,1608.28,-0.405,0.00035,-55.77,36.4,4,0.556
2020-11-25,SELL_CE_CPR,30100,29196.4,49.07,98.14,-784.06,0.129,0.00027,-41.13,35.6,2,0.502
2020-11-26,SELL_CE_CPR,29800,29549.75,115.95,92.76,298.7,0.329,0.00067,-99.62,35.0,1,1.057
2020-11-26,SELL_PE_CPR,28600,29549.75,7.72,0.05,67.71,-0.036,0.00015,-21.44,35.0,1,1.057
2020-11-27,SELL_CE_CPR,29950,29609.05,86.19,0.05,1243.52,0.268,0.00062,-88.98,34.3,1,0.623
2020-11-27,SELL_PE_CPR,29150,29609.05,54.94,0.26,772.12,-0.187,0.00051,-72.43,34.3,1,0.623
2020-12-01,BUY_CE_CPR,29800,29817.85,360.04,648.08,4270.61,0.521,0.00046,-59.81,31.8,3,0.148
2020-12-02,BUY_PE_CPR,29450,29463.15,261.49,470.69,3088.77,-0.482,0.00058,-70.82,31.4,2,0.232
2020-12-03,BUY_PE_CPR,29450,29448.75,191.84,163.07,-480.28,-0.493,0.00082,-99.53,31.5,1,0.124
2020-12-07,SELL_CE_CPR,30450,30211.55,294.68,108.79,2736.09,0.419,0.0004,-50.23,31.1,4,0.517
2020-12-08,BUY_CE_CPR,30250,30261.9,339.86,611.75,4028.56,0.519,0.00049,-56.97,29.8,3,0.13
2020-12-09,BUY_CE_CPR,30700,30709.4,250.52,450.94,2957.17,0.517,0.00066,-62.8,26.5,2,0.146
2020-12-11,BUY_CE_CPR,30600,30604.85,164.24,295.63,1922.42,0.513,0.001,-82.26,24.9,1,0.227
2020-12-14,BUY_CE_CPR,30750,30745.9,328.16,590.7,3888.31,0.514,0.0005,-42.64,24.9,4,0.075
2020-12-15,BUY_PE_CPR,30700,30691.05,273.42,492.16,3231.79,-0.491,0.00057,-48.92,25.0,3,0.024
2020-12-16,BUY_CE_CPR,30700,30698.4,221.56,398.81,2609.86,0.51,0.00073,-56.96,23.9,2,0.25
2020-12-17,BUY_CE_CPR,30850,30847.05,148.47,267.25,1733.32,0.505,0.00108,-76.34,22.9,1,0.132
2020-12-18,BUY_PE_CPR,30700,30714.65,111.57,200.83,1290.83,-0.472,0.00131,-63.15,18.9,1,0.114
2020-12-21,BUY_PE_CPR,29450,29456.45,305.72,550.29,3619.1,-0.481,0.0005,-42.46,26.0,4,0.227
2020-12-22,SELL_PE_CPR,28700,29625.95,26.24,3.09,299.56,-0.082,0.00022,-17.99,25.8,3,1.008
2020-12-23,SELL_CE_CPR,30050,29883.3,144.22,115.38,383.04,0.389,0.00072,-53.12,24.1,2,0.629
2020-12-23,SELL_PE_CPR,29200,29883.3,23.14,45.13,-377.38,-0.092,0.00031,-22.58,24.1,2,0.629
2020-12-28,BUY_CE_CPR,30900,30880.95,310.49,558.88,3676.35,0.507,0.00051,-41.35,24.0,4,0.271
2021-01-01,BUY_PE_CPR,31250,31225.85,164.16,139.54,-417.8,-0.517,0.00103,-80.16,23.7,1,0.033
2021-01-04,BUY_PE_CPR,31200,31212.45,276.58,497.85,3269.74,-0.477,0.00054,-39.35,22.5,4,0.129
2021-01-05,BUY_CE_CPR,31700,31722.25,286.67,516.01,3390.69,0.528,0.0006,-47.29,23.3,3,0.044
2021-01-06,SELL_CE_CPR,32200,31797.9,77.42,2.5,1075.34,0.242,0.00057,-44.05,23.3,2,0.777
2021-01-06,SELL_PE_CPR,31250,31797.9,42.62,51.47,-180.65,-0.149,0.00042,-32.66,23.3,2,0.777
2021-01-07,BUY_CE_CPR,31950,31956.0,157.28,283.11,1839.0,0.515,0.00105,-78.55,22.7,1,0.068
2021-01-08,BUY_CE_CPR,32100,32084.2,145.12,261.21,1693.13,0.492,0.00106,-77.81,22.4,1,0.184
2021-01-11,BUY_PE_CPR,32000,31998.9,289.84,521.71,3428.66,-0.484,0.00053,-40.36,22.5,4,0.138
2021-01-12,BUY_CE_CPR,32350,32339.0,269.09,484.37,3179.9,0.508,0.0006,-47.2,22.7,3,0.132
2021-01-13,SELL_CE_CPR,32700,32574.65,166.94,133.55,450.81,0.421,0.00071,-56.03,22.7,2,0.567
2021-01-13,SELL_PE_CPR,31950,32574.65,32.28,56.82,-415.85,-0.119,0.00036,-27.96,22.7,2,0.567
2021-01-15,BUY_PE_CPR,32250,32246.8,155.16,279.3,1813.61,-0.495,0.00102,-81.08,23.2,1,0.126
2021-01-18,BUY_PE_CPR,31800,31811.75,301.59,542.86,3569.6,-0.478,0.0005,-42.53,24.0,4,0.1
2021-01-20,SELL_CE_CPR,32750,32543.7,77.74,2.18,1084.91,0.312,0.00091,-36.29,16.2,2,0.533
2021-01-20,SELL_PE_CPR,32100,32543.7,22.89,38.82,-286.47,-0.119,0.00051,-20.08,16.2,2,0.533
2021-01-21,BUY_PE_CPR,32200,32186.9,120.07,216.12,1392.72,-0.508,0.00137,-61.09,17.3,1,0.163
2021-01-25,SELL_CE_CPR,31700,31198.4,98.22,125.28,-454.87,0.246,0.00046,-28.14,20.8,4,0.98
2021-01-29,SELL_CE_CPR,30800,30565.5,63.72,127.44,-1004.09,0.275,0.00088,-64.63,23.6,1,0.616
2021-02-01,BUY_CE_CPR,33100,33089.05,565.43,1017.77,6733.7,0.512,0.00028,-72.79,40.5,4,0.237
2021-02-02,SELL_CE_CPR,34400,34267.9,472.58,662.85,-2909.16,0.473,0.0003,-90.39,42.5,3,1.913
2021-02-03,BUY_CE_CPR,34750,34758.45,445.62,802.11,5296.88,0.514,0.00037,-111.85,42.4,2,0.288
2021-02-04,SELL_PE_CPR,34250,35344.8,27.48,54.96,-459.86,-0.077,0.00018,-57.33,42.7,1,0.563
2021-02-05,SELL_CE_CPR,36000,35654.5,178.11,356.22,-2721.83,0.34,0.00046,-148.14,42.7,1,0.97
2021-02-08,SELL_CE_CPR,36250,35983.65,531.0,798.39,-4022.15,0.45,0.00025,-82.4,42.7,4,0.789
2021-02-10,BUY_PE_CPR,35800,35783.1,455.47,819.85,5415.03,-0.495,0.00035,-116.57,42.9,2,0.001
