date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte,cpr_width
2020-09-24,BUY_PE_CPR,10800,10805.55,44.5,80.1,842.24,-0.473,0.0033,-24.94,21.3,1,0.062
2020-09-30,BUY_CE_CPR,11250,11247.55,75.7,136.25,1465.79,0.507,0.00212,-19.73,22.6,2,0.123
2020-10-01,BUY_CE_CPR,11400,11416.95,66.0,118.8,1272.01,0.556,0.00281,-28.86,23.5,1,0.044
2020-10-05,BUY_CE_CPR,11500,11503.35,114.43,205.98,2240.05,0.522,0.00146,-14.61,22.6,4,0.169
2020-10-06,BUY_CE_CPR,11650,11662.4,107.47,193.45,2100.94,0.534,0.00162,-17.36,23.2,3,0.068
2020-10-07,BUY_CE_CPR,11750,11738.85,77.1,138.79,1493.9,0.49,0.00198,-21.13,23.2,2,0.228
2020-10-08,BUY_CE_CPR,11850,11834.6,51.07,91.93,973.6,0.466,0.00276,-29.59,23.2,1,0.24
2020-10-09,BUY_CE_CPR,11900,11914.2,64.94,116.9,1250.82,0.548,0.0028,-29.17,22.7,1,0.077
2020-10-12,BUY_CE_CPR,11950,11930.95,107.9,194.23,2109.53,0.49,0.00141,-15.15,22.7,4,0.236
2020-10-13,BUY_PE_CPR,11950,11934.5,102.35,143.29,975.05,-0.511,0.00163,-17.38,22.6,3,0.076
2020-10-14,BUY_CE_CPR,11950,11971.05,92.87,167.17,1809.1,0.554,0.00198,-20.9,22.5,2,0.023
2020-10-16,SELL_CE_CPR,11900,11762.45,15.84,0.05,347.13,0.19,0.00178,-21.07,24.7,1,0.924
2020-10-19,BUY_CE_CPR,11850,11873.05,139.93,251.88,2749.71,0.546,0.00128,-16.49,25.0,4,0.189
2020-10-20,BUY_CE_CPR,11900,11896.8,99.39,178.91,1939.45,0.509,0.00163,-17.36,22.7,3,0.077
2020-10-21,BUY_CE_CPR,11950,11937.65,74.29,133.73,1437.77,0.487,0.00203,-20.57,22.2,2,0.02
2020-10-22,BUY_PE_CPR,11900,11896.45,56.04,100.87,1072.9,-0.502,0.00288,-28.73,22.3,1,0.227
2020-10-23,BUY_CE_CPR,11950,11930.35,34.61,62.3,644.58,0.437,0.00367,-22.04,17.2,1,0.084
2020-10-26,BUY_PE_CPR,11750,11767.75,71.35,128.43,1378.88,-0.447,0.00188,-11.34,17.1,4,0.064
2020-10-30,BUY_PE_CPR,11650,11642.4,44.52,80.14,842.65,-0.519,0.00381,-21.9,17.1,1,0.026
2020-11-02,BUY_CE_CPR,11650,11669.15,96.85,174.33,1888.6,0.556,0.00191,-11.35,16.9,4,0.001
2020-11-03,BUY_CE_CPR,11800,11813.5,81.82,147.27,1588.14,0.547,0.00221,-12.98,16.7,3,0.156
2020-11-04,BUY_CE_CPR,11900,11908.5,65.79,118.43,1267.88,0.537,0.00268,-15.87,16.8,2,0.189
2020-11-06,BUY_CE_CPR,12250,12263.55,55.3,99.54,1058.12,0.555,0.00335,-24.5,18.4,1,0.223
2020-11-10,BUY_CE_CPR,12650,12631.1,84.69,152.45,1645.64,0.482,0.00176,-16.15,19.8,3,0.213
2020-11-13,BUY_CE_CPR,12700,12719.95,55.71,100.28,1066.36,0.582,0.00356,-22.72,16.5,1,0.041
2020-11-17,BUY_CE_CPR,12850,12874.2,92.62,166.71,1804.03,0.568,0.00206,-13.8,16.4,3,0.046
2020-11-18,BUY_CE_CPR,12950,12938.25,59.03,106.25,1132.67,0.484,0.00254,-16.72,16.4,2,0.044
2020-11-19,BUY_PE_CPR,12750,12771.7,35.73,64.31,666.9,-0.417,0.00333,-23.84,17.5,1,0.283
2020-11-23,BUY_CE_CPR,12950,12926.45,78.95,142.11,1530.77,0.477,0.00185,-11.8,15.9,4,0.246
2020-11-24,BUY_CE_CPR,13050,13055.15,81.18,146.13,1575.48,0.529,0.00212,-13.68,15.9,3,0.149
2020-11-25,BUY_PE_CPR,12850,12858.4,55.32,99.57,1058.48,-0.464,0.00257,-16.42,16.2,2,0.138
2020-11-26,SELL_CE_CPR,13050,12987.0,19.3,15.44,48.74,0.288,0.00317,-19.01,15.8,1,0.674
2020-12-01,BUY_CE_CPR,13100,13109.05,83.25,149.85,1616.73,0.537,0.00211,-13.68,15.8,3,0.03
2020-12-03,BUY_CE_CPR,13150,13133.9,36.64,65.95,685.08,0.451,0.00366,-22.46,15.7,1,0.293
2020-12-04,BUY_CE_CPR,13250,13258.55,46.93,84.47,890.75,0.544,0.00383,-21.78,14.9,1,0.143
2020-12-07,BUY_CE_CPR,13350,13355.75,89.42,160.95,1740.0,0.533,0.00194,-11.42,14.6,4,0.21
2020-12-08,BUY_CE_CPR,13400,13392.95,66.62,119.92,1284.43,0.503,0.00239,-12.28,13.7,3,0.256
2020-12-09,BUY_CE_CPR,13550,13529.1,45.81,82.45,868.37,0.454,0.00296,-14.36,13.4,2,0.097
2020-12-10,BUY_PE_CPR,13500,13478.3,48.26,86.86,917.31,-0.579,0.00413,-19.92,13.4,1,0.148
2020-12-11,BUY_CE_CPR,13500,13513.85,45.51,81.92,862.46,0.571,0.00425,-19.49,13.1,1,0.133
2020-12-14,BUY_CE_CPR,13550,13558.15,83.08,149.54,1613.33,0.541,0.00214,-10.48,13.0,4,0.112
