date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte,cpr_width
2020-09-24,BUY_PE_CPR,36600,36553.6,182.72,328.89,1413.63,-0.537,0.00098,-84.14,21.2,1,0.106
2020-09-30,BUY_CE_CPR,38100,38067.93,244.84,440.71,1910.28,0.492,0.00063,-66.76,22.6,2,0.106
2020-10-01,BUY_CE_CPR,38700,38697.05,193.51,348.31,1499.89,0.506,0.00083,-99.21,23.7,1,0.062
2020-10-05,BUY_CE_CPR,39000,38973.7,372.58,670.64,2931.57,0.505,0.00043,-49.92,22.8,4,0.21
2020-10-06,BUY_CE_CPR,39600,39574.57,335.71,604.27,2636.78,0.502,0.00047,-59.78,23.6,3,0.115
2020-10-07,BUY_CE_CPR,39900,39878.95,275.71,496.28,2157.11,0.5,0.00057,-73.27,23.7,2,0.279
2020-10-08,BUY_CE_CPR,40200,40182.67,193.32,347.98,1498.42,0.494,0.0008,-102.66,23.6,1,0.281
2020-10-09,BUY_CE_CPR,40500,40509.49,202.79,365.02,1574.08,0.516,0.00082,-100.79,23.0,1,0.136
2020-10-13,BUY_CE_CPR,40600,40625.51,360.19,648.34,2832.51,0.526,0.00047,-59.67,22.9,3,0.086
2020-10-14,BUY_CE_CPR,40800,40794.74,279.28,502.7,2185.63,0.509,0.00058,-72.29,22.8,2,0.002
2020-10-16,SELL_CE_CPR,40500,39982.98,48.33,0.05,435.05,0.171,0.00048,-68.61,25.3,1,1.049
2020-10-19,BUY_CE_CPR,40400,40431.6,462.0,831.61,3646.51,0.528,0.00037,-57.52,25.6,4,0.116
2020-10-20,BUY_CE_CPR,40500,40544.37,378.97,682.15,2982.69,0.535,0.00046,-61.12,23.5,3,0.109
2020-10-21,BUY_CE_CPR,40700,40707.31,288.11,518.6,2256.24,0.516,0.00057,-72.92,23.1,2,0.042
2020-10-22,BUY_PE_CPR,40600,40558.49,213.75,384.76,1661.75,-0.525,0.00081,-101.66,23.1,1,0.237
2020-10-23,BUY_CE_CPR,40700,40685.5,149.96,269.92,1151.69,0.494,0.00104,-80.32,18.1,1,0.071
2020-10-26,BUY_PE_CPR,40100,40145.5,266.22,479.19,2081.22,-0.457,0.00052,-40.86,18.0,4,0.026
2020-10-30,BUY_PE_CPR,39600,39614.07,140.4,252.72,1075.3,-0.476,0.00105,-78.63,18.2,1,0.03
2020-11-02,BUY_CE_CPR,39800,39757.58,293.27,527.89,2297.53,0.496,0.00053,-40.99,18.1,4,0.002
2020-11-03,BUY_CE_CPR,40300,40261.13,249.72,449.5,1949.31,0.493,0.00062,-46.52,17.7,3,0.176
2020-11-04,BUY_CE_CPR,40600,40616.14,229.25,412.65,1785.67,0.525,0.00074,-57.07,17.8,2,0.176
2020-11-06,BUY_CE_CPR,41900,41893.06,169.56,305.21,1308.45,0.503,0.00094,-88.37,19.4,1,0.222
2020-11-10,BUY_CE_CPR,43300,43277.65,329.2,592.56,2584.74,0.504,0.00048,-58.63,21.0,3,0.22
2020-11-13,BUY_CE_CPR,43400,43443.0,183.15,329.67,1417.07,0.553,0.00101,-81.83,17.3,1,0.033
2020-11-17,BUY_CE_CPR,44000,43952.71,259.3,466.75,2025.93,0.489,0.00059,-48.93,17.0,3,0.069
2020-11-18,BUY_CE_CPR,44200,44180.05,220.37,396.67,1714.69,0.5,0.00072,-59.51,17.1,2,0.034
2020-11-19,BUY_PE_CPR,43600,43599.96,162.03,291.65,1248.22,-0.491,0.00096,-86.75,18.2,1,0.274
2020-11-23,BUY_CE_CPR,44100,44077.15,311.72,561.1,2445.0,0.508,0.00052,-42.36,16.7,4,0.225
2020-11-24,BUY_CE_CPR,44500,44523.02,293.47,528.25,2299.11,0.531,0.00059,-48.95,16.7,3,0.102
2020-11-25,BUY_PE_CPR,43800,43828.1,197.63,355.73,1532.84,-0.466,0.00072,-58.19,16.9,2,0.15
2020-11-26,SELL_CE_CPR,44400,44259.74,96.23,76.98,144.17,0.367,0.00098,-75.17,16.6,1,0.698
2020-12-01,BUY_CE_CPR,44700,44655.44,258.7,465.66,2021.11,0.491,0.00059,-48.65,16.6,3,0.077
2020-12-03,BUY_CE_CPR,44600,44632.65,176.0,316.79,1359.9,0.543,0.00102,-81.29,16.6,1,0.251
2020-12-04,BUY_CE_CPR,45100,45079.55,143.09,257.56,1096.78,0.488,0.00107,-78.46,15.8,1,0.177
2020-12-07,BUY_CE_CPR,45400,45426.97,323.59,582.47,2539.94,0.535,0.00054,-40.78,15.5,4,0.253
2020-12-08,BUY_CE_CPR,45600,45608.51,255.44,459.79,1995.03,0.525,0.00067,-43.93,14.5,3,0.271
2020-12-09,BUY_CE_CPR,46100,46103.5,198.59,357.45,1540.49,0.519,0.00084,-51.3,13.8,2,0.101
2020-12-10,BUY_PE_CPR,46000,45959.88,150.53,270.95,1156.29,-0.536,0.00118,-71.1,14.0,1,0.182
2020-12-11,BUY_CE_CPR,46100,46099.01,133.72,240.7,1021.92,0.51,0.00122,-69.19,13.5,1,0.137
2020-12-14,BUY_CE_CPR,46300,46253.46,254.21,457.59,1985.24,0.495,0.00061,-36.64,13.5,4,0.131
2020-12-15,BUY_CE_CPR,46300,46263.17,220.66,187.56,-379.3,0.494,0.0007,-41.8,13.5,3,0.131
2020-12-16,BUY_CE_CPR,46700,46666.46,179.68,323.42,1389.33,0.488,0.00085,-50.99,13.6,2,0.239
2020-12-17,BUY_CE_CPR,46900,46890.34,132.81,239.06,1014.65,0.5,0.00119,-70.88,13.6,1,0.16
2020-12-18,BUY_CE_CPR,47000,46960.69,100.54,180.97,756.63,0.459,0.00137,-61.16,11.8,1,0.114
2020-12-21,BUY_PE_CPR,45600,45553.96,352.12,633.82,2768.0,-0.502,0.00046,-47.29,18.1,4,0.194
2020-12-22,SELL_CE_CPR,46700,46006.69,82.99,17.47,607.05,0.196,0.00036,-37.02,18.4,3,0.631
2020-12-23,SELL_CE_CPR,46500,46444.18,232.96,186.37,416.1,0.478,0.00063,-66.81,18.4,2,0.589
2020-12-28,BUY_CE_CPR,47400,47353.75,328.78,591.81,2581.42,0.498,0.00048,-46.01,16.9,4,0.25
2020-12-29,BUY_CE_CPR,47600,47613.08,308.23,554.81,2417.09,0.524,0.00055,-52.42,16.8,3,0.107
2020-12-30,BUY_CE_CPR,47700,47746.22,264.67,476.41,2068.84,0.546,0.00068,-62.17,16.4,2,0.105
2020-12-31,BUY_CE_CPR,47800,47751.33,144.36,259.84,1106.94,0.463,0.00097,-85.34,16.4,1,0.228
2021-01-01,BUY_CE_CPR,47900,47868.98,152.56,274.6,1172.5,0.48,0.00097,-85.72,16.4,1,0.002
2021-01-04,BUY_CE_CPR,48200,48176.8,331.01,595.82,2599.23,0.509,0.00049,-44.98,16.2,4,0.009
2021-01-07,BUY_PE_CPR,48100,48093.32,161.61,226.25,598.43,-0.496,0.00098,-85.55,16.2,1,0.092
2021-01-08,BUY_CE_CPR,48800,48782.51,166.2,299.16,1281.55,0.494,0.00093,-89.52,16.7,1,0.28
2021-01-11,BUY_CE_CPR,49300,49269.32,351.61,632.89,2763.9,0.506,0.00046,-48.05,17.0,4,0.233
2021-01-12,BUY_CE_CPR,49500,49517.11,326.5,587.71,2563.2,0.526,0.00052,-55.2,17.0,3,0.187
2021-01-13,BUY_CE_CPR,49500,49492.32,253.75,456.75,1981.54,0.509,0.00064,-66.62,17.0,2,0.26
2021-01-14,BUY_CE_CPR,49600,49584.16,171.26,239.76,636.97,0.495,0.00091,-91.7,16.9,1,0.078
2021-01-15,BUY_PE_CPR,49000,49034.67,161.42,290.56,1243.36,-0.46,0.00087,-94.79,17.8,1,0.219
2021-01-18,BUY_PE_CPR,48600,48564.27,374.99,674.98,2950.83,-0.497,0.00043,-51.16,18.5,4,0.263
2021-01-19,BUY_CE_CPR,49400,49398.29,253.34,456.01,1978.24,0.519,0.00066,-44.62,13.5,3,0.268
2021-01-22,BUY_PE_CPR,48900,48878.54,159.03,286.25,1224.21,-0.512,0.00104,-80.72,14.9,1,0.227
2021-01-25,SELL_CE_CPR,49300,48347.59,49.28,184.02,-1395.2,0.126,0.00026,-21.54,15.6,4,0.518
2021-01-28,SELL_PE_CPR,46800,46874.36,138.59,277.18,-1434.66,-0.424,0.00088,-90.47,18.1,1,0.595
2021-01-29,BUY_PE_CPR,46300,46285.77,183.73,330.71,1421.68,-0.503,0.00088,-94.53,18.7,1,0.042
2021-02-02,SELL_CE_CPR,49900,49797.72,492.17,667.75,-1808.58,0.483,0.0003,-92.23,29.4,3,1.341
2021-02-03,BUY_CE_CPR,50300,50255.75,424.58,764.25,3347.34,0.495,0.00036,-113.72,29.5,2,0.164
2021-02-08,BUY_CE_CPR,51300,51348.77,669.05,1204.28,5301.82,0.528,0.00025,-82.77,29.2,4,0.114
2021-02-09,BUY_PE_CPR,51300,51329.08,511.01,919.82,4038.33,-0.478,0.00029,-94.17,29.0,3,0.018
2021-02-10,BUY_PE_CPR,51300,51309.39,425.98,766.76,3358.51,-0.486,0.00036,-114.39,29.0,2,0.241
2021-02-11,BUY_CE_CPR,51500,51531.52,332.97,599.35,2614.93,0.524,0.00051,-160.64,29.0,1,0.168
2021-02-12,BUY_CE_CPR,51500,51544.3,339.81,611.65,2669.55,0.53,0.00051,-160.61,29.0,1,0.203
2021-02-15,BUY_CE_CPR,52200,52154.13,621.43,1118.57,4921.11,0.504,0.00025,-82.78,28.7,4,0.015
2021-02-17,BUY_PE_CPR,51700,51703.83,416.36,749.45,3281.59,-0.488,0.00037,-111.38,28.0,2,0.111
2021-02-18,BUY_PE_CPR,51300,51324.69,285.0,512.99,2231.35,-0.479,0.00053,-155.08,28.2,1,0.167
2021-02-19,BUY_PE_CPR,50900,50889.76,302.23,544.01,2369.1,-0.498,0.00053,-155.38,28.4,1,0.289
2021-02-22,BUY_PE_CPR,49700,49744.32,569.42,1024.96,4505.32,-0.473,0.00026,-80.24,29.3,4,0.186
2021-02-23,SELL_CE_CPR,50500,49751.41,239.77,230.27,45.14,0.296,0.00027,-77.55,28.9,3,0.747
2021-02-25,SELL_CE_CPR,51500,51039.31,123.6,0.05,1186.9,0.274,0.00045,-125.57,27.7,1,0.675
2021-02-26,BUY_PE_CPR,49100,49099.99,325.29,585.53,2553.52,-0.492,0.00048,-169.17,32.2,1,0.203
2021-03-01,SELL_CE_CPR,49900,49849.84,536.21,663.39,-1325.01,0.501,0.00029,-72.28,26.1,4,0.729
2021-03-02,BUY_CE_CPR,50300,50296.89,456.07,820.93,3599.08,0.513,0.00036,-78.51,24.4,3,0.133
2021-03-03,BUY_CE_CPR,51400,51444.65,424.37,763.87,3345.66,0.529,0.0004,-102.59,25.8,2,0.225
2021-03-05,BUY_PE_CPR,50400,50405.32,271.12,488.02,2120.43,-0.489,0.00057,-143.51,26.4,1,0.069
2021-03-08,BUY_PE_CPR,50400,50441.07,507.59,431.45,-811.13,-0.472,0.00029,-72.37,25.9,4,0.156
2021-03-09,BUY_CE_CPR,51000,51025.48,513.64,924.56,4059.39,0.522,0.00033,-85.71,26.4,3,0.276
2021-03-12,BUY_PE_CPR,50800,50792.08,282.47,508.44,2211.13,-0.497,0.00056,-146.05,26.7,1,0.052
2021-03-15,SELL_PE_CPR,50100,50395.08,413.0,728.99,-3211.75,-0.402,0.00027,-72.14,26.8,4,0.513
2021-03-17,BUY_PE_CPR,49800,49801.62,380.7,685.26,2996.5,-0.488,0.00041,-101.95,26.5,2,0.281
2021-03-19,SELL_CE_CPR,50000,49858.24,223.82,67.49,1513.56,0.429,0.00055,-144.0,27.4,1,0.552
2021-03-19,SELL_PE_CPR,48500,49858.24,7.01,0.05,22.29,-0.026,8e-05,-21.62,27.4,1,0.552
2021-03-22,SELL_PE_CPR,49100,49771.29,277.53,261.95,105.5,-0.303,0.00025,-64.6,27.2,4,0.754
2021-03-23,BUY_CE_CPR,50100,50051.44,453.85,816.93,3581.34,0.497,0.00034,-81.78,25.7,3,0.255
2021-03-24,BUY_PE_CPR,49200,49180.31,388.58,699.45,3059.53,-0.497,0.00041,-101.29,26.7,2,0.119
2021-03-30,BUY_CE_CPR,50100,50136.58,446.81,804.26,3525.04,0.528,0.00038,-73.57,22.9,3,0.055
2021-04-06,BUY_PE_CPR,49200,49201.39,364.04,509.65,1407.14,-0.485,0.00042,-67.23,21.2,3,0.197
2021-04-07,BUY_CE_CPR,49700,49661.76,304.53,548.15,2387.5,0.493,0.00051,-82.95,21.5,2,0.078
2021-04-08,BUY_CE_CPR,49700,49746.21,251.5,452.71,1963.57,0.541,0.00071,-115.66,21.5,1,0.221
2021-04-09,BUY_PE_CPR,49600,49591.32,215.63,388.14,1676.78,-0.498,0.00074,-112.29,20.8,1,0.139
2021-04-12,BUY_PE_CPR,47900,47883.38,485.51,873.91,3834.42,-0.489,0.00032,-66.02,24.7,4,0.129
2021-04-13,SELL_CE_CPR,48600,48544.06,433.31,462.24,-341.32,0.494,0.00036,-78.85,25.5,3,0.607
2021-04-19,BUY_PE_CPR,47900,47949.42,483.67,870.6,3819.73,-0.469,0.0003,-69.5,26.2,4,0.083
2021-04-23,SELL_CE_CPR,48600,47878.45,43.54,0.05,387.24,0.136,0.00034,-70.71,25.5,1,0.566
2021-04-23,SELL_PE_CPR,47600,47878.45,136.07,1.16,1300.34,-0.324,0.00056,-117.62,25.5,1,0.566
2021-04-26,BUY_CE_CPR,48400,48386.51,532.49,958.49,4210.09,0.512,0.0003,-69.55,25.8,4,0.123
2021-04-27,BUY_CE_CPR,48900,48944.14,485.68,874.22,3835.81,0.529,0.00035,-79.33,25.4,3,0.032
2021-04-30,BUY_PE_CPR,48800,48782.36,253.98,457.17,1983.4,-0.503,0.00064,-129.14,24.5,1,0.26
2021-05-06,BUY_CE_CPR,48900,48949.76,267.81,482.05,2093.91,0.542,0.00067,-122.81,23.2,1,0.244
2021-05-07,BUY_CE_CPR,49200,49206.47,244.04,439.28,1903.93,0.513,0.00067,-122.58,23.0,1,0.186
2021-05-10,BUY_CE_CPR,49500,49502.41,497.33,895.19,3928.94,0.517,0.00033,-64.22,23.1,4,0.028
2021-05-11,BUY_PE_CPR,49200,49161.81,419.91,755.83,3309.96,-0.5,0.00038,-73.44,23.3,3,0.017
2021-05-12,BUY_PE_CPR,48700,48690.8,261.38,470.48,2042.53,-0.492,0.0006,-70.67,18.5,2,0.021
2021-05-14,BUY_PE_CPR,48700,48732.55,159.33,286.8,1226.67,-0.462,0.00088,-93.25,17.6,1,0.233
2021-05-17,BUY_CE_CPR,49600,49580.73,398.43,717.17,3138.25,0.51,0.00041,-53.22,18.9,4,0.062
2021-05-19,BUY_PE_CPR,49900,49902.64,252.53,454.55,1971.74,-0.485,0.00061,-69.97,17.8,2,0.076
2021-05-20,BUY_PE_CPR,49600,49564.86,199.33,358.8,1546.45,-0.521,0.00086,-97.42,18.0,1,0.205
2021-05-25,BUY_PE_CPR,50600,50637.53,311.67,561.01,2444.61,-0.467,0.00046,-61.27,18.7,3,0.013
2021-05-26,BUY_CE_CPR,51000,51017.52,296.31,533.35,2321.78,0.523,0.00057,-74.13,18.5,2,0.105
2021-05-27,BUY_CE_CPR,51100,51115.22,198.83,357.9,1542.48,0.523,0.00085,-97.81,17.5,1,0.223
2021-05-28,BUY_CE_CPR,51400,51422.88,205.03,369.05,1591.99,0.529,0.00084,-98.88,17.6,1,0.036
2021-05-31,BUY_CE_CPR,51900,51937.44,368.01,662.43,2895.07,0.539,0.00048,-45.94,15.2,4,0.037
2021-06-02,BUY_PE_CPR,51800,51849.48,186.4,335.51,1443.04,-0.449,0.00072,-58.43,14.3,2,0.108
2021-06-03,BUY_CE_CPR,52200,52232.43,176.73,318.12,1365.77,0.544,0.00102,-82.07,14.2,1,0.213
2021-06-04,BUY_PE_CPR,52100,52100.05,151.96,273.53,1167.73,-0.489,0.00102,-82.83,14.4,1,0.16
2021-06-07,BUY_CE_CPR,52300,52328.51,347.95,626.3,2734.63,0.536,0.0005,-44.04,14.4,4,0.09
2021-06-09,BUY_PE_CPR,51900,51941.64,191.29,344.33,1482.19,-0.454,0.00072,-58.92,14.4,2,0.01
2021-06-10,BUY_CE_CPR,52300,52300.47,151.36,272.45,1162.94,0.512,0.00109,-77.92,13.4,1,0.179
2021-06-11,BUY_CE_CPR,52500,52474.76,138.59,249.45,1060.79,0.484,0.00109,-77.63,13.4,1,0.188
2021-06-14,BUY_CE_CPR,52600,52551.53,258.74,465.73,2021.43,0.496,0.0006,-37.62,12.0,4,0.051
2021-06-16,BUY_PE_CPR,52500,52501.98,164.8,296.64,1270.39,-0.48,0.00091,-48.2,11.3,2,0.003
2021-06-17,BUY_PE_CPR,52300,52323.33,103.14,185.66,777.43,-0.455,0.00133,-63.28,10.9,1,0.152
2021-06-18,BUY_CE_CPR,52300,52344.45,118.56,213.4,900.65,0.596,0.00173,-48.81,8.2,1,0.052
2021-06-23,BUY_PE_CPR,52300,52306.08,116.92,210.46,887.57,-0.468,0.00123,-36.51,8.3,2,0.255
2021-06-25,BUY_CE_CPR,52900,52925.04,113.22,203.79,857.97,0.558,0.00166,-52.24,8.6,1,0.115
2021-06-28,BUY_PE_CPR,52700,52735.59,141.96,255.53,1087.77,-0.433,0.00089,-25.8,8.0,4,0.166
2021-06-29,BUY_PE_CPR,52500,52549.66,119.73,215.52,910.07,-0.42,0.001,-29.35,8.2,3,0.209
2021-06-30,BUY_PE_CPR,52500,52482.71,125.94,226.7,959.72,-0.497,0.00126,-36.33,8.2,2,0.124
2021-07-01,BUY_PE_CPR,52300,52318.6,74.13,133.43,545.46,-0.448,0.00181,-47.53,8.0,1,0.229
2021-07-02,BUY_CE_CPR,52500,52484.67,84.72,152.5,630.17,0.49,0.00181,-48.39,8.0,1,0.179
