date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,iv,dte
2020-10-07,BUY_CE_GAMMA,22950,22964.8,232.61,260.14,364.02,0.518,0.00071,46.5,0
2020-10-14,BUY_CE_GAMMA,23850,23874.65,246.36,417.77,2522.11,0.525,0.00069,46.5,0
2020-10-21,BUY_CE_GAMMA,24650,24635.05,239.16,279.72,559.39,0.498,0.00065,47.5,0
2020-10-28,BUY_PE_GAMMA,24250,24232.5,230.59,387.95,2311.5,-0.505,0.00071,44.2,0
2020-11-04,BUY_CE_GAMMA,25750,25771.6,268.73,315.6,653.91,0.521,0.00062,47.5,0
2020-11-11,BUY_CE_GAMMA,28850,28845.0,298.08,327.69,394.72,0.505,0.00053,49.5,0
2020-11-18,BUY_CE_GAMMA,29750,29749.85,282.07,458.58,2598.42,0.508,0.00057,45.0,0
2020-11-25,BUY_PE_GAMMA,29200,29196.4,281.14,472.92,2827.24,-0.494,0.00056,46.2,0
2020-12-02,BUY_PE_GAMMA,29450,29463.15,242.02,317.97,1090.2,-0.484,0.00063,40.8,0
2020-12-09,BUY_CE_GAMMA,30700,30709.4,228.35,365.17,2003.45,0.514,0.00072,34.4,0
2020-12-16,BUY_PE_GAMMA,30700,30698.4,197.44,240.18,592.45,-0.494,0.0008,31.1,0
2020-12-23,BUY_CE_GAMMA,29900,29883.3,189.88,297.0,1558.17,0.494,0.00081,31.3,0
2020-12-30,BUY_PE_GAMMA,31300,31303.05,203.23,76.0,-1957.2,-0.49,0.00077,31.8,0
2021-01-20,BUY_CE_GAMMA,32550,32543.7,142.85,216.91,1062.64,0.502,0.00111,21.1,0
2021-01-27,BUY_PE_GAMMA,30300,30284.55,196.99,363.14,2443.65,-0.505,0.00083,30.3,0
2021-02-03,BUY_CE_GAMMA,34750,34758.45,407.39,456.56,687.32,0.512,0.0004,55.1,0
2021-02-10,BUY_PE_GAMMA,35800,35783.1,422.1,478.28,792.29,-0.498,0.00038,55.8,0
2021-02-24,BUY_CE_GAMMA,36450,36452.3,417.91,739.28,4770.26,0.509,0.00038,54.3,0
2021-03-03,BUY_CE_GAMMA,36350,36368.05,360.92,578.38,3212.05,0.516,0.00046,45.9,0
2021-03-10,BUY_PE_GAMMA,35950,35938.3,356.45,392.46,490.22,-0.497,0.00045,47.1,0
2021-03-17,BUY_PE_GAMMA,34250,34229.25,323.73,520.82,2906.62,-0.503,0.0005,44.3,0
2021-03-24,BUY_PE_GAMMA,33300,33293.25,326.84,516.44,2794.42,-0.495,0.00049,47.0,0
2021-03-31,BUY_PE_GAMMA,33300,33303.9,238.89,376.39,2013.54,-0.49,0.00065,35.1,0
2021-04-07,BUY_CE_GAMMA,33000,32991.2,254.72,326.52,1027.94,0.502,0.00062,37.2,0
2021-04-28,BUY_CE_GAMMA,33700,33722.8,375.22,623.06,3667.64,0.518,0.00044,51.2,0
2021-05-05,BUY_CE_GAMMA,32800,32783.7,325.36,484.42,2336.32,0.5,0.00048,48.3,0
2021-05-12,BUY_PE_GAMMA,32450,32452.3,253.54,386.11,1939.39,-0.491,0.00062,38.0,0
2021-06-02,BUY_CE_GAMMA,35350,35373.75,267.64,396.36,1881.54,0.523,0.00063,34.2,0
2021-06-09,BUY_PE_GAMMA,34800,34800.5,252.24,323.31,1016.86,-0.492,0.00062,35.2,0
2021-06-16,BUY_PE_GAMMA,35000,35003.5,192.53,230.02,513.78,-0.489,0.00081,27.0,0
2021-06-23,BUY_PE_GAMMA,34550,34574.0,116.54,176.62,853.26,-0.462,0.00121,18.2,0
2021-06-30,BUY_PE_GAMMA,34750,34772.2,125.56,186.23,861.95,-0.466,0.00114,19.2,0
2021-07-07,BUY_CE_GAMMA,35750,35771.3,152.59,235.39,1193.64,0.534,0.00115,18.5,0
2021-07-14,BUY_CE_GAMMA,35650,35668.25,163.01,61.56,-1570.18,0.528,0.00106,20.2,0
2021-07-28,BUY_PE_GAMMA,34550,34532.9,171.27,230.51,840.19,-0.508,0.00096,23.0,0
2021-08-04,BUY_CE_GAMMA,36050,36028.05,186.86,344.23,2311.92,0.49,0.00082,25.9,0
2021-08-11,BUY_PE_GAMMA,35800,35806.4,171.95,243.43,1023.62,-0.486,0.00089,23.8,0
2021-08-18,BUY_PE_GAMMA,35550,35554.5,137.68,247.72,1602.37,-0.486,0.00111,19.3,0
2021-08-25,BUY_PE_GAMMA,35600,35586.25,165.84,195.5,396.54,-0.505,0.00098,21.8,0
2021-09-08,BUY_CE_GAMMA,36750,36768.2,162.32,259.54,1409.87,0.528,0.00106,19.5,0
2021-09-15,BUY_CE_GAMMA,36850,36852.25,154.19,254.58,1457.5,0.511,0.00106,19.5,0
2021-10-06,BUY_PE_GAMMA,37500,37521.55,171.08,257.06,1241.21,-0.473,0.00086,23.6,0
2021-10-13,BUY_PE_GAMMA,38650,38635.75,195.85,214.51,231.23,-0.504,0.00083,23.8,0
2021-10-27,BUY_PE_GAMMA,40850,40874.35,160.4,252.3,1330.07,-0.469,0.0009,20.6,0
2021-11-03,BUY_PE_GAMMA,39400,39402.05,245.1,395.85,2212.11,-0.491,0.00064,30.3,0
2021-11-10,BUY_PE_GAMMA,39000,39023.25,229.47,257.48,371.23,-0.477,0.00065,30.0,0
2021-12-08,BUY_CE_GAMMA,37300,37284.7,254.03,291.88,518.69,0.498,0.00062,33.2,0
2021-12-15,BUY_PE_GAMMA,36800,36789.55,249.26,365.99,1701.82,-0.499,0.00064,32.2,0
