date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,iv,dte
2020-10-01,BUY_CE_GAMMA,11400,11416.95,82.68,127.14,1063.06,0.545,0.00217,30.6,0
2020-10-15,BUY_PE_GAMMA,11700,11680.35,87.93,176.53,2166.68,-0.532,0.00201,32.3,0
2020-10-29,BUY_CE_GAMMA,11650,11670.8,69.1,23.38,-1191.21,0.566,0.00275,23.4,0
2020-11-05,BUY_CE_GAMMA,12100,12120.3,71.03,111.11,953.91,0.563,0.00266,23.4,0
2020-11-19,BUY_PE_GAMMA,12750,12771.7,49.52,74.04,565.16,-0.435,0.00258,22.8,0
2020-12-03,BUY_PE_GAMMA,13150,13133.9,63.27,102.05,921.52,-0.537,0.00283,20.5,0
2020-12-17,BUY_CE_GAMMA,13750,13740.7,45.62,50.24,67.66,0.48,0.00325,17.1,0
2020-12-24,BUY_CE_GAMMA,13750,13749.25,65.51,101.3,846.59,0.507,0.00246,22.5,0
2021-01-07,BUY_PE_GAMMA,14150,14137.35,69.27,109.92,968.19,-0.523,0.00248,21.7,0
2021-01-21,BUY_PE_GAMMA,14600,14590.35,56.95,80.5,540.81,-0.519,0.00298,17.5,0
2021-02-04,BUY_CE_GAMMA,14900,14895.65,115.52,173.89,1410.66,0.502,0.00137,37.4,0
2021-02-11,BUY_CE_GAMMA,15150,15173.3,130.59,200.75,1705.1,0.539,0.00135,37.0,0
2021-02-18,BUY_PE_GAMMA,15100,15118.95,101.39,155.96,1315.84,-0.466,0.00142,35.5,0
2021-03-04,BUY_CE_GAMMA,15100,15080.75,96.23,29.59,-1714.32,0.478,0.00152,33.1,0
2021-03-18,BUY_PE_GAMMA,14550,14557.85,98.31,172.91,1816.65,-0.48,0.00154,34.0,0
2021-03-25,BUY_PE_GAMMA,14300,14324.9,86.81,141.62,1322.0,-0.453,0.00158,33.4,0
2021-04-01,BUY_CE_GAMMA,14850,14867.35,101.61,154.17,1265.54,0.538,0.00173,29.4,0
2021-04-15,BUY_CE_GAMMA,14600,14581.45,94.75,138.22,1038.29,0.479,0.00155,33.7,0
2021-04-22,BUY_CE_GAMMA,14400,14406.15,105.0,169.33,1559.76,0.517,0.00158,33.4,0
2021-04-29,BUY_PE_GAMMA,14900,14894.9,101.0,120.48,438.5,-0.501,0.0016,32.1,0
2021-05-06,BUY_CE_GAMMA,14700,14724.8,106.01,163.01,1376.35,0.551,0.00172,29.8,0
2021-05-20,BUY_PE_GAMMA,14900,14906.05,66.48,105.57,929.1,-0.478,0.00225,22.7,0
2021-06-03,BUY_CE_GAMMA,15700,15690.35,56.65,83.43,621.51,0.484,0.00265,18.3,0
2021-06-17,BUY_CE_GAMMA,15700,15691.4,41.88,14.91,-721.91,0.481,0.00356,13.6,0
2021-06-24,BUY_CE_GAMMA,15800,15790.45,34.56,40.41,98.69,0.473,0.0042,11.5,0
2021-07-01,BUY_PE_GAMMA,15700,15680.0,43.36,70.07,620.08,-0.579,0.00458,10.4,0
2021-07-08,BUY_PE_GAMMA,15750,15727.9,46.57,84.96,911.76,-0.583,0.00431,11.0,0
2021-07-15,BUY_CE_GAMMA,15900,15924.2,50.98,62.58,242.24,0.619,0.00424,10.8,0
2021-07-22,BUY_CE_GAMMA,15800,15824.05,61.37,104.36,1026.79,0.592,0.00331,14.1,0
2021-08-12,BUY_CE_GAMMA,16350,16364.4,60.21,94.75,815.66,0.555,0.00308,15.0,0
2021-09-02,BUY_CE_GAMMA,17250,17234.15,39.82,62.33,514.92,0.457,0.00345,12.8,0
2021-09-09,BUY_CE_GAMMA,17350,17369.25,57.4,90.88,789.23,0.579,0.00344,12.5,0
2021-09-16,BUY_CE_GAMMA,17650,17629.5,37.9,57.19,434.65,0.442,0.00342,12.5,0
2021-09-23,BUY_CE_GAMMA,17800,17822.95,71.08,125.15,1303.55,0.574,0.00274,15.3,0
