date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,iv,dte
2020-10-01,BUY_CE_GAMMA,38700,38697.05,250.96,385.93,1301.19,0.506,0.00064,30.8,0
2020-10-15,BUY_PE_GAMMA,39700,39728.41,257.67,498.37,2358.44,-0.476,0.00058,33.2,0
2020-11-05,BUY_CE_GAMMA,41300,41340.16,236.79,365.41,1237.74,0.538,0.00075,24.6,0
2020-11-19,BUY_PE_GAMMA,43600,43599.96,211.78,333.07,1164.66,-0.492,0.00074,23.7,0
2020-12-03,BUY_PE_GAMMA,44600,44632.65,181.67,276.08,896.04,-0.466,0.00079,21.6,0
2020-12-17,BUY_CE_GAMMA,46900,46890.34,172.85,193.94,162.85,0.501,0.00092,17.7,0
2020-12-24,BUY_CE_GAMMA,47000,46973.54,208.35,316.45,1032.76,0.489,0.00073,22.1,0
2021-01-07,BUY_PE_GAMMA,48100,48093.32,210.37,331.13,1159.31,-0.496,0.00075,21.0,0
2021-01-21,BUY_PE_GAMMA,49600,49624.76,164.88,233.0,633.21,-0.469,0.00088,17.5,0
2021-02-04,BUY_CE_GAMMA,50600,50614.29,415.34,635.41,2151.42,0.513,0.00039,38.2,0
2021-02-11,BUY_CE_GAMMA,51500,51531.52,426.54,650.84,2193.66,0.52,0.00039,37.7,0
2021-02-18,BUY_PE_GAMMA,51300,51324.69,375.41,599.21,2188.94,-0.482,0.00041,36.6,0
2021-03-18,BUY_PE_GAMMA,49200,49216.52,344.72,600.88,2512.66,-0.485,0.00045,34.8,0
2021-03-25,BUY_PE_GAMMA,48400,48440.12,313.87,516.52,1977.79,-0.474,0.00047,33.4,0
2021-04-01,BUY_CE_GAMMA,50000,50029.83,329.08,490.01,1560.42,0.523,0.00051,29.6,0
2021-04-08,BUY_PE_GAMMA,49700,49746.21,263.06,284.17,162.53,-0.467,0.00055,27.9,0
2021-04-15,BUY_CE_GAMMA,48800,48803.68,345.05,526.56,1766.25,0.509,0.00047,33.3,0
2021-04-22,BUY_CE_GAMMA,48100,48080.67,327.27,515.51,1833.6,0.498,0.00048,33.1,0
2021-04-29,BUY_PE_GAMMA,49800,49765.94,350.61,428.99,734.78,-0.508,0.00047,32.5,0
2021-05-20,BUY_PE_GAMMA,49600,49564.86,255.03,411.68,1518.04,-0.515,0.00066,23.3,0
2021-06-03,BUY_CE_GAMMA,52200,52232.43,223.02,336.8,1089.51,0.535,0.00079,18.5,0
2021-06-17,BUY_CE_GAMMA,52300,52323.33,171.25,211.49,354.34,0.535,0.00103,14.1,0
2021-06-24,BUY_CE_GAMMA,52700,52699.0,129.05,152.15,183.09,0.512,0.00127,11.3,0
2021-07-01,BUY_PE_GAMMA,52300,52318.6,100.18,151.47,465.18,-0.46,0.00139,10.4,0
2021-07-08,BUY_PE_GAMMA,52600,52568.94,129.49,228.04,937.66,-0.528,0.00134,10.8,0
2021-07-15,BUY_CE_GAMMA,53200,53158.85,107.27,133.68,216.39,0.46,0.00129,11.0,0
2021-07-22,BUY_CE_GAMMA,52800,52837.21,181.72,303.87,1173.42,0.549,0.001,14.3,0
2021-08-05,BUY_PE_GAMMA,54500,54492.84,189.68,56.91,-1375.93,-0.496,0.00083,16.8,0
2021-08-12,BUY_CE_GAMMA,54800,54843.98,206.99,323.02,1112.05,0.549,0.00088,15.6,0
2021-09-02,BUY_CE_GAMMA,57900,57852.54,135.0,210.07,702.85,0.463,0.00104,12.6,0
2021-09-09,BUY_CE_GAMMA,58300,58305.07,156.97,234.34,725.73,0.518,0.00107,12.2,0
2021-09-16,BUY_CE_GAMMA,59100,59141.16,179.45,291.91,1076.51,0.555,0.00104,12.3,0
2021-09-23,BUY_CE_GAMMA,59900,59885.36,186.59,310.35,1189.39,0.498,0.00084,15.1,0
2021-09-30,BUY_PE_GAMMA,59100,59126.36,160.82,253.48,878.59,-0.466,0.00089,14.5,0
2021-10-14,BUY_CE_GAMMA,61300,61305.95,226.2,344.84,1138.12,0.514,0.00073,17.0,0
2021-10-21,BUY_PE_GAMMA,60900,60923.5,198.22,318.16,1151.21,-0.473,0.00074,16.9,0
2021-10-28,BUY_PE_GAMMA,60000,59984.7,229.21,434.38,2003.35,-0.501,0.0007,18.1,0
2021-11-11,BUY_PE_GAMMA,59900,59919.69,220.77,273.82,482.2,-0.478,0.00067,18.8,0
2021-11-18,BUY_PE_GAMMA,59600,59636.01,210.18,261.73,467.22,-0.466,0.00068,18.7,0
2021-11-25,BUY_CE_GAMMA,58800,58795.09,265.24,419.7,1496.05,0.506,0.00061,21.4,0
2021-12-02,BUY_CE_GAMMA,58500,58461.29,287.54,449.03,1566.23,0.488,0.00053,24.7,0
