date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte
2020-10-01,BUY_PE_GTZ,22250,22246.0,165.37,157.1,-172.47,-0.496,0.00096,-84.67,35.6,1
2020-10-15,BUY_PE_GTZ,23050,23072.4,174.03,313.25,2039.85,-0.473,0.00085,-95.31,38.8,1
2020-10-26,BUY_PE_GTZ,24100,24075.45,338.03,608.46,4006.64,-0.497,0.00048,-43.97,33.2,4
2020-10-27,BUY_PE_GTZ,24750,24769.5,277.54,263.66,-257.43,-0.476,0.00054,-51.03,32.8,3
2020-10-28,BUY_PE_GTZ,24250,24232.5,248.05,446.48,2927.49,-0.501,0.00065,-63.09,34.0,2
2020-11-25,BUY_PE_GTZ,29200,29196.4,303.3,545.94,3590.11,-0.491,0.00052,-79.27,35.6,2
2021-01-04,BUY_PE_GTZ,31200,31212.45,276.58,359.56,1195.36,-0.477,0.00054,-39.35,22.5,4
2021-01-18,BUY_PE_GTZ,31800,31811.75,301.59,542.86,3569.6,-0.478,0.0005,-42.53,24.0,4
2021-01-21,BUY_PE_GTZ,32200,32186.9,120.07,216.12,1392.72,-0.508,0.00137,-61.09,17.3,1
2021-03-15,BUY_CE_GTZ,35200,35182.55,540.09,972.16,6429.83,0.51,0.0003,-70.12,36.5,4
2021-04-07,BUY_CE_GTZ,33000,32991.2,280.14,504.25,3312.35,0.506,0.00057,-72.58,28.6,2
2021-04-19,BUY_CE_GTZ,31200,31208.4,507.7,913.86,6041.38,0.518,0.00032,-64.29,37.8,4
2021-05-27,BUY_PE_GTZ,35100,35095.05,217.44,282.67,929.64,-0.496,0.00073,-112.18,29.8,1
2021-06-04,BUY_PE_GTZ,35300,35291.65,196.5,353.69,2309.28,-0.499,0.00081,-100.9,26.5,1
2021-06-09,BUY_CE_GTZ,34800,34800.5,284.5,369.85,1230.92,0.511,0.00057,-72.61,27.1,2
2021-06-18,BUY_CE_GTZ,34550,34558.0,109.87,197.76,1270.38,0.523,0.00155,-54.44,14.2,1
2021-06-22,BUY_PE_GTZ,34750,34745.0,166.95,300.5,1954.9,-0.485,0.00092,-31.96,13.8,3
2021-06-25,BUY_PE_GTZ,35350,35364.65,99.54,129.4,399.97,-0.468,0.00145,-57.65,14.9,1
2021-07-08,BUY_PE_GTZ,35250,35274.1,96.7,174.06,1112.47,-0.455,0.00142,-58.16,15.1,1
2021-07-23,BUY_CE_GTZ,35050,35034.4,133.75,240.74,1556.75,0.491,0.00115,-72.2,18.9,1
2021-07-26,BUY_CE_GTZ,34950,34949.7,272.1,353.74,1175.23,0.519,0.00061,-35.61,17.8,4
2021-07-28,BUY_CE_GTZ,34550,34532.9,177.89,320.2,2086.15,0.498,0.00088,-48.1,17.7,2
2021-08-03,BUY_PE_GTZ,35200,35207.45,215.73,204.94,-210.62,-0.478,0.00069,-41.1,18.0,3
2021-08-09,BUY_PE_GTZ,36050,36028.95,281.95,366.53,1219.46,-0.493,0.00056,-38.75,18.9,4
2021-09-08,BUY_PE_GTZ,36750,36768.2,147.59,140.21,-159.0,-0.467,0.00097,-43.65,15.0,2
2021-09-15,BUY_CE_GTZ,36850,36852.25,170.69,307.23,1999.74,0.517,0.00098,-44.06,15.0,2
2021-09-28,BUY_PE_GTZ,37950,37945.0,226.82,408.28,2672.97,-0.487,0.00068,-42.38,17.1,3
2021-10-06,BUY_PE_GTZ,37500,37521.55,184.11,331.39,2160.71,-0.47,0.00079,-53.32,18.2,2
2021-10-20,BUY_PE_GTZ,39500,39518.2,170.22,221.28,717.5,-0.47,0.00085,-49.7,15.9,2
2022-02-01,BUY_PE_GTZ,38500,38505.5,255.51,332.17,1100.69,-0.481,0.00059,-48.03,19.3,3
2022-06-20,BUY_CE_GTZ,32700,32684.8,302.58,393.35,1312.12,0.509,0.00053,-40.22,21.9,4
2022-08-03,BUY_PE_GTZ,38000,37989.25,178.5,169.57,-182.41,-0.495,0.00088,-48.35,16.0,2
2022-08-04,BUY_PE_GTZ,37750,37755.55,118.26,212.86,1370.98,-0.483,0.00128,-65.37,15.8,1
2022-08-25,BUY_PE_GTZ,38950,38950.75,129.58,233.25,1506.81,-0.489,0.00119,-70.09,16.4,1
2022-09-30,BUY_CE_GTZ,38650,38631.95,196.32,353.37,2307.13,0.494,0.00079,-104.26,25.0,1
2022-10-27,BUY_PE_GTZ,41300,41299.3,202.85,263.7,864.09,-0.492,0.00077,-106.73,23.9,1
2022-10-28,BUY_PE_GTZ,41000,40990.85,197.36,355.25,2319.63,-0.499,0.00081,-101.89,22.9,1
