date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte
2020-10-14,BUY_PE_GTZ,11950,11971.05,67.57,64.19,-132.5,-0.446,0.00198,-20.7,22.5,2
2020-10-15,BUY_PE_GTZ,11700,11680.35,69.83,125.7,1348.59,-0.543,0.00261,-31.26,24.8,1
2020-10-21,BUY_PE_GTZ,11950,11937.65,82.39,107.11,569.69,-0.513,0.00203,-20.66,22.2,2
2020-10-26,BUY_CE_GTZ,11750,11767.75,97.47,126.71,682.57,0.553,0.00188,-11.53,17.1,4
2020-10-27,BUY_CE_GTZ,11900,11889.4,68.72,123.7,1326.37,0.493,0.00225,-12.83,16.5,3
2020-10-28,BUY_CE_GTZ,11750,11729.6,53.74,69.86,355.18,0.461,0.00258,-16.24,17.7,2
2020-10-30,BUY_CE_GTZ,11650,11642.4,38.99,50.69,244.77,0.481,0.00381,-21.81,17.1,1
2020-11-19,BUY_PE_GTZ,12750,12771.7,35.73,64.31,666.9,-0.417,0.00333,-23.84,17.5,1
2020-11-26,BUY_PE_GTZ,13000,12987.0,48.47,63.01,315.69,-0.538,0.00369,-22.6,15.8,1
2020-12-11,BUY_PE_GTZ,13500,13513.85,29.26,38.03,171.86,-0.429,0.00425,-19.16,13.1,1
2020-12-21,BUY_PE_GTZ,13350,13328.4,107.95,194.32,2110.51,-0.515,0.00156,-13.95,18.3,4
2021-01-06,BUY_PE_GTZ,14150,14146.25,70.14,91.19,478.01,-0.495,0.00225,-18.95,16.9,2
2021-01-15,BUY_PE_GTZ,14450,14433.7,62.31,112.16,1198.3,-0.538,0.00287,-28.85,18.3,1
2021-01-21,BUY_PE_GTZ,14600,14590.35,44.66,80.39,845.43,-0.526,0.00387,-21.85,13.5,1
2021-01-22,BUY_CE_GTZ,14350,14371.9,58.43,55.5,-120.96,0.587,0.00344,-23.54,15.1,1
2021-02-02,BUY_PE_GTZ,14650,14647.85,148.98,193.67,1068.27,-0.489,0.00105,-26.6,28.7,3
2021-02-16,BUY_PE_GTZ,15300,15313.45,141.72,184.24,1013.94,-0.472,0.00104,-26.65,27.5,3
2021-03-09,BUY_PE_GTZ,15100,15098.4,136.23,129.42,-219.19,-0.488,0.00114,-24.57,25.5,3
2021-04-08,BUY_PE_GTZ,14850,14873.8,53.75,69.88,355.28,-0.434,0.00237,-33.81,21.3,1
2021-04-15,BUY_CE_GTZ,14600,14581.45,71.15,128.07,1374.96,0.471,0.00201,-40.52,25.9,1
2021-05-11,BUY_PE_GTZ,14850,14850.75,119.79,155.73,849.74,-0.485,0.00128,-21.97,23.1,3
2021-06-18,BUY_CE_GTZ,15700,15683.35,20.58,37.05,364.17,0.42,0.00579,-14.36,8.2,1
2021-07-06,BUY_PE_GTZ,15800,15818.25,34.9,45.37,214.09,-0.409,0.00329,-8.8,8.2,3
2021-07-27,BUY_PE_GTZ,15750,15746.45,57.91,104.24,1110.28,-0.485,0.00264,-11.42,10.6,3
2021-07-29,BUY_PE_GTZ,15800,15778.45,45.2,58.76,291.25,-0.583,0.00445,-18.77,10.6,1
2021-07-30,BUY_PE_GTZ,15750,15763.05,27.43,49.37,501.04,-0.427,0.0045,-18.31,10.6,1
2021-09-20,BUY_CE_GTZ,17400,17396.9,79.87,103.83,550.83,0.522,0.00211,-10.98,10.3,4
2021-09-21,BUY_CE_GTZ,17550,17562.0,79.11,142.39,1533.95,0.552,0.00232,-12.94,10.7,3
2021-09-28,BUY_PE_GTZ,17750,17748.6,70.27,126.48,1357.29,-0.481,0.00214,-13.89,11.6,3
2021-09-29,BUY_PE_GTZ,17700,17711.3,48.88,63.54,318.78,-0.45,0.00276,-15.63,11.0,2
2021-10-05,BUY_PE_GTZ,17800,17822.3,59.68,56.7,-122.55,-0.43,0.0021,-13.62,11.6,3
2021-10-06,BUY_CE_GTZ,17650,17646.0,65.88,62.59,-130.38,0.507,0.00246,-17.76,12.4,2
2021-10-07,BUY_PE_GTZ,17800,17790.35,50.72,65.94,332.58,-0.52,0.00335,-25.33,12.8,1
2021-12-17,BUY_CE_GTZ,17000,16985.2,74.01,70.31,-140.64,0.479,0.00199,-41.25,22.5,1
2021-12-30,BUY_PE_GTZ,17200,17203.95,66.34,86.24,449.51,-0.482,0.00228,-36.35,19.4,1
2022-01-20,BUY_CE_GTZ,17750,17757.0,57.65,74.95,384.48,0.532,0.00303,-27.8,14.1,1
2022-06-29,BUY_PE_GTZ,15800,15799.1,93.68,121.78,654.19,-0.489,0.00166,-25.39,20.6,2
2022-06-30,BUY_PE_GTZ,15800,15780.25,75.6,98.28,518.87,-0.538,0.00237,-34.75,20.3,1
2022-07-01,BUY_PE_GTZ,15750,15752.05,64.24,83.51,433.78,-0.486,0.00239,-34.68,20.3,1
2022-07-04,BUY_PE_GTZ,15850,15835.35,137.32,130.45,-220.56,-0.5,0.00117,-18.39,20.5,4
2022-07-06,BUY_PE_GTZ,16000,15989.8,101.24,96.17,-175.01,-0.504,0.00161,-26.19,21.0,2
2022-08-04,BUY_PE_GTZ,17400,17382.0,58.9,76.56,393.78,-0.545,0.0031,-27.07,14.1,1
2022-08-05,BUY_PE_GTZ,17400,17397.5,50.92,66.19,334.04,-0.497,0.00311,-27.16,14.1,1
2022-08-10,BUY_PE_GTZ,17550,17534.75,71.45,67.88,-137.4,-0.52,0.00238,-18.32,12.9,2
2022-09-07,BUY_PE_GTZ,17600,17624.4,74.13,70.42,-140.79,-0.443,0.00178,-23.35,17.0,2
2022-09-16,BUY_CE_GTZ,17550,17530.85,62.0,58.9,-125.48,0.465,0.00228,-36.16,19.0,1
2022-09-30,BUY_CE_GTZ,17100,17094.35,62.77,112.98,1207.36,0.495,0.00248,-33.52,17.9,1
2022-10-27,BUY_PE_GTZ,17750,17736.95,68.44,88.98,465.27,-0.523,0.00251,-33.29,17.1,1
2022-11-04,BUY_PE_GTZ,18100,18117.15,37.63,35.75,-94.71,-0.43,0.00332,-24.61,12.5,1
2022-11-14,BUY_PE_GTZ,18350,18329.15,91.5,118.95,637.91,-0.512,0.00182,-12.62,11.4,4
2022-12-05,BUY_PE_GTZ,18700,18701.05,81.07,77.02,-149.56,-0.472,0.0018,-12.57,11.3,4
2023-01-05,BUY_CE_GTZ,18000,17992.15,50.66,65.86,332.11,0.488,0.003,-28.01,14.1,1
2023-01-06,BUY_CE_GTZ,17850,17859.45,59.4,77.21,397.52,0.539,0.003,-28.01,14.2,1
2023-01-09,BUY_CE_GTZ,18100,18101.2,124.07,161.29,881.78,0.522,0.00136,-16.26,15.5,4
2023-01-10,BUY_CE_GTZ,17900,17914.15,113.31,147.3,801.22,0.54,0.00157,-18.46,15.6,3
2023-01-11,BUY_CE_GTZ,17900,17895.7,82.82,107.67,572.94,0.506,0.00195,-22.04,15.5,2
2023-01-13,BUY_CE_GTZ,17950,17956.6,60.19,108.34,1155.86,0.53,0.00288,-29.19,14.7,1
2023-01-31,BUY_CE_GTZ,17650,17662.15,98.51,128.06,690.4,0.542,0.00181,-16.17,13.7,3
2023-02-01,BUY_CE_GTZ,17600,17616.3,82.56,148.61,1603.03,0.553,0.00223,-19.25,13.6,2
