date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte
2021-02-24,BUY_CE_GTZ,50800,50781.69,425.63,766.14,3355.74,0.504,0.00037,-110.92,28.4,2
2021-04-08,BUY_PE_GTZ,49700,49746.21,196.44,255.38,541.15,-0.459,0.00071,-115.0,21.5,1
2021-04-15,BUY_CE_GTZ,48800,48803.68,266.87,480.36,2086.41,0.51,0.00061,-134.68,25.6,1
2021-04-22,BUY_CE_GTZ,48100,48080.67,250.52,450.94,1955.71,0.496,0.00062,-132.12,25.5,1
2021-05-14,BUY_CE_GTZ,48700,48732.55,200.55,260.72,553.46,0.538,0.00088,-93.85,17.6,1
2021-05-17,BUY_PE_GTZ,49600,49580.73,382.38,363.26,-240.3,-0.49,0.00041,-53.18,18.9,4
2021-06-07,BUY_PE_GTZ,52300,52328.51,282.19,268.08,-189.71,-0.464,0.0005,-43.48,14.4,4
2021-07-12,BUY_CE_GTZ,52400,52372.69,186.28,242.17,510.72,0.511,0.00088,-27.38,8.3,4
2021-07-19,BUY_CE_GTZ,52600,52553.4,206.46,268.39,571.14,0.495,0.00075,-30.97,9.6,4
2021-07-23,BUY_PE_GTZ,53000,52975.8,124.84,162.3,326.71,-0.519,0.00136,-63.5,10.6,1
2021-07-26,BUY_PE_GTZ,52900,52852.27,237.01,308.11,662.65,-0.505,0.00069,-33.78,10.5,4
2021-08-18,BUY_PE_GTZ,55600,55629.49,150.26,270.48,1154.17,-0.453,0.00091,-47.69,10.6,2
2021-09-21,BUY_CE_GTZ,59000,59005.27,239.18,430.52,1865.04,0.528,0.00072,-42.14,10.3,3
2021-09-28,BUY_PE_GTZ,59700,59667.6,247.22,445.0,1929.34,-0.498,0.00064,-46.5,11.4,3
2021-10-11,BUY_PE_GTZ,60100,60135.78,286.94,373.02,812.19,-0.459,0.00049,-45.37,12.9,4
2021-11-17,BUY_CE_GTZ,60000,60008.33,271.34,257.77,-184.23,0.521,0.00062,-69.5,14.5,2
2021-12-08,BUY_PE_GTZ,58600,58649.68,358.26,340.35,-228.12,-0.468,0.0004,-102.83,22.7,2
2022-01-18,BUY_PE_GTZ,60800,60754.86,277.7,499.86,2173.01,-0.505,0.00059,-50.73,12.3,3
2022-01-20,BUY_CE_GTZ,59500,59464.62,164.82,214.26,446.43,0.479,0.0009,-93.37,14.2,1
2022-02-22,BUY_CE_GTZ,57300,57300.68,526.42,947.56,4161.54,0.514,0.00031,-90.23,24.6,3
2022-07-01,BUY_PE_GTZ,52900,52907.93,213.97,278.16,593.65,-0.485,0.00071,-115.83,20.1,1
2022-07-04,BUY_PE_GTZ,53200,53234.77,419.22,398.26,-258.91,-0.47,0.00035,-61.24,20.5,4
2022-07-05,BUY_PE_GTZ,53100,53134.35,356.86,642.35,2805.93,-0.471,0.00041,-68.95,20.2,3
2022-07-06,BUY_PE_GTZ,53800,53750.97,346.43,329.11,-222.15,-0.511,0.00048,-87.72,20.9,2
2022-07-18,BUY_PE_GTZ,54500,54521.15,305.69,290.4,-201.57,-0.468,0.00047,-46.35,14.7,4
2022-09-19,BUY_CE_GTZ,59100,59141.23,512.21,921.98,4047.95,0.532,0.00034,-64.04,19.0,4
2022-10-11,BUY_PE_GTZ,57100,57147.32,380.95,685.72,2998.52,-0.467,0.00038,-74.41,20.3,3
2022-10-17,BUY_PE_GTZ,58400,58410.98,468.14,444.74,-283.61,-0.479,0.00032,-66.75,20.3,4
2022-11-03,BUY_PE_GTZ,60800,60836.41,137.06,178.18,363.29,-0.452,0.00099,-84.15,12.6,1
2022-12-13,BUY_CE_GTZ,62500,62533.3,243.56,316.63,682.28,0.552,0.00076,-40.58,9.2,3
2023-01-11,BUY_CE_GTZ,60100,60105.5,287.88,374.24,815.0,0.518,0.00058,-73.99,15.5,2
2023-01-24,BUY_PE_GTZ,61000,60978.75,253.48,329.53,711.98,-0.491,0.00061,-48.55,11.7,3
2023-02-01,BUY_CE_GTZ,59700,59708.08,257.12,462.82,2008.49,0.521,0.00066,-65.97,13.7,2
2023-02-02,BUY_CE_GTZ,59900,59932.24,188.69,339.64,1461.36,0.542,0.00095,-88.49,13.3,1
2023-02-07,BUY_PE_GTZ,60300,60286.04,280.28,364.37,792.24,-0.488,0.00055,-53.49,13.3,3
2023-02-08,BUY_PE_GTZ,60700,60663.79,236.52,224.69,-166.64,-0.508,0.00069,-62.8,12.8,2
2023-03-03,BUY_CE_GTZ,59800,59808.97,167.68,301.82,1293.4,0.521,0.00101,-84.26,12.6,1
2023-03-09,BUY_PE_GTZ,59800,59806.28,154.06,277.31,1184.51,-0.482,0.00098,-86.28,13.0,1
2023-03-16,BUY_CE_GTZ,57600,57634.84,189.02,245.72,518.9,0.545,0.00096,-87.81,13.8,1
2023-04-10,BUY_PE_GTZ,59800,59846.51,316.94,412.03,902.05,-0.458,0.00044,-49.68,14.4,4
2023-04-17,BUY_PE_GTZ,59900,59910.75,264.54,476.18,2067.82,-0.468,0.00055,-41.25,11.6,4
2023-05-08,BUY_PE_GTZ,61800,61764.25,259.23,246.27,-178.11,-0.493,0.0006,-38.38,10.2,4
2023-05-18,BUY_CE_GTZ,61400,61431.74,152.81,145.17,-124.37,0.553,0.00121,-70.65,10.2,1
2023-05-23,BUY_PE_GTZ,62000,61981.79,218.41,283.93,606.93,-0.488,0.0007,-43.04,10.1,3
2023-05-25,BUY_CE_GTZ,61900,61872.62,124.49,161.83,325.64,0.481,0.0012,-71.45,10.3,1
2023-05-26,BUY_PE_GTZ,62500,62501.69,133.71,127.03,-114.73,-0.484,0.00114,-75.38,10.7,1
2023-06-01,BUY_PE_GTZ,62400,62428.54,115.64,150.33,299.14,-0.452,0.00117,-71.85,10.3,1
2023-06-06,BUY_PE_GTZ,62800,62792.88,168.74,160.31,-132.42,-0.475,0.00087,-35.57,8.0,3
2023-06-08,BUY_PE_GTZ,62800,62848.64,82.91,149.24,615.68,-0.413,0.00141,-58.49,8.4,1
2023-06-09,BUY_PE_GTZ,62600,62625.63,94.55,170.19,708.72,-0.447,0.00141,-60.51,8.6,1
2023-06-14,BUY_PE_GTZ,63200,63228.51,125.19,118.93,-110.42,-0.445,0.00106,-42.01,8.0,2
2023-06-21,BUY_PE_GTZ,63500,63523.67,130.69,124.16,-113.2,-0.451,0.00103,-43.02,8.1,2
2023-07-07,BUY_PE_GTZ,65200,65223.0,117.7,211.86,893.79,-0.458,0.00118,-72.13,9.9,1
2023-07-10,BUY_PE_GTZ,65400,65399.5,239.39,311.21,669.78,-0.47,0.00061,-38.16,9.6,4
2023-07-11,BUY_PE_GTZ,65600,65646.79,189.36,246.17,519.93,-0.441,0.00069,-42.8,9.6,3
2023-08-16,BUY_CE_GTZ,65500,65469.47,195.29,253.88,537.71,0.496,0.0008,-55.46,10.3,2
2023-08-18,BUY_CE_GTZ,64900,64869.92,120.57,156.74,313.9,0.478,0.00123,-70.21,9.6,1
2023-08-25,BUY_CE_GTZ,64800,64795.92,124.24,118.03,-109.94,0.511,0.00132,-66.09,8.9,1
2023-08-28,BUY_CE_GTZ,65000,64958.29,244.77,318.2,685.89,0.505,0.00066,-36.11,8.9,4
2023-08-29,BUY_CE_GTZ,65100,65106.59,224.07,291.29,623.89,0.534,0.00078,-39.83,8.6,3
2023-08-30,BUY_CE_GTZ,65100,65084.25,169.24,160.78,-132.67,0.508,0.00096,-47.23,8.6,2
2023-08-31,BUY_CE_GTZ,64800,64831.41,131.09,170.42,345.43,0.564,0.00145,-59.94,8.0,1
2023-09-01,BUY_CE_GTZ,65400,65387.16,108.64,195.54,821.34,0.499,0.00146,-60.41,8.0,1
2023-10-06,BUY_PE_GTZ,66000,65995.63,140.84,183.09,374.61,-0.491,0.0011,-78.03,10.5,1
2023-10-13,BUY_PE_GTZ,66300,66282.74,149.7,194.6,401.14,-0.505,0.00108,-79.45,10.6,1
2023-10-19,BUY_CE_GTZ,65600,65629.24,158.28,205.77,426.86,0.549,0.00115,-74.32,10.0,1
2023-10-20,BUY_CE_GTZ,65400,65397.62,134.52,174.88,355.69,0.512,0.00123,-70.83,9.5,1
2023-11-09,BUY_PE_GTZ,64800,64832.2,143.76,186.89,383.38,-0.457,0.00096,-87.19,12.2,1
2023-11-10,BUY_PE_GTZ,64900,64904.68,157.46,204.69,424.38,-0.483,0.00096,-88.27,12.2,1
2023-12-22,BUY_PE_GTZ,71100,71106.96,189.09,245.82,519.13,-0.483,0.0008,-105.45,13.4,1
2024-01-01,BUY_PE_GTZ,72300,72271.94,391.19,508.55,1124.41,-0.488,0.00039,-56.68,13.3,4
2024-01-25,BUY_CE_GTZ,70700,70700.67,238.01,309.42,665.65,0.511,0.00069,-122.02,15.7,1
2024-02-02,BUY_PE_GTZ,72100,72085.63,270.68,487.22,2116.85,-0.499,0.00059,-141.41,17.9,1
2024-02-29,BUY_PE_GTZ,72500,72500.3,154.69,201.09,416.08,-0.486,0.00099,-86.86,10.6,1
2024-03-01,BUY_CE_GTZ,73700,73745.35,221.91,399.43,1726.93,0.55,0.00083,-102.1,12.4,1
2024-03-05,BUY_PE_GTZ,73700,73677.13,312.95,406.83,890.08,-0.49,0.0005,-59.99,12.1,3
2024-03-13,BUY_CE_GTZ,72800,72761.89,260.85,339.11,734.06,0.495,0.0006,-73.08,12.4,2
2024-05-03,BUY_PE_GTZ,73900,73878.15,200.38,360.69,1554.85,-0.506,0.00081,-104.68,12.7,1
2024-05-13,BUY_CE_GTZ,72800,72776.13,424.27,763.69,3344.86,0.514,0.00039,-57.83,13.5,4
2024-05-31,BUY_CE_GTZ,74000,73961.31,171.24,222.61,465.67,0.479,0.00087,-98.0,11.9,1
2024-06-07,BUY_PE_GTZ,76700,76693.36,539.1,512.15,-319.45,-0.494,0.00029,-278.14,33.9,1
