date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte,pcr
2020-09-25,BUY_PE,21000,20982.35,135.75,271.49,1987.96,-0.514,0.00124,-66.22,29.4,1,0.91
2020-10-13,BUY_CE,23500,23492.2,306.3,459.45,2247.75,0.509,0.00052,-52.72,35.8,3,1.06
2020-10-23,BUY_CE,24500,24478.3,157.42,314.84,2312.92,0.487,0.00096,-84.99,32.5,1,1.08
2020-11-20,BUY_CE,29250,29236.0,223.77,335.65,1629.36,0.498,0.0007,-116.6,37.4,1,1.06
2020-12-23,BUY_PE,29900,29883.3,215.71,431.42,3186.86,-0.501,0.00075,-55.87,24.1,2,0.95
2021-01-01,BUY_CE,31250,31225.85,145.58,291.16,2135.4,0.483,0.00103,-79.92,23.7,1,1.05
2021-03-31,BUY_PE,33300,33303.9,257.36,386.04,1881.07,-0.487,0.0006,-69.2,27.0,2,0.95
2021-04-07,BUY_PE,33000,32991.2,277.19,554.37,4108.52,-0.494,0.00057,-72.61,28.6,2,0.95
2021-04-19,BUY_PE,31200,31208.4,477.08,954.16,7105.45,-0.482,0.00032,-64.27,37.8,4,0.93
2021-05-06,BUY_PE,32850,32827.8,262.38,524.76,3886.56,-0.506,0.00063,-130.02,37.1,1,0.95
2021-05-20,BUY_CE,33350,33334.55,202.05,404.09,2981.97,0.496,0.00077,-106.27,29.7,1,1.06
2021-09-03,BUY_CE,36750,36761.15,120.8,241.59,1763.83,0.527,0.00142,-59.18,14.6,1,1.06
2021-10-20,BUY_CE,39500,39518.2,202.48,404.96,2988.51,0.53,0.00085,-50.06,15.9,2,1.05
2021-10-27,BUY_CE,40850,40874.35,211.26,422.52,3120.1,0.535,0.00083,-51.49,15.8,2,1.07
2021-11-02,BUY_PE,39950,39938.45,317.97,635.94,4719.97,-0.491,0.00049,-57.35,22.4,3,0.94
2021-12-01,BUY_PE,36350,36364.9,212.24,424.48,3134.8,-0.477,0.0007,-59.53,21.0,2,0.94
2021-12-13,BUY_CE,36950,36925.25,386.14,772.29,5742.06,0.506,0.00041,-51.43,25.0,4,1.07
2021-12-23,BUY_PE,35200,35191.15,215.17,322.76,1564.97,-0.499,0.00074,-110.1,29.1,1,0.93
2022-01-13,BUY_CE,38450,38469.95,224.42,448.85,3317.49,0.523,0.00075,-108.78,26.2,1,1.05
2022-02-04,BUY_CE,38800,38789.35,152.7,305.4,2242.14,0.498,0.00103,-80.69,19.1,1,1.06
2022-04-06,BUY_CE,37650,37632.8,308.38,462.57,2263.35,0.502,0.00051,-80.88,27.9,2,1.07
2022-04-11,BUY_PE,37600,37613.8,404.31,161.72,-3688.99,-0.479,0.00037,-56.27,27.0,4,0.95
2022-06-01,BUY_CE,35600,35620.8,319.74,127.89,-2927.22,0.522,0.00052,-78.85,28.8,2,1.07
2022-08-16,BUY_CE,39250,39239.65,193.75,387.51,2857.66,0.511,0.00084,-34.93,13.3,3,1.07
2022-09-06,BUY_CE,39650,39666.5,327.76,655.51,4866.7,0.523,0.00051,-55.0,21.5,3,1.07
2022-10-20,BUY_CE,40100,40099.55,239.83,203.86,-588.62,0.507,0.00067,-121.81,28.2,1,1.08
2023-02-01,BUY_PE,40500,40513.0,224.73,449.47,3322.13,-0.479,0.00067,-62.98,19.9,2,0.89
2024-04-19,BUY_PE,47550,47574.15,118.89,237.78,1735.29,-0.46,0.00118,-70.89,13.6,1,0.94
2024-08-08,BUY_PE,50150,50156.7,134.57,269.14,1970.36,-0.481,0.00112,-75.38,13.6,1,0.95
2024-11-28,BUY_CE,51900,51906.85,219.77,439.55,3247.75,0.514,0.00075,-110.48,19.5,1,1.06
2024-12-24,BUY_PE,51250,51233.0,273.54,232.51,-664.72,-0.491,0.00057,-50.98,15.0,3,0.94
2025-01-14,BUY_PE,48750,48729.15,325.9,651.79,4838.79,-0.494,0.00048,-59.09,18.6,3,0.94
2025-03-26,BUY_CE,51200,51209.0,242.98,485.96,3595.67,0.521,0.00069,-61.92,15.2,2,1.06
2025-03-27,BUY_CE,51600,51575.85,156.22,234.33,1123.26,0.487,0.00097,-86.19,15.2,1,1.06
2025-04-24,BUY_CE,55200,55201.4,303.88,607.76,4508.7,0.509,0.00053,-154.04,25.9,1,1.08
2025-05-16,BUY_CE,55350,55354.9,263.27,223.78,-641.53,0.511,0.00062,-132.87,22.1,1,1.07
2025-10-08,BUY_CE,56000,56018.25,189.57,379.14,2794.96,0.537,0.00093,-47.6,10.3,2,1.05
2026-02-06,BUY_CE,60100,60120.55,239.37,95.75,-2203.34,0.524,0.00071,-117.09,17.8,1,1.06
2026-02-09,BUY_CE,60650,60669.35,483.18,410.7,-1137.98,0.526,0.00035,-61.91,17.8,4,1.07
