date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte,pcr
2021-03-05,BUY_CE,14950,14938.1,75.93,151.85,1849.98,0.484,0.00198,-41.46,25.8,1,1.06
2021-08-06,BUY_CE,16250,16238.2,35.78,71.56,846.89,0.466,0.00396,-21.3,11.8,1,1.06
2021-12-13,BUY_CE,17350,17368.25,174.65,349.31,4316.99,0.535,0.001,-21.43,21.9,4,1.05
2022-01-06,BUY_CE,17750,17745.9,64.71,97.06,760.82,0.5,0.00244,-34.15,17.6,1,1.06
2022-01-07,BUY_CE,17800,17812.7,73.78,147.55,1796.27,0.54,0.00242,-34.32,17.6,1,1.05
2022-03-02,BUY_PE,16600,16605.95,152.53,228.79,1857.5,-0.483,0.001,-41.03,32.3,2,0.95
2022-03-03,BUY_PE,16500,16498.05,108.85,163.28,1312.07,-0.495,0.00146,-56.14,31.7,1,0.94
2022-03-15,BUY_CE,16650,16663.0,208.42,416.85,5160.81,0.524,0.0008,-34.36,32.8,3,1.08
2022-03-23,BUY_CE,17250,17245.65,167.92,335.85,4148.79,0.507,0.00095,-43.28,32.8,2,1.07
2022-04-20,BUY_PE,17150,17136.55,95.14,190.28,2330.13,-0.51,0.00174,-24.42,18.1,2,0.94
2022-06-01,BUY_CE,16500,16522.75,139.82,209.73,1698.79,0.54,0.00127,-32.68,25.6,2,1.06
2022-06-02,BUY_CE,16650,16628.0,80.4,32.16,-1254.13,0.469,0.00177,-46.01,25.8,1,1.06
2023-01-31,BUY_PE,17650,17662.15,76.93,153.87,1875.17,-0.458,0.00181,-15.93,13.7,3,0.95
2023-02-01,BUY_PE,17600,17616.3,60.0,119.99,1451.94,-0.447,0.00223,-18.95,13.6,2,0.94
2024-04-19,BUY_PE,22150,22147.0,54.32,108.64,1310.15,-0.496,0.0029,-29.36,11.8,1,0.95
2024-06-13,BUY_CE,23400,23398.9,169.29,143.89,-684.14,0.506,0.00095,-85.95,34.3,1,1.05
2024-10-09,BUY_PE,25000,24981.95,128.52,51.41,-1976.56,-0.509,0.00128,-33.25,16.8,2,0.94
2024-11-19,BUY_PE,23500,23518.5,102.32,40.93,-1583.24,-0.455,0.00135,-21.35,13.8,3,0.95
2025-03-26,BUY_CE,23500,23486.85,98.01,196.03,2401.89,0.495,0.00159,-27.14,14.5,2,1.05
2026-02-06,BUY_CE,25700,25693.7,91.39,36.55,-1419.13,0.499,0.00173,-48.39,17.2,1,1.07
2026-02-09,BUY_CE,25850,25867.3,203.39,172.88,-812.47,0.534,0.00086,-25.48,17.1,4,1.06
