date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte,pcr
2020-09-25,BUY_PE,37400,37388.66,183.74,367.48,1789.26,-0.502,0.00088,-94.06,23.2,1,0.93
2021-03-05,BUY_CE,50400,50405.32,285.42,570.84,2805.55,0.511,0.00057,-143.61,26.4,1,1.05
2021-08-06,BUY_CE,54300,54277.72,133.46,266.93,1286.77,0.487,0.00114,-74.48,12.3,1,1.06
2021-08-09,BUY_CE,54400,54402.85,296.75,445.13,1435.08,0.527,0.00058,-39.42,12.1,4,1.05
2021-12-13,BUY_CE,58300,58283.42,548.09,1096.17,5430.91,0.512,0.0003,-72.14,22.0,4,1.05
2022-01-06,BUY_CE,59600,59601.84,223.0,334.5,1066.7,0.511,0.00073,-113.71,17.4,1,1.06
2022-01-07,BUY_CE,59700,59744.65,246.02,492.03,2411.74,0.542,0.00073,-113.8,17.4,1,1.05
2022-02-04,BUY_CE,58600,58644.82,265.84,531.69,2609.9,0.539,0.00067,-123.67,19.4,1,1.05
2022-03-02,BUY_PE,55500,55468.9,532.47,798.7,2612.47,-0.499,0.0003,-136.7,32.2,2,0.94
2022-03-03,BUY_PE,55100,55102.68,356.77,142.71,-2189.59,-0.491,0.00044,-186.35,31.5,1,0.93
2022-03-23,BUY_CE,57700,57684.82,576.21,1152.41,5711.98,0.506,0.00028,-148.47,33.7,2,1.07
2022-04-20,BUY_PE,57000,57037.5,297.2,594.41,2923.35,-0.469,0.00049,-85.93,19.3,2,0.93
2022-05-26,BUY_CE,54300,54252.53,272.07,108.83,-1681.0,0.482,0.00055,-149.7,25.6,1,1.06
2022-06-01,BUY_CE,55400,55381.17,413.57,827.14,4086.43,0.504,0.00039,-108.17,25.3,2,1.06
2022-08-25,BUY_PE,58800,58774.72,180.09,270.13,852.34,-0.512,0.00092,-91.63,14.1,1,0.95
2024-04-19,BUY_PE,73100,73088.33,183.39,366.78,1785.77,-0.498,0.00086,-98.54,12.1,1,0.95
2024-06-12,BUY_CE,76600,76606.57,784.22,1176.34,3870.0,0.512,0.00021,-198.6,33.9,2,1.06
2024-07-01,BUY_CE,79500,79476.19,1108.46,443.38,-5052.11,0.512,0.00015,-143.52,32.9,4,1.05
2024-12-24,BUY_PE,78500,78472.87,414.02,351.91,-670.29,-0.492,0.00038,-77.17,14.8,3,0.94
2025-04-09,BUY_PE,73800,73847.15,417.19,354.61,-675.07,-0.471,0.00035,-119.27,20.8,2,0.93
2026-02-06,BUY_CE,83600,83580.4,292.8,117.12,-1805.46,0.499,0.00054,-154.95,16.9,1,1.07
2026-02-09,BUY_CE,84100,84065.75,603.31,512.81,-955.18,0.51,0.00027,-81.32,16.8,4,1.06
