date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte
2020-09-24,SELL_CE,20661.225714285712,20456.85,60.7,91.05,-327.26,0.285,0.00098,-59.64,32.3,1
2020-09-24,SELL_CE,20661.225714285712,20456.85,60.7,91.05,-327.26,0.285,0.00098,-59.64,32.3,1
2020-09-28,SELL_PE,21241.117142857143,21665.5,116.37,174.56,-921.97,-0.263,0.00045,-30.31,31.7,4
2020-09-30,SELL_CE,21727.314285714285,21451.8,95.29,34.39,864.74,0.302,0.00069,-44.91,31.6,2
2020-10-01,SELL_PE,22026.518571428573,22246.0,76.39,114.58,-403.91,-0.291,0.00083,-72.2,35.6,1
2020-10-05,SELL_PE,21922.455714285716,22370.95,140.95,81.37,844.18,-0.276,0.00041,-35.1,34.7,4
2020-10-07,SELL_PE,22694.748214285715,22964.8,127.27,190.9,-652.51,-0.318,0.00059,-55.58,35.8,2
2020-10-08,SELL_PE,22975.722857142857,23191.35,79.92,0.05,1149.56,-0.297,0.00082,-74.18,34.7,1
2020-10-12,SELL_PE,23268.0,23712.8,172.43,103.9,977.8,-0.296,0.00038,-40.3,36.4,4
2020-10-14,SELL_PE,23609.4375,23874.65,137.26,205.9,-701.35,-0.327,0.00057,-58.41,35.8,2
2020-10-14,SELL_CE,24139.862500000003,23874.65,145.57,62.11,1202.14,0.348,0.00058,-59.86,35.8,2
2020-10-14,SELL_CE,24139.862500000003,23874.65,145.57,62.11,1202.14,0.348,0.00058,-59.86,35.8,2
2020-10-15,SELL_PE,22852.538571428573,23072.4,95.25,0.06,1379.05,-0.312,0.00075,-84.26,38.8,1
2020-10-15,SELL_CE,23292.26142857143,23072.4,99.47,149.2,-516.69,0.327,0.00077,-85.95,38.8,1
2020-10-15,SELL_CE,23292.26142857143,23072.4,99.47,149.2,-516.69,0.327,0.00077,-85.95,38.8,1
2020-10-19,SELL_PE,23802.464285714286,24266.75,207.1,310.65,-1603.96,-0.309,0.00035,-46.31,40.1,4
2020-10-19,SELL_PE,23802.464285714286,24266.75,207.1,310.65,-1603.96,-0.309,0.00035,-46.31,40.1,4
2020-10-21,SELL_PE,24353.710714285713,24635.05,144.17,216.26,-735.11,-0.326,0.00054,-61.48,36.5,2
2020-10-21,SELL_PE,24353.710714285713,24635.05,144.17,216.26,-735.11,-0.326,0.00054,-61.48,36.5,2
2020-10-26,SELL_CE,24525.378571428573,24075.45,164.22,246.34,-1281.65,0.311,0.00042,-38.29,33.2,4
2020-10-27,SELL_PE,24358.9575,24769.5,127.19,190.78,-1003.24,-0.276,0.00045,-42.27,32.8,3
2020-10-29,SELL_CE,24349.23857142857,24092.0,75.76,0.05,1087.11,0.284,0.00078,-74.57,34.3,1
2020-11-02,SELL_PE,24391.034285714286,24892.5,163.06,244.59,-1272.91,-0.279,0.00036,-40.16,35.5,4
2020-11-03,SELL_PE,25210.28,25682.8,147.42,221.14,-1155.37,-0.276,0.00039,-48.69,36.5,3
2020-11-05,SELL_PE,26057.55,26313.1,98.33,147.49,-511.1,-0.301,0.00068,-90.13,37.0,1
2020-11-09,SELL_PE,27021.28857142857,27534.1,206.37,125.25,1166.1,-0.3,0.00033,-47.69,36.9,4
2020-11-10,SELL_PE,28149.54,28606.0,200.05,300.07,-1550.93,-0.309,0.00036,-59.73,38.2,3
2020-11-11,SELL_PE,28513.176785714284,28845.0,179.73,269.59,-908.83,-0.331,0.00045,-75.39,38.1,2
2020-11-12,SELL_CE,28555.082857142857,28278.8,102.43,153.65,-531.16,0.307,0.00067,-93.96,35.5,1
2020-11-17,SELL_PE,28710.485,29181.3,167.92,88.36,1143.25,-0.29,0.00038,-53.42,34.4,3
2020-11-18,SELL_PE,29420.925,29749.85,162.45,243.68,-824.42,-0.323,0.00047,-70.1,34.6,2
2020-11-19,SELL_CE,29172.217142857142,28903.05,119.48,179.22,-614.45,0.325,0.00063,-103.85,37.5,1
2020-11-24,SELL_PE,29270.4675,29737.25,190.88,286.33,-1482.05,-0.303,0.00036,-58.26,36.1,3
2020-11-25,SELL_PE,28867.553571428572,29196.4,164.9,69.76,1377.18,-0.324,0.00047,-70.8,35.6,2
2020-11-26,SELL_CE,29832.55285714286,29549.75,105.79,0.05,1537.13,0.308,0.00065,-96.8,35.0,1
2020-12-02,SELL_CE,29792.617857142857,29463.15,144.24,216.36,-735.44,0.326,0.00053,-63.38,31.4,2
2020-12-09,SELL_PE,30397.07142857143,30709.4,111.4,167.1,-574.98,-0.291,0.00057,-53.28,26.5,2
2020-12-10,SELL_CE,30753.142857142855,30510.35,77.81,0.05,1117.82,0.292,0.00081,-74.86,26.7,1
2020-12-15,SELL_CE,31057.934999999998,30691.05,137.91,72.08,937.91,0.312,0.00051,-42.65,25.0,3
2020-12-16,SELL_PE,30442.0875,30698.4,108.15,43.35,923.03,-0.308,0.00065,-49.5,23.9,2
2020-12-21,SELL_CE,29810.115714285716,29456.45,181.97,272.95,-1415.01,0.345,0.00046,-38.64,26.0,4
2020-12-22,SELL_CE,29985.285,29625.95,139.77,73.7,941.6,0.316,0.00051,-42.75,25.8,3
2020-12-23,SELL_PE,29626.701785714286,29883.3,104.4,156.6,-540.77,-0.304,0.00066,-48.26,24.1,2
2020-12-24,SELL_PE,30195.155714285716,30402.2,66.79,100.19,-357.02,-0.283,0.0009,-65.27,23.7,1
2020-12-28,SELL_PE,30475.475714285716,30880.95,139.43,82.22,808.73,-0.285,0.00044,-34.47,24.0,4
2020-12-29,SELL_PE,30968.345,31322.5,128.84,68.31,858.49,-0.292,0.00049,-41.39,24.5,3
2020-12-30,SELL_PE,31049.433928571427,31303.05,116.83,175.25,-601.53,-0.316,0.00063,-52.12,24.4,2
2021-01-04,SELL_CE,31598.167142857143,31212.45,148.69,87.73,864.67,0.316,0.00048,-34.48,22.5,4
2021-01-05,SELL_PE,31366.0275,31722.25,119.41,179.11,-944.76,-0.284,0.00051,-39.39,23.3,3
2021-01-06,SELL_PE,31530.169642857145,31797.9,105.77,41.42,916.32,-0.301,0.00064,-49.39,23.3,2
2021-01-07,SELL_PE,31739.272857142856,31956.0,65.03,0.05,926.47,-0.276,0.00088,-65.04,22.7,1
2021-01-13,SELL_PE,32347.91785714286,32574.65,119.21,178.82,-613.15,-0.328,0.00066,-51.47,22.7,2
2021-01-18,SELL_CE,32168.11857142857,31811.75,180.83,271.25,-1406.49,0.344,0.00046,-38.65,24.0,4
2021-01-20,SELL_PE,32301.97857142857,32543.7,60.24,19.68,560.26,-0.255,0.00082,-32.84,16.2,2
2021-01-21,SELL_PE,31994.575714285715,32186.9,42.88,64.32,-240.18,-0.246,0.00108,-47.4,17.3,1
2021-01-21,SELL_CE,32379.22428571429,32186.9,46.36,69.54,-257.18,0.263,0.00112,-49.1,17.3,1
2021-01-27,SELL_CE,30558.098214285714,30284.55,103.97,155.96,-538.69,0.312,0.00068,-47.92,23.3,2
2021-01-28,SELL_CE,30596.774285714284,30358.3,60.5,0.05,858.54,0.268,0.00089,-62.7,23.4,1
2021-02-01,SELL_PE,32550.78142857143,33089.05,318.36,477.54,-2440.26,-0.335,0.00026,-65.9,40.5,4
2021-02-02,SELL_PE,33699.5475,34267.9,280.47,420.71,-2155.47,-0.32,0.00027,-80.7,42.5,3
2021-02-03,SELL_PE,34338.296428571426,34758.45,250.3,375.45,-1253.64,-0.339,0.00034,-102.01,42.4,2
2021-02-04,SELL_PE,34998.36571428572,35344.8,168.14,252.21,-852.22,-0.323,0.00045,-143.74,42.7,1
2021-02-10,SELL_CE,36270.08214285714,35783.1,257.97,108.99,2183.12,0.345,0.00032,-106.85,42.9,2
2021-02-15,SELL_PE,36543.938571428575,37306.25,354.15,531.22,-2709.28,-0.313,0.00021,-78.03,43.9,4
2021-02-18,SELL_CE,36967.47,36587.0,181.84,272.75,-919.12,0.333,0.00043,-154.49,43.8,1
2021-02-22,SELL_CE,35935.66285714285,35257.2,360.7,541.05,-2758.53,0.349,0.00023,-75.01,42.7,4
2021-02-24,SELL_PE,36036.450000000004,36452.3,265.19,397.79,-1326.41,-0.345,0.00033,-106.21,41.8,2
2021-02-25,SELL_PE,36206.81285714286,36549.0,173.07,0.21,2542.74,-0.327,0.00045,-146.32,41.8,1
2021-03-03,SELL_PE,35939.58035714286,36368.05,196.7,295.05,-991.74,-0.316,0.00037,-86.58,35.3,2
2021-03-15,SELL_CE,35866.170000000006,35182.55,274.74,164.43,1602.7,0.321,0.00027,-62.11,36.5,4
2021-03-17,SELL_CE,34657.864285714284,34229.25,177.11,265.67,-896.05,0.32,0.00041,-79.05,34.0,2
2021-03-18,SELL_CE,34184.45285714286,33856.8,114.98,172.47,-592.47,0.302,0.00058,-107.28,34.2,1
