date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte
2020-09-24,SELL_CE,10885.55,10805.55,19.0,28.5,-185.43,0.262,0.00269,-20.14,21.3,1
2020-09-24,SELL_CE,10885.55,10805.55,19.0,28.5,-185.43,0.262,0.00269,-20.14,21.3,1
2020-10-01,SELL_PE,11336.95,11416.95,24.16,0.05,554.79,-0.277,0.00238,-24.09,23.5,1
2020-10-01,SELL_PE,11336.95,11416.95,24.16,0.05,554.79,-0.277,0.00238,-24.09,23.5,1
2020-10-07,SELL_PE,11638.85,11738.85,38.62,57.93,-345.15,-0.299,0.00172,-18.15,23.2,2
2020-10-08,SELL_PE,11754.6,11834.6,25.32,0.05,583.74,-0.282,0.00234,-24.9,23.2,1
2020-10-08,SELL_PE,11754.6,11834.6,25.32,0.05,583.74,-0.282,0.00234,-24.9,23.2,1
2020-10-15,SELL_CE,11760.35,11680.35,29.62,44.44,-271.91,0.307,0.00231,-27.31,24.8,1
2020-10-15,SELL_CE,11760.35,11680.35,29.62,44.44,-271.91,0.307,0.00231,-27.31,24.8,1
2020-10-29,SELL_CE,11750.8,11670.8,15.58,0.05,340.56,0.241,0.00284,-17.63,18.0,1
2020-11-04,SELL_PE,11808.5,11908.5,20.95,31.43,-201.29,-0.239,0.00209,-12.01,16.8,2
2020-11-05,SELL_PE,12040.3,12120.3,15.64,23.46,-158.06,-0.234,0.00268,-17.98,18.0,1
2020-11-05,SELL_PE,12040.3,12120.3,15.64,23.46,-158.06,-0.234,0.00268,-17.98,18.0,1
2020-11-10,SELL_PE,12481.1,12631.1,32.56,48.84,-455.13,-0.241,0.00137,-12.34,19.8,3
2020-11-11,SELL_PE,12649.15,12749.15,34.06,51.08,-308.01,-0.287,0.0018,-16.73,20.0,2
2020-11-19,SELL_CE,12851.7,12771.7,17.95,26.93,-176.87,0.256,0.00274,-19.44,17.5,1
2020-11-25,SELL_CE,12958.4,12858.4,25.51,38.26,-238.39,0.271,0.00215,-13.41,16.2,2
2020-11-25,SELL_CE,12958.4,12858.4,25.51,38.26,-238.39,0.271,0.00215,-13.41,16.2,2
2020-12-03,SELL_PE,13053.9,13133.9,13.81,0.05,296.45,-0.221,0.00275,-16.59,15.7,1
2020-12-09,SELL_PE,13429.1,13529.1,16.45,3.95,264.85,-0.215,0.00218,-10.29,13.4,2
2020-12-10,SELL_CE,13558.3,13478.3,11.09,0.05,228.59,0.208,0.00303,-14.08,13.4,1
2020-12-16,SELL_PE,13582.7,13682.7,16.2,3.86,260.89,-0.213,0.00218,-10.2,13.1,2
2020-12-17,SELL_PE,13660.7,13740.7,9.88,0.05,198.21,-0.19,0.00287,-13.26,13.1,1
2020-12-21,SELL_CE,13528.4,13328.4,34.21,51.31,-475.78,0.232,0.0012,-10.28,18.3,4
2020-12-21,SELL_CE,13528.4,13328.4,34.21,51.31,-475.78,0.232,0.0012,-10.28,18.3,4
2020-12-23,SELL_PE,13501.1,13601.1,33.34,50.01,-302.19,-0.284,0.00181,-16.54,18.6,2
2020-12-24,SELL_PE,13669.25,13749.25,18.9,28.34,-184.56,-0.252,0.00256,-20.52,17.3,1
2020-12-24,SELL_PE,13669.25,13749.25,18.9,28.34,-184.56,-0.252,0.00256,-20.52,17.3,1
2021-01-20,SELL_PE,14544.7,14644.7,19.55,29.32,-189.87,-0.231,0.00211,-11.61,13.3,2
2021-01-21,SELL_PE,14510.35,14590.35,12.21,0.05,256.52,-0.209,0.0028,-15.34,13.5,1
2021-01-27,SELL_CE,14067.5,13967.5,34.67,52.0,-312.98,0.303,0.00193,-16.55,17.5,2
2021-01-27,SELL_CE,14067.5,13967.5,34.67,52.0,-312.98,0.303,0.00193,-16.55,17.5,2
2021-01-28,SELL_CE,13898.55857142857,13817.55,21.95,0.05,499.59,0.275,0.00257,-22.39,18.0,1
2021-01-28,SELL_CE,13898.55857142857,13817.55,21.95,0.05,499.59,0.275,0.00257,-22.39,18.0,1
2021-02-01,SELL_PE,14081.2,14281.2,76.25,114.37,-1002.43,-0.295,0.00086,-18.17,27.0,4
2021-02-02,SELL_PE,14464.295,14647.85,74.1,38.76,834.01,-0.302,0.00092,-22.92,28.7,3
2021-02-02,SELL_PE,14464.295,14647.85,74.1,38.76,834.01,-0.302,0.00092,-22.92,28.7,3
2021-02-03,SELL_PE,14655.098214285716,14789.95,67.49,101.24,-580.3,-0.324,0.00114,-29.22,28.8,2
2021-02-10,SELL_CE,15237.783928571429,15106.5,74.3,31.27,1026.5,0.351,0.00116,-30.42,28.5,2
2021-02-17,SELL_CE,15323.557142857142,15208.9,75.72,33.07,1017.07,0.365,0.00123,-29.77,27.2,2
2021-02-18,SELL_CE,15209.49142857143,15118.95,49.46,74.2,-433.48,0.345,0.00171,-40.69,27.3,1
2021-02-22,SELL_CE,14875.7,14675.7,95.49,143.23,-1243.49,0.337,0.00084,-20.66,28.2,4
2021-02-24,SELL_PE,14882.0,14982.0,74.36,111.55,-636.25,-0.359,0.00124,-29.11,27.2,2
2021-02-24,SELL_PE,14882.0,14982.0,74.36,111.55,-636.25,-0.359,0.00124,-29.11,27.2,2
2021-02-25,SELL_PE,15017.35,15097.35,48.38,0.1,1158.46,-0.343,0.00176,-39.43,26.5,1
2021-02-25,SELL_PE,15017.35,15097.35,48.38,0.1,1158.46,-0.343,0.00176,-39.43,26.5,1
2021-03-02,SELL_PE,14769.1,14919.1,64.28,96.42,-852.55,-0.308,0.00109,-19.74,23.9,3
2021-03-03,SELL_PE,15141.069642857143,15245.6,66.05,99.08,-568.56,-0.345,0.0013,-27.04,25.1,2
2021-03-03,SELL_PE,15141.069642857143,15245.6,66.05,99.08,-568.56,-0.345,0.0013,-27.04,25.1,2
2021-03-10,SELL_PE,15055.735714285713,15174.8,62.75,26.26,863.39,-0.329,0.00126,-26.92,25.6,2
2021-03-15,SELL_CE,15129.5,14929.5,85.59,47.9,892.71,0.327,0.00089,-19.16,26.0,4
2021-03-17,SELL_CE,14839.205357142857,14721.3,65.87,98.8,-567.07,0.35,0.00131,-27.11,26.0,2
