date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte
2020-09-24,SELL_CE,36761.13485714285,36553.6,81.27,121.9,-295.39,0.313,0.00087,-73.88,21.2,1
2020-09-24,SELL_CE,36761.13485714285,36553.6,81.27,121.9,-295.39,0.313,0.00087,-73.88,21.2,1
2020-09-24,SELL_CE,36761.13485714285,36553.6,81.27,121.9,-295.39,0.313,0.00087,-73.88,21.2,1
2020-09-28,SELL_PE,37531.71114285714,37981.63,171.87,103.54,634.17,-0.295,0.00038,-41.34,22.9,4
2020-09-28,SELL_PE,37531.71114285714,37981.63,171.87,103.54,634.17,-0.295,0.00038,-41.34,22.9,4
2020-09-29,SELL_PE,37578.5015,37973.22,145.48,77.44,631.54,-0.293,0.00044,-46.75,22.7,3
2020-10-01,SELL_PE,38471.94714285715,38697.05,96.98,145.47,-346.58,-0.312,0.00074,-87.07,23.7,1
2020-10-01,SELL_PE,38471.94714285715,38697.05,96.98,145.47,-346.58,-0.312,0.00074,-87.07,23.7,1
2020-10-01,SELL_PE,38471.94714285715,38697.05,96.98,145.47,-346.58,-0.312,0.00074,-87.07,23.7,1
2020-10-05,SELL_PE,38519.95314285714,38973.7,177.73,107.59,652.15,-0.298,0.00037,-42.46,22.8,4
2020-10-05,SELL_PE,38519.95314285714,38973.7,177.73,107.59,652.15,-0.298,0.00037,-42.46,22.8,4
2020-10-06,SELL_PE,39188.193,39574.57,170.96,94.89,711.65,-0.311,0.00042,-52.05,23.6,3
2020-10-06,SELL_PE,39188.193,39574.57,170.96,94.89,711.65,-0.311,0.00042,-52.05,23.6,3
2020-10-07,SELL_PE,39599.96321428571,39878.95,155.75,233.63,-538.01,-0.334,0.00052,-66.03,23.7,2
2020-10-07,SELL_PE,39599.96321428571,39878.95,155.75,233.63,-538.01,-0.334,0.00052,-66.03,23.7,2
2020-10-07,SELL_PE,39599.96321428571,39878.95,155.75,233.63,-538.01,-0.334,0.00052,-66.03,23.7,2
2020-10-08,SELL_PE,39953.89,40182.67,101.79,0.07,968.84,-0.315,0.00071,-90.56,23.6,1
2020-10-08,SELL_PE,39953.89,40182.67,101.79,0.07,968.84,-0.315,0.00071,-90.56,23.6,1
2020-10-08,SELL_PE,39953.89,40182.67,101.79,0.07,968.84,-0.315,0.00071,-90.56,23.6,1
2020-10-12,SELL_PE,40133.25085714286,40593.8,190.59,116.59,690.64,-0.303,0.00036,-44.82,23.0,4
2020-10-14,SELL_CE,41050.86464285714,40794.74,171.39,77.22,892.53,0.366,0.00055,-67.41,22.8,2
2020-10-15,SELL_PE,39529.97542857143,39728.41,124.1,0.39,1188.56,-0.346,0.0007,-100.37,25.5,1
2020-10-15,SELL_PE,39529.97542857143,39728.41,124.1,0.39,1188.56,-0.346,0.0007,-100.37,25.5,1
2020-10-15,SELL_CE,39926.84457142858,39728.41,130.1,195.15,-454.46,0.362,0.00071,-101.98,25.5,1
2020-10-15,SELL_CE,39926.84457142858,39728.41,130.1,195.15,-454.46,0.362,0.00071,-101.98,25.5,1
2020-10-15,SELL_CE,39926.84457142858,39728.41,130.1,195.15,-454.46,0.362,0.00071,-101.98,25.5,1
2020-10-19,SELL_PE,40019.991428571426,40431.6,244.49,159.0,804.92,-0.336,0.00034,-51.79,25.6,4
2020-10-20,SELL_PE,40193.3905,40544.37,189.07,109.34,747.99,-0.329,0.00042,-54.57,23.5,3
2020-10-21,SELL_PE,40455.83071428571,40707.31,163.42,245.12,-562.98,-0.347,0.00053,-66.7,23.1,2
