entry_date,exit_date,trade_type,entry_spot,exit_spot,strike,entry_premium,exit_premium,quantity,pnl,strategy
2021-04-05 03:45:00,2021-04-06 03:45:00,BUY_CE,32678.849609375,32501.349609375,32700,268.28,113.18,30,-4752.99,Max Pain Magnet
2021-04-12 03:45:00,2021-04-13 03:45:00,BUY_CE,30792.0,31771.599609375,30800,303.61,947.82,30,19226.21,Max Pain Magnet
2021-04-13 03:45:00,2021-04-15 03:45:00,BUY_CE,31771.599609375,32112.849609375,31800,232.73,355.55,30,3584.64,Max Pain Magnet
2021-04-19 03:45:00,2021-04-22 03:45:00,BUY_PE,31208.400390625,31782.599609375,31200,338.47,23.83,30,-9539.1,Max Pain Magnet
2021-04-27 03:45:00,2021-04-28 03:45:00,BUY_CE,32735.349609375,33722.80078125,32700,277.91,986.67,30,21162.84,Max Pain Magnet
2021-04-28 03:45:00,2021-04-29 03:45:00,BUY_CE,33722.80078125,33714.5,33700,209.34,205.42,30,-217.54,Max Pain Magnet
2021-05-04 03:45:00,2021-05-05 03:45:00,BUY_PE,32270.349609375,32783.69921875,32300,276.3,35.06,30,-7337.34,Max Pain Magnet
2021-05-05 03:45:00,2021-05-06 03:45:00,BUY_CE,32783.69921875,32827.80078125,32800,173.2,178.93,30,71.95,Max Pain Magnet
2021-05-10 03:45:00,2021-05-12 03:45:00,BUY_PE,33142.3984375,32452.30078125,33100,331.16,622.41,30,8637.64,Max Pain Magnet
2021-05-14 03:45:00,2021-05-17 03:45:00,BUY_PE,32169.55078125,33459.25,32200,403.73,17.17,30,-11696.66,Max Pain Magnet
2021-05-19 03:45:00,2021-05-20 03:45:00,BUY_CE,33685.19921875,33334.55078125,33700,139.65,34.84,30,-3244.34,Max Pain Magnet
2021-05-25 03:45:00,2021-05-26 03:45:00,BUY_CE,34662.0,34684.19921875,34700,215.78,141.77,30,-2320.34,Max Pain Magnet
2021-05-26 03:45:00,2021-05-27 03:45:00,BUY_CE,34684.19921875,35095.05078125,34700,155.77,406.73,30,7428.82,Max Pain Magnet
2021-05-28 03:45:00,2021-05-31 03:45:00,BUY_PE,35141.44921875,35526.6484375,35100,452.08,120.91,30,-10035.02,Max Pain Magnet
2021-06-01 03:45:00,2021-06-02 03:45:00,BUY_PE,35337.19921875,35373.75,35300,175.28,104.47,30,-2224.19,Max Pain Magnet
2021-06-09 03:45:00,2021-06-10 03:45:00,BUY_CE,34800.5,35131.19921875,34800,140.83,345.18,30,6030.46,Max Pain Magnet
2021-06-15 03:45:00,2021-06-16 03:45:00,BUY_PE,35247.75,35003.5,35200,127.32,217.68,30,2610.71,Max Pain Magnet
2021-06-21 03:45:00,2021-06-22 03:45:00,BUY_CE,34871.30078125,34745.0,34900,137.75,45.49,30,-2867.74,Max Pain Magnet
2021-06-22 03:45:00,2021-06-23 03:45:00,BUY_CE,34745.0,34574.0,34700,127.86,27.88,30,-3099.44,Max Pain Magnet
2021-06-24 03:45:00,2021-06-25 03:45:00,BUY_CE,34827.0,35364.6484375,34800,272.06,615.7,30,10209.17,Max Pain Magnet
2021-06-30 03:45:00,2021-07-01 03:45:00,BUY_CE,34772.19921875,34684.0,34800,64.11,32.04,30,-1061.99,Max Pain Magnet
2021-07-02 03:45:00,2021-07-05 03:45:00,BUY_CE,34809.8984375,35212.0,34800,247.24,427.85,30,5318.33,Max Pain Magnet
2021-07-05 03:45:00,2021-07-06 03:45:00,BUY_PE,35212.0,35579.1484375,35200,140.51,11.11,30,-3981.93,Max Pain Magnet
2021-07-07 03:45:00,2021-07-08 03:45:00,BUY_CE,35771.30078125,35274.1015625,35800,63.22,0.39,30,-1984.76,Max Pain Magnet
2021-07-08 03:45:00,2021-07-13 03:45:00,BUY_PE,35274.1015625,35673.3984375,35300,266.66,15.76,30,-7627.06,Max Pain Magnet
2021-07-13 03:45:00,2021-07-14 03:45:00,BUY_CE,35673.3984375,35668.25,35700,108.38,69.53,30,-1265.58,Max Pain Magnet
2021-07-14 03:45:00,2021-07-15 03:45:00,BUY_CE,35668.25,35907.6484375,35700,68.37,213.78,30,4262.38,Max Pain Magnet
2021-07-16 03:45:00,2021-07-19 03:45:00,BUY_CE,35751.80078125,35079.19921875,35800,240.86,12.03,30,-6964.96,Max Pain Magnet
2021-07-27 03:45:00,2021-07-28 03:45:00,BUY_CE,34797.44921875,34532.8984375,34800,131.59,15.42,30,-3585.07,Max Pain Magnet
2021-08-02 03:45:00,2021-08-03 03:45:00,BUY_CE,34710.0,35207.44921875,34700,191.85,499.33,30,9124.49,Max Pain Magnet
2021-08-03 03:45:00,2021-08-04 03:45:00,BUY_PE,35207.44921875,36028.05078125,35200,125.27,0.09,30,-3855.28,Max Pain Magnet
2021-08-05 03:45:00,2021-08-10 03:45:00,BUY_CE,35834.75,36034.1015625,35800,402.37,276.04,30,-3889.97,Max Pain Magnet
2021-08-11 03:45:00,2021-08-12 03:45:00,BUY_CE,35806.3984375,35937.05078125,35800,101.84,171.92,30,2002.5,Max Pain Magnet
2021-08-13 03:45:00,2021-08-18 03:45:00,BUY_PE,36169.3515625,35554.5,36200,309.65,616.6,30,9108.48,Max Pain Magnet
2021-08-23 03:45:00,2021-08-24 03:45:00,BUY_PE,35124.3984375,35712.1015625,35100,142.75,3.57,30,-4275.32,Max Pain Magnet
2021-08-24 03:45:00,2021-08-25 03:45:00,BUY_CE,35712.1015625,35586.25,35700,134.87,45.82,30,-2771.46,Max Pain Magnet
2021-08-30 03:45:00,2021-08-31 03:45:00,BUY_PE,36347.6484375,36424.6015625,36300,162.79,82.85,30,-2498.28,Max Pain Magnet
