entry_date,exit_date,trade_type,entry_spot,exit_spot,strike,entry_premium,exit_premium,quantity,pnl,strategy
2021-04-05 03:45:00,2021-04-07 03:45:00,BUY_PE,49159.3203125,49661.76171875,49200,446.07,137.48,20,-6251.84,Max Pain Magnet
2021-04-07 03:45:00,2021-04-09 03:45:00,BUY_CE,49661.76171875,49591.3203125,49700,304.53,109.02,20,-3990.21,Max Pain Magnet
2021-04-09 03:45:00,2021-04-12 03:45:00,BUY_CE,49591.3203125,47883.37890625,49600,150.41,0.05,20,-3087.24,Max Pain Magnet
2021-04-13 03:45:00,2021-04-16 03:45:00,BUY_CE,48544.05859375,48832.03125,48500,483.54,376.33,20,-2224.24,Max Pain Magnet
2021-04-16 03:45:00,2021-04-19 03:45:00,BUY_CE,48832.03125,47949.421875,48800,203.21,8.29,20,-3978.49,Max Pain Magnet
2021-04-20 03:45:00,2021-04-23 03:45:00,BUY_CE,47705.80078125,47878.44921875,47700,462.62,266.49,20,-4002.64,Max Pain Magnet
2021-04-26 03:45:00,2021-04-27 03:45:00,BUY_PE,48386.51171875,48944.140625,48400,511.52,229.19,20,-5726.67,Max Pain Magnet
2021-04-28 03:45:00,2021-04-30 03:45:00,BUY_CE,49733.83984375,48782.359375,49700,399.12,4.38,20,-7974.88,Max Pain Magnet
2021-04-30 03:45:00,2021-05-03 03:45:00,BUY_CE,48782.359375,48718.51953125,48800,169.85,139.71,20,-682.71,Max Pain Magnet
2021-05-03 03:45:00,2021-05-04 03:45:00,BUY_CE,48718.51953125,48253.51171875,48700,515.31,248.38,20,-5418.53,Max Pain Magnet
2021-05-04 03:45:00,2021-05-05 03:45:00,BUY_PE,48253.51171875,48677.55078125,48300,425.07,177.76,20,-5026.13,Max Pain Magnet
2021-05-05 03:45:00,2021-05-10 03:45:00,BUY_CE,48677.55078125,49502.41015625,48700,329.73,777.79,20,8881.17,Max Pain Magnet
2021-05-11 03:45:00,2021-05-12 03:45:00,BUY_PE,49161.80859375,48690.80078125,49200,424.52,604.64,20,3522.45,Max Pain Magnet
2021-05-12 03:45:00,2021-05-14 03:45:00,BUY_CE,48690.80078125,48732.55078125,48700,346.38,141.54,20,-4176.84,Max Pain Magnet
2021-05-14 03:45:00,2021-05-17 03:45:00,BUY_CE,48732.55078125,49580.73046875,48700,154.14,850.04,20,13838.08,Max Pain Magnet
2021-05-18 03:45:00,2021-05-20 03:45:00,BUY_PE,50193.328125,49564.859375,50200,347.65,618.49,20,5336.7,Max Pain Magnet
