entry_date,exit_date,trade_type,entry_spot,exit_spot,strike,entry_premium,exit_premium,quantity,pnl,strategy
2021-05-19 03:45:00,2021-05-20 03:45:00,BUY_CE,15030.150390625,14906.0498046875,15050,45.72,3.58,75,-3350.81,OI Wall Bouncer
2021-05-28 03:45:00,2021-05-31 03:45:00,BUY_PE,15435.650390625,15582.7998046875,15450,133.36,33.93,75,-7647.36,OI Wall Bouncer
2021-06-01 03:45:00,2021-06-02 03:45:00,BUY_CE,15574.849609375,15576.2001953125,15550,85.46,57.28,75,-2303.79,OI Wall Bouncer
2021-06-02 03:45:00,2021-06-03 03:45:00,BUY_CE,15576.2001953125,15690.349609375,15600,36.28,92.38,75,4017.7,OI Wall Bouncer
2021-07-16 03:45:00,2021-07-19 03:45:00,BUY_PE,15923.400390625,15752.400390625,15900,49.17,142.22,75,6788.76,OI Wall Bouncer
2021-08-13 03:45:00,2021-08-18 03:45:00,BUY_CE,16529.099609375,16568.849609375,16550,99.57,42.89,75,-4440.89,OI Wall Bouncer
2021-08-18 03:45:00,2021-08-20 03:45:00,BUY_CE,16568.849609375,16450.5,16550,46.34,1.61,75,-3544.39,OI Wall Bouncer
2021-08-20 03:45:00,2021-08-23 03:45:00,BUY_PE,16450.5,16496.44921875,16450,74.55,36.7,75,-3028.97,OI Wall Bouncer
2021-08-23 03:45:00,2021-08-24 03:45:00,BUY_PE,16496.44921875,16624.599609375,16500,56.51,10.08,75,-3671.96,OI Wall Bouncer
2021-08-30 03:45:00,2021-08-31 03:45:00,BUY_PE,16931.05078125,17132.19921875,16950,67.17,5.54,75,-4812.54,OI Wall Bouncer
2021-09-01 03:45:00,2021-09-02 03:45:00,BUY_CE,17076.25,17234.150390625,17100,25.17,130.46,75,7706.76,OI Wall Bouncer
2021-09-15 03:45:00,2021-09-16 03:45:00,BUY_CE,17519.44921875,17629.5,17500,47.23,126.09,75,5724.47,OI Wall Bouncer
2021-09-17 03:45:00,2021-09-20 03:45:00,BUY_CE,17585.150390625,17396.900390625,17600,88.28,10.81,75,-6000.38,OI Wall Bouncer
2021-09-21 03:45:00,2021-09-22 03:45:00,BUY_CE,17562.0,17546.650390625,17550,65.04,39.12,75,-2134.13,OI Wall Bouncer
2021-09-22 03:45:00,2021-09-23 03:45:00,BUY_CE,17546.650390625,17822.94921875,17550,38.8,263.53,75,16664.97,OI Wall Bouncer
2021-10-01 03:45:00,2021-10-04 03:45:00,BUY_CE,17532.05078125,17691.25,17550,98.38,161.8,75,4566.14,OI Wall Bouncer
2021-10-11 03:45:00,2021-10-12 03:45:00,BUY_PE,17945.94921875,17991.94921875,17950,80.78,48.13,75,-2639.05,OI Wall Bouncer
2021-10-12 03:45:00,2021-10-13 03:45:00,BUY_PE,17991.94921875,18161.75,18000,69.23,5.94,75,-4937.04,OI Wall Bouncer
2021-10-18 03:45:00,2021-10-20 03:45:00,BUY_PE,18477.05078125,18266.599609375,18500,95.74,221.93,75,9274.33,OI Wall Bouncer
2021-11-16 03:45:00,2021-11-17 03:45:00,BUY_PE,17999.19921875,17898.650390625,18000,75.46,111.07,75,2480.92,OI Wall Bouncer
2021-11-22 03:45:00,2021-11-23 03:45:00,BUY_PE,17416.55078125,17503.349609375,17400,91.56,44.37,75,-3729.31,OI Wall Bouncer
2021-11-23 03:45:00,2021-11-24 03:45:00,BUY_CE,17503.349609375,17415.05078125,17500,91.46,30.17,75,-4786.9,OI Wall Bouncer
2021-11-24 03:45:00,2021-11-25 03:45:00,BUY_PE,17415.05078125,17536.25,17400,52.34,5.9,75,-3673.18,OI Wall Bouncer
2022-01-05 03:45:00,2022-01-06 03:45:00,BUY_PE,17925.25,17745.900390625,17950,74.98,195.79,75,8870.47,OI Wall Bouncer
2022-01-10 03:45:00,2022-01-12 03:45:00,BUY_CE,18003.30078125,18212.349609375,18000,121.18,212.68,75,6672.34,OI Wall Bouncer
2022-01-19 03:45:00,2022-01-20 03:45:00,BUY_PE,17938.400390625,17757.0,17950,54.0,184.22,75,9576.26,OI Wall Bouncer
2022-04-04 03:45:00,2022-04-05 03:45:00,BUY_CE,18053.400390625,17957.400390625,18050,151.41,65.68,75,-6619.66,OI Wall Bouncer
2022-04-05 03:45:00,2022-04-06 03:45:00,BUY_PE,17957.400390625,17807.650390625,17950,93.9,154.31,75,4340.6,OI Wall Bouncer
2022-04-12 03:45:00,2022-04-13 03:45:00,BUY_CE,17530.30078125,17475.650390625,17550,93.58,39.33,75,-4258.42,OI Wall Bouncer
2022-04-13 03:45:00,2022-04-18 03:45:00,BUY_PE,17475.650390625,17173.650390625,17500,78.64,311.87,75,17302.56,OI Wall Bouncer
2022-04-19 03:45:00,2022-04-20 03:45:00,BUY_PE,16958.650390625,17136.55078125,16950,82.53,10.7,75,-5577.47,OI Wall Bouncer
2022-04-25 03:45:00,2022-04-26 03:45:00,BUY_PE,16953.94921875,17200.80078125,16950,115.2,24.89,75,-6962.99,OI Wall Bouncer
2022-04-27 03:45:00,2022-04-28 03:45:00,BUY_CE,17038.400390625,17245.05078125,17050,70.56,192.2,75,8933.33,OI Wall Bouncer
