entry_date,exit_date,trade_type,entry_spot,exit_spot,strike,entry_premium,exit_premium,quantity,pnl,strategy
2021-05-18 03:45:00,2021-05-19 03:45:00,BUY_CE,50193.328125,49902.640625,50200,367.79,181.71,20,-3801.69,OI Wall Bouncer
2021-05-19 03:45:00,2021-05-21 03:45:00,BUY_PE,49902.640625,50540.48046875,49900,283.43,6.92,20,-5610.15,OI Wall Bouncer
2021-05-26 03:45:00,2021-05-28 03:45:00,BUY_CE,51017.51953125,51422.87890625,51000,306.13,423.56,20,2268.54,OI Wall Bouncer
2021-05-31 03:45:00,2021-06-01 03:45:00,BUY_PE,51937.44140625,51934.87890625,51900,357.91,237.43,20,-2489.6,OI Wall Bouncer
2021-06-01 03:45:00,2021-06-03 03:45:00,BUY_PE,51934.87890625,52232.4296875,51900,261.87,47.2,20,-4373.44,OI Wall Bouncer
2021-06-03 03:45:00,2021-06-04 03:45:00,BUY_CE,52232.4296875,52100.05078125,52200,181.59,74.43,20,-2223.15,OI Wall Bouncer
2021-06-09 03:45:00,2021-06-10 03:45:00,BUY_PE,51941.640625,52300.46875,51900,191.29,26.97,20,-3366.41,OI Wall Bouncer
2021-06-15 03:45:00,2021-06-16 03:45:00,BUY_PE,52773.05078125,52501.98046875,52800,216.34,328.49,20,2163.03,OI Wall Bouncer
2021-07-05 03:45:00,2021-07-07 03:45:00,BUY_PE,52880.0,53054.76171875,52900,171.33,59.94,20,-2307.87,OI Wall Bouncer
2021-07-07 03:45:00,2021-07-08 03:45:00,BUY_CE,53054.76171875,52568.94140625,53100,112.65,1.24,20,-2308.21,OI Wall Bouncer
2021-07-13 03:45:00,2021-07-14 03:45:00,BUY_PE,52769.73046875,52904.05078125,52800,167.07,82.4,20,-1773.34,OI Wall Bouncer
2021-07-14 03:45:00,2021-07-15 03:45:00,BUY_PE,52904.05078125,53158.8515625,52900,121.08,16.77,20,-2166.2,OI Wall Bouncer
2021-07-15 03:45:00,2021-07-16 03:45:00,BUY_CE,53158.8515625,53140.05859375,53200,79.21,44.02,20,-783.73,OI Wall Bouncer
2021-07-20 03:45:00,2021-07-22 03:45:00,BUY_CE,52198.51171875,52837.2109375,52200,202.2,621.79,20,8311.79,OI Wall Bouncer
2021-07-22 03:45:00,2021-07-23 03:45:00,BUY_PE,52837.2109375,52975.80078125,52800,99.13,23.92,20,-1584.19,OI Wall Bouncer
2021-07-26 03:45:00,2021-07-27 03:45:00,BUY_PE,52852.26953125,52578.76171875,52900,237.01,358.42,20,2348.18,OI Wall Bouncer
2021-08-02 03:45:00,2021-08-03 03:45:00,BUY_PE,52950.62890625,53823.359375,53000,246.92,24.67,20,-4524.91,OI Wall Bouncer
2021-08-03 03:45:00,2021-08-04 03:45:00,BUY_PE,53823.359375,54369.76953125,53800,216.11,37.05,20,-3661.25,OI Wall Bouncer
2021-08-12 03:45:00,2021-08-13 03:45:00,BUY_PE,54843.98046875,55437.2890625,54800,112.37,0.71,20,-2313.21,OI Wall Bouncer
2021-08-17 03:45:00,2021-08-20 03:45:00,BUY_PE,55792.26953125,55329.3203125,55800,212.66,447.81,20,4623.06,OI Wall Bouncer
2021-08-24 03:45:00,2021-08-26 03:45:00,BUY_PE,55958.98046875,55949.1015625,56000,216.03,124.23,20,-1915.94,OI Wall Bouncer
2021-08-26 03:45:00,2021-08-27 03:45:00,BUY_PE,55949.1015625,56124.71875,55900,86.19,14.23,20,-1519.3,OI Wall Bouncer
2021-08-30 03:45:00,2021-08-31 03:45:00,BUY_PE,56889.76171875,57552.390625,56900,231.3,33.95,20,-4026.99,OI Wall Bouncer
2021-09-02 03:45:00,2021-09-03 03:45:00,BUY_PE,57852.5390625,58129.94921875,57900,137.09,15.35,20,-2514.73,OI Wall Bouncer
2021-09-07 03:45:00,2021-09-09 03:45:00,BUY_CE,58279.48046875,58305.0703125,58300,202.88,112.2,20,-1893.69,OI Wall Bouncer
2021-09-13 03:45:00,2021-09-15 03:45:00,BUY_CE,58177.76171875,58723.19921875,58200,243.41,535.1,20,5753.77,OI Wall Bouncer
2021-09-15 03:45:00,2021-09-16 03:45:00,BUY_PE,58723.19921875,59141.16015625,58700,140.54,9.24,20,-2705.98,OI Wall Bouncer
2021-09-16 03:45:00,2021-09-17 03:45:00,BUY_CE,59141.16015625,59015.890625,59100,144.74,50.27,20,-1969.44,OI Wall Bouncer
2021-09-21 03:45:00,2021-09-22 03:45:00,BUY_CE,59005.26953125,58927.328125,59000,239.18,157.09,20,-1721.73,OI Wall Bouncer
2021-09-22 03:45:00,2021-09-23 03:45:00,BUY_PE,58927.328125,59885.359375,58900,156.11,0.48,20,-3192.55,OI Wall Bouncer
2021-09-23 03:45:00,2021-09-24 03:45:00,BUY_PE,59885.359375,60048.46875,59900,147.05,45.4,20,-2112.92,OI Wall Bouncer
2021-09-27 03:45:00,2021-09-28 03:45:00,BUY_CE,60077.87890625,59667.6015625,60100,301.04,103.26,20,-4035.68,OI Wall Bouncer
2021-09-30 03:45:00,2021-10-01 03:45:00,BUY_CE,59126.359375,58765.578125,59100,156.66,11.14,20,-2990.36,OI Wall Bouncer
