entry_date,exit_date,trade_type,entry_spot,exit_spot,strike,entry_premium,exit_premium,quantity,pnl,strategy
2021-04-01 03:45:00,2021-04-05 03:45:00,BUY_CE,33858.0,32678.849609375,33900,482.24,14.41,30,-14135.0,VWAP Bounce
2021-05-11 03:45:00,2021-05-12 03:45:00,BUY_PE,32872.19921875,32452.30078125,32900,261.54,440.93,30,5281.65,VWAP Bounce
2021-06-07 03:45:00,2021-06-08 03:45:00,BUY_CE,35443.6484375,35085.30078125,35400,306.37,86.46,30,-6697.23,VWAP Bounce
2021-06-10 03:45:00,2021-06-14 03:45:00,BUY_PE,35131.19921875,34950.6015625,35100,438.7,272.29,30,-5092.38,VWAP Bounce
2021-06-14 03:45:00,2021-06-15 03:45:00,BUY_PE,34950.6015625,35247.75,35000,237.66,61.5,30,-5384.94,VWAP Bounce
2021-06-21 03:45:00,2021-06-22 03:45:00,BUY_CE,34871.30078125,34745.0,34900,137.75,45.49,30,-2867.74,VWAP Bounce
2021-06-22 03:45:00,2021-06-23 03:45:00,BUY_CE,34745.0,34574.0,34700,127.86,27.88,30,-3099.44,VWAP Bounce
2021-06-29 03:45:00,2021-06-30 03:45:00,BUY_PE,35010.30078125,34772.19921875,35000,98.3,224.66,30,3690.8,VWAP Bounce
2021-07-01 03:45:00,2021-07-02 03:45:00,BUY_PE,34684.0,34809.8984375,34700,243.23,166.48,30,-2402.43,VWAP Bounce
2021-07-02 03:45:00,2021-07-05 03:45:00,BUY_CE,34809.8984375,35212.0,34800,247.24,427.85,30,5318.33,VWAP Bounce
2021-07-23 03:45:00,2021-07-26 03:45:00,BUY_CE,35034.3984375,34949.69921875,35000,342.96,167.62,30,-5360.11,VWAP Bounce
2021-07-27 03:45:00,2021-07-28 03:45:00,BUY_CE,34797.44921875,34532.8984375,34800,131.59,15.42,30,-3585.07,VWAP Bounce
2021-07-29 03:45:00,2021-08-02 03:45:00,BUY_PE,34691.5,34710.0,34700,298.01,171.36,30,-3899.42,VWAP Bounce
2021-08-02 03:45:00,2021-08-03 03:45:00,BUY_CE,34710.0,35207.44921875,34700,191.85,499.33,30,9124.49,VWAP Bounce
2021-08-10 03:45:00,2021-08-11 03:45:00,BUY_PE,36034.1015625,35806.3984375,36000,122.59,208.47,30,2476.39,VWAP Bounce
2021-08-12 03:45:00,2021-08-13 03:45:00,BUY_PE,35937.05078125,36169.3515625,35900,301.44,188.11,30,-3499.77,VWAP Bounce
2021-08-16 03:45:00,2021-08-17 03:45:00,BUY_CE,36094.5,35867.44921875,36100,198.77,45.81,30,-4688.73,VWAP Bounce
2021-08-17 03:45:00,2021-08-18 03:45:00,BUY_PE,35867.44921875,35554.5,35900,137.8,330.93,30,5693.76,VWAP Bounce
2021-09-06 03:45:00,2021-09-08 03:45:00,BUY_PE,36592.3515625,36768.19921875,36600,156.56,24.58,30,-4059.38,VWAP Bounce
2021-09-09 03:45:00,2021-09-13 03:45:00,BUY_CE,36683.19921875,36471.80078125,36700,287.78,80.08,30,-6330.89,VWAP Bounce
2021-09-14 03:45:00,2021-09-15 03:45:00,BUY_CE,36613.05078125,36852.25,36600,123.4,253.35,30,3798.6,VWAP Bounce
2021-10-04 03:45:00,2021-10-06 03:45:00,BUY_CE,37579.6484375,37521.55078125,37600,197.85,69.49,30,-3950.73,VWAP Bounce
2021-10-08 03:45:00,2021-10-11 03:45:00,BUY_CE,37775.25,38293.80078125,37800,321.53,523.79,30,5967.76,VWAP Bounce
2021-11-02 03:45:00,2021-11-03 03:45:00,BUY_CE,39938.44921875,39402.05078125,39900,209.97,13.38,30,-5997.71,VWAP Bounce
2021-11-04 12:45:00,2021-11-08 03:45:00,BUY_CE,39573.69921875,39438.25,39600,475.45,270.64,30,-6244.42,VWAP Bounce
2021-12-03 03:45:00,2021-12-06 03:45:00,BUY_CE,36197.1484375,35735.8984375,36200,365.13,68.92,30,-8986.19,VWAP Bounce
2021-12-13 03:45:00,2021-12-14 03:45:00,BUY_PE,36925.25,36893.94921875,36900,253.6,175.33,30,-2448.11,VWAP Bounce
2021-12-30 03:45:00,2022-01-03 03:45:00,BUY_CE,35063.6015625,36421.8984375,35100,433.53,1286.28,30,25482.53,VWAP Bounce
2022-01-14 03:45:00,2022-01-17 03:45:00,BUY_PE,38370.3984375,38216.1484375,38400,417.05,273.69,30,-4400.74,VWAP Bounce
2022-02-18 03:45:00,2022-02-21 03:45:00,BUY_PE,37599.1484375,37685.6015625,37600,538.54,307.2,30,-7040.06,VWAP Bounce
2022-02-21 03:45:00,2022-02-23 03:45:00,BUY_PE,37685.6015625,37392.05078125,37700,350.84,339.44,30,-442.14,VWAP Bounce
2022-02-25 03:45:00,2022-02-28 03:45:00,BUY_PE,36430.75,36205.30078125,36400,663.86,491.48,30,-5271.38,VWAP Bounce
2022-02-28 03:45:00,2022-03-02 03:45:00,BUY_PE,36205.30078125,35372.80078125,36200,426.36,802.54,30,11185.37,VWAP Bounce
2022-03-28 03:45:00,2022-03-29 03:45:00,BUY_PE,35710.5,35847.3984375,35700,356.84,174.4,30,-5573.08,VWAP Bounce
2022-03-29 03:45:00,2022-03-30 03:45:00,BUY_CE,35847.3984375,36334.30078125,35800,267.32,533.72,30,7891.91,VWAP Bounce
2022-04-12 03:45:00,2022-04-13 03:45:00,BUY_CE,37747.3984375,37463.3984375,37700,232.48,59.54,30,-5288.32,VWAP Bounce
2022-04-21 03:45:00,2022-04-22 03:45:00,BUY_CE,36816.1015625,36044.75,36800,510.4,196.8,30,-9508.08,VWAP Bounce
2022-04-26 03:45:00,2022-04-27 03:45:00,BUY_CE,36404.80078125,36028.8515625,36400,204.52,30.26,30,-5327.95,VWAP Bounce
2022-04-29 03:45:00,2022-05-02 03:45:00,BUY_PE,36088.1484375,36163.75,36100,435.0,249.0,30,-5680.14,VWAP Bounce
2022-05-02 03:45:00,2022-05-04 03:45:00,BUY_PE,36163.75,35264.55078125,36200,294.22,895.19,30,17929.15,VWAP Bounce
2022-06-02 03:45:00,2022-06-07 03:45:00,BUY_PE,35613.6484375,34996.0,35600,498.53,598.98,30,2913.5,VWAP Bounce
2022-06-09 03:45:00,2022-06-10 03:45:00,BUY_PE,35085.44921875,34483.80078125,35100,411.21,706.67,30,8763.78,VWAP Bounce
2022-07-01 03:45:00,2022-07-06 03:45:00,BUY_CE,33539.44921875,34324.25,33500,372.35,794.24,30,12556.81,VWAP Bounce
2022-08-04 03:45:00,2022-08-05 03:45:00,BUY_PE,37755.55078125,37920.6015625,37800,306.57,212.66,30,-2917.39,VWAP Bounce
2022-08-05 03:45:00,2022-08-10 03:45:00,BUY_CE,37920.6015625,38287.8515625,37900,306.65,377.19,30,2016.28,VWAP Bounce
2022-08-25 03:45:00,2022-08-29 03:45:00,BUY_CE,38950.75,38276.69921875,39000,323.01,19.8,30,-9196.33,VWAP Bounce
2022-09-19 03:45:00,2022-09-20 03:45:00,BUY_PE,40904.3984375,41468.30078125,40900,254.59,22.93,30,-7049.83,VWAP Bounce
2022-10-03 03:45:00,2022-10-04 03:45:00,BUY_PE,38029.6484375,39110.05078125,38000,262.44,6.73,30,-7771.2,VWAP Bounce
2022-10-28 03:45:00,2022-10-31 03:45:00,BUY_PE,40990.8515625,41307.8984375,41000,425.54,151.16,30,-8331.44,VWAP Bounce
2022-10-31 03:45:00,2022-11-01 03:45:00,BUY_CE,41307.8984375,41289.55078125,41300,289.31,180.62,30,-3360.61,VWAP Bounce
2022-11-01 03:45:00,2022-11-02 03:45:00,BUY_CE,41289.55078125,41146.6484375,41300,179.12,61.54,30,-3627.26,VWAP Bounce
2022-11-03 03:45:00,2022-11-09 03:45:00,BUY_CE,41298.3515625,41783.19921875,41300,371.98,469.36,30,2821.52,VWAP Bounce
2022-11-18 03:45:00,2022-11-21 03:45:00,BUY_CE,42437.44921875,42346.55078125,42400,289.75,135.9,30,-4715.64,VWAP Bounce
