entry_date,exit_date,trade_type,entry_spot,exit_spot,strike,entry_premium,exit_premium,quantity,pnl,strategy
2021-06-16 03:45:00,2021-06-17 03:45:00,BUY_PE,15767.5498046875,15691.400390625,15750,26.94,59.68,75,2265.24,VWAP Bounce
2021-06-18 03:45:00,2021-06-21 03:45:00,BUY_PE,15683.349609375,15746.5,15700,65.91,25.68,75,-3206.89,VWAP Bounce
2021-06-21 03:45:00,2021-06-23 03:45:00,BUY_CE,15746.5,15686.9501953125,15750,49.64,8.31,75,-3289.7,VWAP Bounce
2021-06-23 03:45:00,2021-06-24 03:45:00,BUY_PE,15686.9501953125,15790.4501953125,15700,33.47,0.95,75,-2629.36,VWAP Bounce
2021-06-28 03:45:00,2021-06-29 03:45:00,BUY_CE,15814.7001953125,15748.4501953125,15800,58.7,20.92,75,-3023.59,VWAP Bounce
2021-06-29 03:45:00,2021-07-01 03:45:00,BUY_PE,15748.4501953125,15680.0,15750,36.7,66.96,75,2079.31,VWAP Bounce
2021-07-02 03:45:00,2021-07-05 03:45:00,BUY_PE,15722.2001953125,15834.349609375,15700,46.64,7.25,75,-3143.92,VWAP Bounce
2021-07-13 03:45:00,2021-07-15 03:45:00,BUY_CE,15812.349609375,15924.2001953125,15800,50.68,120.63,75,5056.09,VWAP Bounce
2021-07-26 03:45:00,2021-07-27 03:45:00,BUY_CE,15824.4501953125,15746.4501953125,15800,77.7,30.07,75,-3762.5,VWAP Bounce
2021-07-27 03:45:00,2021-07-29 03:45:00,BUY_PE,15746.4501953125,15778.4501953125,15750,48.22,13.18,75,-2817.74,VWAP Bounce
2021-07-30 03:45:00,2021-08-02 03:45:00,BUY_PE,15763.0498046875,15885.150390625,15750,71.06,16.82,75,-4257.91,VWAP Bounce
2021-08-09 03:45:00,2021-08-11 03:45:00,BUY_CE,16258.25,16282.25,16250,77.51,54.78,75,-1894.97,VWAP Bounce
2021-08-11 03:45:00,2021-08-12 03:45:00,BUY_CE,16282.25,16364.400390625,16300,31.88,68.54,75,2559.24,VWAP Bounce
2021-08-23 03:45:00,2021-08-24 03:45:00,BUY_PE,16496.44921875,16624.599609375,16500,56.51,10.08,75,-3671.96,VWAP Bounce
2021-09-08 03:45:00,2021-09-09 03:45:00,BUY_CE,17353.5,17369.25,17350,38.4,33.88,75,-529.31,VWAP Bounce
2021-09-13 03:45:00,2021-09-15 03:45:00,BUY_CE,17355.30078125,17519.44921875,17350,68.6,166.16,75,7127.07,VWAP Bounce
2021-09-21 03:45:00,2021-09-22 03:45:00,BUY_CE,17562.0,17546.650390625,17550,65.04,39.12,75,-2134.13,VWAP Bounce
2021-09-22 03:45:00,2021-09-23 03:45:00,BUY_PE,17546.650390625,17822.94921875,17550,39.03,0.05,75,-3113.65,VWAP Bounce
2021-09-28 03:45:00,2021-09-30 03:45:00,BUY_PE,17748.599609375,17618.150390625,17750,58.19,125.83,75,4883.02,VWAP Bounce
2021-10-04 03:45:00,2021-10-05 03:45:00,BUY_CE,17691.25,17822.30078125,17700,72.67,137.64,75,4682.93,VWAP Bounce
2021-10-06 03:45:00,2021-10-07 03:45:00,BUY_PE,17646.0,17790.349609375,17650,46.21,1.89,75,-3513.9,VWAP Bounce
2021-10-27 03:45:00,2021-10-28 03:45:00,BUY_CE,18210.94921875,17857.25,18200,52.45,0.05,75,-4120.15,VWAP Bounce
2021-11-03 03:45:00,2021-11-04 12:45:00,BUY_PE,17829.19921875,17916.80078125,17850,66.77,15.28,75,-4052.08,VWAP Bounce
2021-11-10 03:45:00,2021-11-11 03:45:00,BUY_CE,18017.19921875,17873.599609375,18000,66.48,5.89,75,-4734.39,VWAP Bounce
2021-11-16 03:45:00,2021-11-17 03:45:00,BUY_PE,17999.19921875,17898.650390625,18000,75.46,111.07,75,2480.92,VWAP Bounce
